epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.216495,20.067,-0.626622,1,32,0.3696,3905.163
1,phase1,1024,3.0,30000,0.435081,10.0794,-0.440171,2,24,0.7427,3905.163
2,phase1,1024,3.0,30000,0.467579,9.2458,-0.359493,2,24,0.7982,3905.163
3,phase1,1024,3.0,30000,0.409687,11.2108,-0.343879,2,24,0.6994,3905.163
4,phase1,1024,3.0,30000,0.241338,17.84,-0.391963,2,24,0.412,3905.163
5,phase1,1024,3.0,30000,0.240352,17.929,-0.424289,2,24,0.4103,3905.163
6,phase1,1024,3.0,30000,0.235238,18.2896,-0.448625,2,24,0.4016,3905.163
7,phase2,1024,1.2,30000,0.237981,18.0847,0.334263,6,8,1.0157,3905.163
8,phase2,1024,1.2,30000,0.205178,21.0751,0.28431,4,0,0.8757,3905.163
9,phase2,1024,1.2,30000,0.269464,16.3149,0.27182,4,0,1.15,3905.163
10,phase2,1024,1.2,30000,0.269298,16.0938,0.26154,4,0,1.1493,3905.163
11,phase2,1024,1.2,30000,0.265261,16.4525,0.251539,4,0,1.1321,3905.163
12,phase2,1024,1.2,30000,0.256128,16.8904,0.240082,4,0,1.0931,3905.163
13,phase2,1024,1.2,30000,0.252868,17.1414,0.229236,4,0,1.0792,3905.163
14,phase2,1024,1.2,30000,0.25369,17.0634,0.220099,4,0,1.0827,3905.163
