iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.327516,13.1138,phase1
1,0,1024,3.0,30000,0.201769,21.2866,phase1
2,0,1024,3.0,30000,0.211279,20.3284,phase1
3,0,1024,3.0,30000,0.202391,21.2212,phase1
4,0,1024,3.0,30000,0.202724,21.1863,phase1
5,0,1024,3.0,30000,0.207009,20.7478,phase1
6,0,1024,3.0,30000,0.21509,19.9682,phase1
7,0,1024,3.0,30000,0.211136,20.3421,phase1
8,0,1024,3.0,30000,0.218555,19.6516,phase1
9,0,1024,3.0,30000,0.201181,21.3488,phase1
10,0,1024,3.0,30000,0.206087,20.8405,phase1
11,0,1024,3.0,30000,0.236198,18.1838,phase1
12,0,1024,3.0,30000,0.207341,20.7145,phase1
13,0,1024,3.0,30000,0.218857,19.6245,phase1
14,0,1024,3.0,30000,0.193101,22.2421,phase1
15,0,1024,3.0,30000,0.201477,21.3174,phase1
16,0,1024,3.0,30000,0.223446,19.2215,phase1
17,0,1024,3.0,30000,0.21057,20.3969,phase1
18,0,1024,3.0,30000,0.223665,19.2026,phase1
19,0,1024,3.0,30000,0.210516,20.4021,phase1
20,1,1024,3.0,30000,0.532826,8.0607,phase1
21,1,1024,3.0,30000,0.399012,10.764,phase1
22,1,1024,3.0,30000,0.388306,11.0608,phase1
23,1,1024,3.0,30000,0.385123,11.1522,phase1
24,1,1024,3.0,30000,0.432851,9.9225,phase1
25,1,1024,3.0,30000,0.419965,10.227,phase1
26,1,1024,3.0,30000,0.425503,10.0939,phase1
27,1,1024,3.0,30000,0.379133,11.3284,phase1
28,1,1024,3.0,30000,0.264495,16.2383,phase1
29,1,1024,3.0,30000,0.454096,9.4583,phase1
30,1,1024,3.0,30000,0.409777,10.4812,phase1
31,1,1024,3.0,30000,0.46211,9.2943,phase1
32,1,1024,3.0,30000,0.445023,9.6511,phase1
33,1,1024,3.0,30000,0.496026,8.6588,phase1
34,1,1024,3.0,30000,0.49714,8.6393,phase1
35,1,1024,3.0,30000,0.493311,8.7064,phase1
36,1,1024,3.0,30000,0.46537,9.2291,phase1
37,1,1024,3.0,30000,0.466437,9.208,phase1
38,1,1024,3.0,30000,0.435639,9.859,phase1
39,1,1024,3.0,30000,0.449481,9.5554,phase1
40,2,1024,3.0,30000,0.622359,6.9011,phase1
41,2,1024,3.0,30000,0.453668,9.4672,phase1
42,2,1024,3.0,30000,0.428354,10.0267,phase1
43,2,1024,3.0,30000,0.453481,9.4711,phase1
44,2,1024,3.0,30000,0.466988,9.1972,phase1
45,2,1024,3.0,30000,0.4545,9.4499,phase1
46,2,1024,3.0,30000,0.461681,9.3029,phase1
47,2,1024,3.0,30000,0.453202,9.4769,phase1
48,2,1024,3.0,30000,0.5325,8.0657,phase1
