iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.477082,9.0026,phase1
1,0,1024,3.0,30000,0.37635,11.4121,phase1
2,0,1024,3.0,30000,0.363918,11.802,phase1
3,0,1024,3.0,30000,0.359347,11.9521,phase1
4,0,1024,3.0,30000,0.375284,11.4446,phase1
5,0,1024,3.0,30000,0.374605,11.4653,phase1
6,0,1024,3.0,30000,0.34993,12.2738,phase1
7,0,1024,3.0,30000,0.357959,11.9985,phase1
8,0,1024,3.0,30000,0.366626,11.7148,phase1
9,0,1024,3.0,30000,0.340996,12.5954,phase1
10,0,1024,3.0,30000,0.353869,12.1372,phase1
11,0,1024,3.0,30000,0.410527,10.4621,phase1
12,0,1024,3.0,30000,0.348685,12.3176,phase1
13,0,1024,3.0,30000,0.325524,13.194,phase1
14,0,1024,3.0,30000,0.362409,11.8512,phase1
15,0,1024,3.0,30000,0.4136,10.3843,phase1
16,0,1024,3.0,30000,0.371666,11.556,phase1
17,0,1024,3.0,30000,0.336838,12.7508,phase1
18,0,1024,3.0,30000,0.332703,12.9093,phase1
19,0,1024,3.0,30000,0.348719,12.3164,phase1
20,1,1024,3.0,30000,0.393351,10.9189,phase1
21,1,1024,3.0,30000,0.32725,13.1244,phase1
22,1,1024,3.0,30000,0.34872,12.3164,phase1
23,1,1024,3.0,30000,0.384392,11.1734,phase1
24,1,1024,3.0,30000,0.405392,10.5946,phase1
25,1,1024,3.0,30000,0.285528,15.0422,phase1
26,1,1024,3.0,30000,0.38051,11.2874,phase1
27,1,1024,3.0,30000,0.402647,10.6668,phase1
28,1,1024,3.0,30000,0.391913,10.959,phase1
29,1,1024,3.0,30000,0.396819,10.8235,phase1
30,1,1024,3.0,30000,0.370328,11.5977,phase1
31,1,1024,3.0,30000,0.348816,12.313,phase1
32,1,1024,3.0,30000,0.319943,13.4242,phase1
33,1,1024,3.0,30000,0.376369,11.4116,phase1
34,1,1024,3.0,30000,0.371714,11.5545,phase1
35,1,1024,3.0,30000,0.375621,11.4343,phase1
36,1,1024,3.0,30000,0.365902,11.738,phase1
37,1,1024,3.0,30000,0.406648,10.5619,phase1
38,1,1024,3.0,30000,0.405492,10.592,phase1
39,1,1024,3.0,30000,0.378968,11.3333,phase1
40,2,1024,3.0,30000,0.327247,13.1245,phase1
41,2,1024,3.0,30000,0.323165,13.2903,phase1
42,2,1024,3.0,30000,0.366311,11.7249,phase1
43,2,1024,3.0,30000,0.358016,11.9966,phase1
44,2,1024,3.0,30000,0.361823,11.8703,phase1
45,2,1024,3.0,30000,0.335702,12.794,phase1
46,2,1024,3.0,30000,0.348747,12.3154,phase1
47,2,1024,3.0,30000,0.34084,12.6011,phase1
48,2,1024,3.0,30000,0.365807,11.7411,phase1
49,2,1024,3.0,30000,0.336281,12.772,phase1
50,2,1024,3.0,30000,0.322988,13.2976,phase1
51,2,1024,3.0,30000,0.430928,9.9668,phase1
52,2,1024,3.0,30000,0.389992,11.013,phase1
53,2,1024,3.0,30000,0.366196,11.7286,phase1
54,2,1024,3.0,30000,0.384114,11.1815,phase1
55,2,1024,3.0,30000,0.409121,10.498,phase1
56,2,1024,3.0,30000,0.384759,11.1628,phase1
57,2,1024,3.0,30000,0.335778,12.7911,phase1
58,2,1024,3.0,30000,0.349511,12.2885,phase1
59,2,1024,3.0,30000,0.344346,12.4728,phase1
60,3,1024,3.0,30000,0.344669,12.4611,phase1
61,3,1024,3.0,30000,0.349872,12.2758,phase1
62,3,1024,3.0,30000,0.345154,12.4436,phase1
63,3,1024,3.0,30000,0.366379,11.7227,phase1
64,3,1024,3.0,30000,0.376535,11.4066,phase1
65,3,1024,3.0,30000,0.34203,12.5573,phase1
66,3,1024,3.0,30000,0.344384,12.4715,phase1
67,3,1024,3.0,30000,0.337353,12.7314,phase1
68,3,1024,3.0,30000,0.353813,12.1391,phase1
69,3,1024,3.0,30000,0.401193,10.7055,phase1
70,3,1024,3.0,30000,0.384434,11.1722,phase1
71,3,1024,3.0,30000,0.37678,11.3991,phase1
72,3,1024,3.0,30000,0.380453,11.2891,phase1
73,3,1024,3.0,30000,0.375876,11.4265,phase1
74,3,1024,3.0,30000,0.380339,11.2925,phase1
75,3,1024,3.0,30000,0.381297,11.2641,phase1
76,3,1024,3.0,30000,0.392819,10.9337,phase1
77,3,1024,3.0,30000,0.370386,11.5959,phase1
78,3,1024,3.0,30000,0.41375,10.3806,phase1
79,3,1024,3.0,30000,0.340073,12.6295,phase1
80,4,1024,3.0,30000,0.439615,9.7698,phase1
81,4,1024,3.0,30000,0.341884,12.5627,phase1
82,4,1024,3.0,30000,0.379121,11.3288,phase1
83,4,1024,3.0,30000,0.358492,11.9806,phase1
84,4,1024,3.0,30000,0.379113,11.329,phase1
85,4,1024,3.0,30000,0.408908,10.5035,phase1
86,4,1024,3.0,30000,0.380892,11.2761,phase1
87,4,1024,3.0,30000,0.409771,10.4814,phase1
88,4,1024,3.0,30000,0.419027,10.2499,phase1
89,4,1024,3.0,30000,0.40066,10.7197,phase1
90,4,1024,3.0,30000,0.362849,11.8368,phase1
91,4,1024,3.0,30000,0.327404,13.1182,phase1
92,4,1024,3.0,30000,0.340095,12.6287,phase1
93,4,1024,3.0,30000,0.364258,11.791,phase1
94,4,1024,3.0,30000,0.353847,12.1379,phase1
95,4,1024,3.0,30000,0.327891,13.0988,phase1
96,4,1024,3.0,30000,0.357259,12.022,phase1
97,4,1024,3.0,30000,0.333958,12.8608,phase1
98,4,1024,3.0,30000,0.413938,10.3759,phase1
99,4,1024,3.0,30000,0.414802,10.3543,phase1
100,5,1024,3.0,30000,0.418754,10.2565,phase1
101,5,1024,3.0,30000,0.34896,12.3079,phase1
102,5,1024,3.0,30000,0.379896,11.3056,phase1
103,5,1024,3.0,30000,0.366999,11.7029,phase1
104,5,1024,3.0,30000,0.345279,12.4391,phase1
105,5,1024,3.0,30000,0.372436,11.5321,phase1
106,5,1024,3.0,30000,0.323428,13.2795,phase1
107,5,1024,3.0,30000,0.395308,10.8649,phase1
108,5,1024,3.0,30000,0.376113,11.4194,phase1
109,5,1024,3.0,30000,0.426755,10.0643,phase1
110,5,1024,3.0,30000,0.417842,10.2789,phase1
111,5,1024,3.0,30000,0.344388,12.4713,phase1
112,5,1024,3.0,30000,0.379248,11.325,phase1
113,5,1024,3.0,30000,0.375144,11.4488,phase1
114,5,1024,3.0,30000,0.328775,13.0636,phase1
115,5,1024,3.0,30000,0.400723,10.718,phase1
116,5,1024,3.0,30000,0.398735,10.7715,phase1
117,5,1024,3.0,30000,0.371084,11.5741,phase1
118,5,1024,3.0,30000,0.396408,10.8347,phase1
119,5,1024,3.0,30000,0.335767,12.7915,phase1
120,6,1024,3.0,30000,0.336715,12.7555,phase1
121,6,1024,3.0,30000,0.346805,12.3844,phase1
122,6,1024,3.0,30000,0.337813,12.7141,phase1
123,6,1024,3.0,30000,0.371904,11.5486,phase1
124,6,1024,3.0,30000,0.409445,10.4897,phase1
125,6,1024,3.0,30000,0.333993,12.8595,phase1
126,6,1024,3.0,30000,0.413636,10.3834,phase1
127,6,1024,3.0,30000,0.348546,12.3225,phase1
128,6,1024,3.0,30000,0.402539,10.6697,phase1
129,6,1024,3.0,30000,0.374778,11.46,phase1
130,6,1024,3.0,30000,0.36323,11.8244,phase1
131,6,1024,3.0,30000,0.340876,12.5998,phase1
132,6,1024,3.0,30000,0.33996,12.6338,phase1
133,6,1024,3.0,30000,0.35023,12.2633,phase1
134,6,1024,3.0,30000,0.345653,12.4257,phase1
135,6,1024,3.0,30000,0.353518,12.1492,phase1
136,6,1024,3.0,30000,0.379103,11.3293,phase1
137,6,1024,3.0,30000,0.353086,12.1641,phase1
138,6,1024,3.0,30000,0.340764,12.6039,phase1
139,6,1024,3.0,30000,0.361654,11.8759,phase1
140,7,1024,1.2,30000,0.366005,11.7347,phase2
141,7,1024,1.2,30000,0.418933,10.2522,phase2
142,7,1024,1.2,30000,0.410517,10.4623,phase2
143,7,1024,1.2,30000,0.426952,10.0596,phase2
144,7,1024,1.2,30000,0.353382,12.1539,phase2
145,7,1024,1.2,30000,0.348718,12.3164,phase2
146,7,1024,1.2,30000,0.387939,11.0712,phase2
147,7,1024,1.2,30000,0.362335,11.8536,phase2
148,7,1024,1.2,30000,0.367341,11.692,phase2
149,7,1024,1.2,30000,0.335403,12.8054,phase2
150,7,1024,1.2,30000,0.337119,12.7402,phase2
151,7,1024,1.2,30000,0.380529,11.2868,phase2
152,7,1024,1.2,30000,0.410899,10.4526,phase2
153,7,1024,1.2,30000,0.384484,11.1707,phase2
154,7,1024,1.2,30000,0.379416,11.3199,phase2
155,7,1024,1.2,30000,0.349112,12.3026,phase2
156,7,1024,1.2,30000,0.363129,11.8277,phase2
157,7,1024,1.2,30000,0.361662,11.8756,phase2
158,7,1024,1.2,30000,0.363604,11.8122,phase2
159,7,1024,1.2,30000,0.367148,11.6982,phase2
160,8,1024,1.2,30000,0.358376,11.9845,phase2
161,8,1024,1.2,30000,0.368868,11.6436,phase2
162,8,1024,1.2,30000,0.42667,10.0662,phase2
163,8,1024,1.2,30000,0.362967,11.8329,phase2
164,8,1024,1.2,30000,0.413934,10.376,phase2
165,8,1024,1.2,30000,0.353015,12.1665,phase2
166,8,1024,1.2,30000,0.354195,12.126,phase2
167,8,1024,1.2,30000,0.362408,11.8512,phase2
168,8,1024,1.2,30000,0.400622,10.7207,phase2
169,8,1024,1.2,30000,0.359668,11.9415,phase2
170,8,1024,1.2,30000,0.353497,12.1499,phase2
171,8,1024,1.2,30000,0.367251,11.6949,phase2
172,8,1024,1.2,30000,0.372366,11.5343,phase2
173,8,1024,1.2,30000,0.36622,11.7278,phase2
174,8,1024,1.2,30000,0.429422,10.0017,phase2
175,8,1024,1.2,30000,0.34885,12.3118,phase2
176,8,1024,1.2,30000,0.379113,11.329,phase2
177,8,1024,1.2,30000,0.370623,11.5885,phase2
178,8,1024,1.2,30000,0.353453,12.1515,phase2
179,8,1024,1.2,30000,0.323815,13.2637,phase2
180,9,1024,1.2,30000,0.348989,12.3069,phase2
181,9,1024,1.2,30000,0.345362,12.4361,phase2
182,9,1024,1.2,30000,0.349359,12.2939,phase2
183,9,1024,1.2,30000,0.322846,13.3035,phase2
184,9,1024,1.2,30000,0.348037,12.3405,phase2
185,9,1024,1.2,30000,0.353464,12.1511,phase2
186,9,1024,1.2,30000,0.372071,11.5434,phase2
187,9,1024,1.2,30000,0.344965,12.4504,phase2
188,9,1024,1.2,30000,0.354781,12.106,phase2
189,9,1024,1.2,30000,0.383415,11.2019,phase2
190,9,1024,1.2,30000,0.379235,11.3253,phase2
191,9,1024,1.2,30000,0.367164,11.6977,phase2
192,9,1024,1.2,30000,0.418788,10.2557,phase2
193,9,1024,1.2,30000,0.361737,11.8732,phase2
194,9,1024,1.2,30000,0.350263,12.2621,phase2
195,9,1024,1.2,30000,0.340124,12.6276,phase2
196,9,1024,1.2,30000,0.370178,11.6024,phase2
197,9,1024,1.2,30000,0.350366,12.2585,phase2
198,9,1024,1.2,30000,0.391927,10.9586,phase2
199,9,1024,1.2,30000,0.357441,12.0159,phase2
200,10,1024,1.2,30000,0.367405,11.69,phase2
201,10,1024,1.2,30000,0.324143,13.2502,phase2
202,10,1024,1.2,30000,0.374711,11.4621,phase2
203,10,1024,1.2,30000,0.341451,12.5786,phase2
204,10,1024,1.2,30000,0.362585,11.8454,phase2
205,10,1024,1.2,30000,0.357466,12.015,phase2
206,10,1024,1.2,30000,0.331527,12.9551,phase2
207,10,1024,1.2,30000,0.361535,11.8798,phase2
208,10,1024,1.2,30000,0.345742,12.4225,phase2
209,10,1024,1.2,30000,0.333588,12.8751,phase2
210,10,1024,1.2,30000,0.337074,12.7419,phase2
211,10,1024,1.2,30000,0.34621,12.4057,phase2
212,10,1024,1.2,30000,0.409862,10.479,phase2
213,10,1024,1.2,30000,0.391876,10.96,phase2
214,10,1024,1.2,30000,0.387585,11.0813,phase2
215,10,1024,1.2,30000,0.379064,11.3304,phase2
216,10,1024,1.2,30000,0.344704,12.4599,phase2
217,10,1024,1.2,30000,0.322648,13.3116,phase2
218,10,1024,1.2,30000,0.336432,12.7662,phase2
219,10,1024,1.2,30000,0.362491,11.8485,phase2
220,11,1024,1.2,30000,0.375697,11.432,phase2
221,11,1024,1.2,30000,0.349061,12.3043,phase2
222,11,1024,1.2,30000,0.344482,12.4679,phase2
223,11,1024,1.2,30000,0.332711,12.909,phase2
224,11,1024,1.2,30000,0.405767,10.5848,phase2
225,11,1024,1.2,30000,0.350374,12.2582,phase2
226,11,1024,1.2,30000,0.357278,12.0213,phase2
227,11,1024,1.2,30000,0.383211,11.2078,phase2
228,11,1024,1.2,30000,0.366407,11.7218,phase2
229,11,1024,1.2,30000,0.329698,13.027,phase2
