epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.19234,22.5796,-0.236297,3,16,0.7631,4201.087
1,phase1,1024,1.2,30000,0.188086,22.8966,-0.244675,3,16,0.7462,4201.087
2,phase1,1024,1.2,30000,0.218512,20.7925,-0.206842,3,16,0.8669,4201.087
3,phase1,1024,1.2,30000,0.34633,12.4425,-0.059458,3,16,1.374,4201.087
4,phase1,1024,1.2,30000,0.354764,12.149,0.035671,3,16,1.4074,4201.087
5,phase1,1024,1.2,30000,0.350899,12.2657,0.096533,3,16,1.3921,4201.087
6,phase1,1024,1.2,30000,0.347344,12.4222,0.137994,3,16,1.378,4201.087
7,phase2,1024,3.0,30000,0.362427,11.8939,-0.529373,3,16,0.5751,4201.087
8,phase2,1024,3.0,30000,0.357127,12.061,-0.518306,3,16,0.5667,4201.087
9,phase2,1024,3.0,30000,0.355533,12.1494,-0.509706,3,16,0.5642,4201.087
10,phase2,1024,3.0,30000,0.360896,11.9543,-0.501718,3,16,0.5727,4201.087
11,phase2,1024,3.0,30000,0.353272,12.2042,-0.495982,3,16,0.5606,4201.087
12,phase2,1024,3.0,30000,0.354061,12.1849,-0.491263,3,16,0.5619,4201.087
13,phase2,1024,3.0,30000,0.350881,12.2932,-0.487578,3,16,0.5568,4201.087
14,phase2,1024,3.0,30000,0.36416,11.8456,-0.48298,3,16,0.5779,4201.087
