iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.372755,11.5222,phase1
1,0,1024,1.2,30000,0.232463,18.4759,phase1
2,0,1024,1.2,30000,0.221911,19.3545,phase1
3,0,1024,1.2,30000,0.194688,22.0608,phase1
4,0,1024,1.2,30000,0.195242,21.9982,phase1
5,0,1024,1.2,30000,0.189573,22.656,phase1
6,0,1024,1.2,30000,0.206278,20.8213,phase1
7,0,1024,1.2,30000,0.215301,19.9486,phase1
8,0,1024,1.2,30000,0.208423,20.607,phase1
9,0,1024,1.2,30000,0.187269,22.9348,phase1
10,0,1024,1.2,30000,0.184015,23.3403,phase1
11,0,1024,1.2,30000,0.160107,26.8255,phase1
12,0,1024,1.2,30000,0.200193,21.4541,phase1
13,0,1024,1.2,30000,0.19021,22.5802,phase1
14,0,1024,1.2,30000,0.199413,21.5381,phase1
15,0,1024,1.2,30000,0.211601,20.2975,phase1
16,0,1024,1.2,30000,0.204975,20.9536,phase1
17,0,1024,1.2,30000,0.193747,22.1679,phase1
18,0,1024,1.2,30000,0.192354,22.3285,phase1
19,0,1024,1.2,30000,0.199159,21.5655,phase1
20,1,1024,1.2,30000,0.325247,13.2052,phase1
21,1,1024,1.2,30000,0.176223,24.3724,phase1
22,1,1024,1.2,30000,0.172012,24.969,phase1
23,1,1024,1.2,30000,0.179771,23.8914,phase1
24,1,1024,1.2,30000,0.163892,26.2061,phase1
25,1,1024,1.2,30000,0.177824,24.153,phase1
26,1,1024,1.2,30000,0.183885,23.3568,phase1
27,1,1024,1.2,30000,0.178842,24.0154,phase1
28,1,1024,1.2,30000,0.176151,24.3823,phase1
29,1,1024,1.2,30000,0.170345,25.2134,phase1
30,1,1024,1.2,30000,0.170447,25.1982,phase1
31,1,1024,1.2,30000,0.184761,23.2461,phase1
32,1,1024,1.2,30000,0.187843,22.8646,phase1
33,1,1024,1.2,30000,0.174014,24.6818,phase1
34,1,1024,1.2,30000,0.178727,24.0309,phase1
35,1,1024,1.2,30000,0.206593,20.7896,phase1
36,1,1024,1.2,30000,0.192851,22.2709,phase1
37,1,1024,1.2,30000,0.169952,25.2717,phase1
38,1,1024,1.2,30000,0.180765,23.76,phase1
39,1,1024,1.2,30000,0.183108,23.4559,phase1
40,2,1024,1.2,30000,0.187232,22.9393,phase1
41,2,1024,1.2,30000,0.173184,24.8,phase1
42,2,1024,1.2,30000,0.189408,22.6757,phase1
43,2,1024,1.2,30000,0.184394,23.2923,phase1
44,2,1024,1.2,30000,0.177516,24.1948,phase1
45,2,1024,1.2,30000,0.188048,22.8398,phase1
46,2,1024,1.2,30000,0.179125,23.9774,phase1
47,2,1024,1.2,30000,0.179515,23.9254,phase1
48,2,1024,1.2,30000,0.18547,23.1572,phase1
