epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.340285,12.733,-0.415093,3,16,0.5809,3905.163
1,phase1,1024,3.0,30000,0.336475,12.8087,-0.418478,3,16,0.5744,3905.163
2,phase1,1024,3.0,30000,0.335292,12.832,-0.420276,3,16,0.5724,3905.163
3,phase1,1024,3.0,30000,0.336059,12.8102,-0.420848,3,16,0.5737,3905.163
4,phase1,1024,3.0,30000,0.349731,12.3274,-0.416523,3,16,0.597,3905.163
5,phase1,1024,3.0,30000,0.349283,12.375,-0.413765,3,16,0.5963,3905.163
6,phase1,1024,3.0,30000,0.347975,12.3877,-0.412114,3,16,0.594,3905.163
7,phase2,1024,1.2,30000,0.347265,12.3996,0.472434,3,16,1.4821,3905.163
8,phase2,1024,1.2,30000,0.339107,12.7089,0.470678,3,16,1.4473,3905.163
9,phase2,1024,1.2,30000,0.350612,12.304,0.474186,3,16,1.4964,3905.163
10,phase2,1024,1.2,30000,0.345151,12.4965,0.474936,3,16,1.4731,3905.163
11,phase2,1024,1.2,30000,0.339283,12.7008,0.473473,3,16,1.448,3905.163
12,phase2,1024,1.2,30000,0.248076,18.9245,0.441862,3,16,1.0588,3905.163
13,phase2,1024,1.2,30000,0.189687,22.7589,0.396738,3,16,0.8096,3905.163
14,phase2,1024,1.2,30000,0.193358,22.3196,0.358672,3,16,0.8252,3905.163
