epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.22505,19.41,-0.611937,1,32,0.3842,3905.163
1,phase1,1024,3.0,30000,0.437498,10.1158,-0.43068,2,24,0.7469,3905.163
2,phase1,1024,3.0,30000,0.472087,9.1566,-0.350597,2,24,0.8059,3905.163
3,phase1,1024,3.0,30000,0.416564,10.9037,-0.334313,2,24,0.7111,3905.163
4,phase1,1024,3.0,30000,0.217756,19.7514,-0.392351,2,24,0.3717,3905.163
5,phase1,1024,3.0,30000,0.216831,19.8434,-0.431305,2,24,0.3702,3905.163
6,phase1,1024,3.0,30000,0.219437,19.6211,-0.458494,2,24,0.3746,3905.163
7,phase2,1024,1.2,30000,0.224694,19.1702,0.305578,6,8,0.959,3905.163
8,phase2,1024,1.2,30000,0.238587,18.1177,0.274698,4,0,1.0183,3905.163
9,phase2,1024,1.2,30000,0.270792,16.1089,0.2637,4,0,1.1557,3905.163
10,phase2,1024,1.2,30000,0.265583,16.2893,0.252718,4,0,1.1335,3905.163
11,phase2,1024,1.2,30000,0.267213,16.1973,0.244147,4,0,1.1404,3905.163
12,phase2,1024,1.2,30000,0.260125,16.6716,0.234562,4,0,1.1102,3905.163
13,phase2,1024,1.2,30000,0.261922,16.5861,0.226898,4,0,1.1178,3905.163
14,phase2,1024,1.2,30000,0.24999,17.2717,0.21686,4,0,1.0669,3905.163
