iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.375235,11.4461,phase1
1,0,1024,3.0,30000,0.223756,19.1949,phase1
2,0,1024,3.0,30000,0.219414,19.5747,phase1
3,0,1024,3.0,30000,0.210925,20.3625,phase1
4,0,1024,3.0,30000,0.204078,21.0457,phase1
5,0,1024,3.0,30000,0.205818,20.8678,phase1
6,0,1024,3.0,30000,0.227829,18.8517,phase1
7,0,1024,3.0,30000,0.221052,19.4297,phase1
8,0,1024,3.0,30000,0.218843,19.6258,phase1
9,0,1024,3.0,30000,0.223976,19.1761,phase1
10,0,1024,3.0,30000,0.21053,20.4007,phase1
11,0,1024,3.0,30000,0.229315,18.7296,phase1
12,0,1024,3.0,30000,0.210086,20.4439,phase1
13,0,1024,3.0,30000,0.203013,21.1562,phase1
14,0,1024,3.0,30000,0.20758,20.6906,phase1
15,0,1024,3.0,30000,0.201713,21.2925,phase1
16,0,1024,3.0,30000,0.218757,19.6335,phase1
17,0,1024,3.0,30000,0.228111,18.8284,phase1
18,0,1024,3.0,30000,0.214425,20.0302,phase1
19,0,1024,3.0,30000,0.246548,17.4204,phase1
20,1,1024,3.0,30000,0.589242,7.289,phase1
21,1,1024,3.0,30000,0.444589,9.6605,phase1
22,1,1024,3.0,30000,0.428102,10.0326,phase1
23,1,1024,3.0,30000,0.402389,10.6737,phase1
24,1,1024,3.0,30000,0.432885,9.9217,phase1
25,1,1024,3.0,30000,0.413813,10.379,phase1
26,1,1024,3.0,30000,0.384334,11.1751,phase1
27,1,1024,3.0,30000,0.405385,10.5948,phase1
28,1,1024,3.0,30000,0.227649,18.8666,phase1
29,1,1024,3.0,30000,0.456965,9.3989,phase1
30,1,1024,3.0,30000,0.446777,9.6132,phase1
31,1,1024,3.0,30000,0.423495,10.1417,phase1
32,1,1024,3.0,30000,0.453517,9.4704,phase1
33,1,1024,3.0,30000,0.488311,8.7956,phase1
34,1,1024,3.0,30000,0.49148,8.7388,phase1
35,1,1024,3.0,30000,0.444327,9.6662,phase1
36,1,1024,3.0,30000,0.435724,9.8571,phase1
37,1,1024,3.0,30000,0.435638,9.859,phase1
38,1,1024,3.0,30000,0.461778,9.3009,phase1
39,1,1024,3.0,30000,0.483561,8.882,phase1
40,2,1024,3.0,30000,0.616406,6.9678,phase1
41,2,1024,3.0,30000,0.502885,8.5406,phase1
42,2,1024,3.0,30000,0.458566,9.3661,phase1
43,2,1024,3.0,30000,0.50172,8.5605,phase1
44,2,1024,3.0,30000,0.466168,9.2133,phase1
45,2,1024,3.0,30000,0.425689,10.0895,phase1
46,2,1024,3.0,30000,0.426939,10.0599,phase1
47,2,1024,3.0,30000,0.432939,9.9205,phase1
48,2,1024,3.0,30000,0.452854,9.4842,phase1
49,2,1024,3.0,30000,0.489176,8.78,phase1
50,2,1024,3.0,30000,0.466245,9.2118,phase1
51,2,1024,3.0,30000,0.482962,8.893,phase1
52,2,1024,3.0,30000,0.466362,9.2095,phase1
53,2,1024,3.0,30000,0.45829,9.3717,phase1
54,2,1024,3.0,30000,0.433172,9.9152,phase1
