round,arm,window,tight_job,tight_slowdown_mean,tight_slowdown_std,tight_slowdown_min,tight_slowdown_max,loose_slowdown_mean,loose_slowdown_std,n_epochs
round1_AB_ll_cx,LL,W1,A,0.9245,0.2739,0.6887,1.2235,0.7835,0.0084,5
round1_AB_ll_cx,LL,W2,B,1.3225,0.0032,1.3176,1.3260,0.7319,0.0081,5
round1_AB_ll_cx,LL,W3,B,0.8853,0.2465,0.7555,1.3239,0.7401,0.0029,5
round1_AB_ll_cx,CX,W1,A,0.9270,0.2584,0.6999,1.2110,0.7851,0.0031,5
round1_AB_ll_cx,CX,W2,B,1.3175,0.0101,1.3036,1.3296,0.7295,0.0063,5
round1_AB_ll_cx,CX,W3,B,0.9104,0.2271,0.7722,1.3048,0.7282,0.0046,5
round2_AB_cx_ll,LL,W1,A,0.9484,0.2645,0.7033,1.2303,0.7981,0.0039,5
round2_AB_cx_ll,LL,W2,B,1.3205,0.0116,1.3095,1.3353,0.7397,0.0071,5
round2_AB_cx_ll,LL,W3,B,0.9175,0.2297,0.7790,1.3178,0.7350,0.0077,5
round2_AB_cx_ll,CX,W1,A,0.9199,0.2818,0.6836,1.2332,0.7949,0.0042,5
round2_AB_cx_ll,CX,W2,B,1.3238,0.0055,1.3178,1.3320,0.7396,0.0040,5
round2_AB_cx_ll,CX,W3,B,0.8823,0.2624,0.7365,1.3444,0.7412,0.0048,5
round3_BA_ll_cx,LL,W1,A,1.2814,0.0263,1.2372,1.3052,0.6555,0.2101,5
round3_BA_ll_cx,LL,W2,B,1.3935,0.0231,1.3619,1.4173,0.7463,0.0196,5
round3_BA_ll_cx,LL,W3,B,1.3160,0.0247,1.2960,1.3544,0.5296,0.1662,5
round3_BA_ll_cx,CX,W1,A,1.2040,0.0116,1.1854,1.2149,0.6089,0.1648,5
round3_BA_ll_cx,CX,W2,B,1.3025,0.0213,1.2854,1.3346,0.7317,0.0068,5
round3_BA_ll_cx,CX,W3,B,1.3092,0.0138,1.2930,1.3213,0.4986,0.1389,5
round4_BA_cx_ll,LL,W1,A,1.2558,0.0225,1.2289,1.2815,0.6706,0.2222,5
round4_BA_cx_ll,LL,W2,B,1.3691,0.0292,1.3278,1.4055,0.7664,0.0099,5
round4_BA_cx_ll,LL,W3,B,1.3467,0.0129,1.3298,1.3609,0.5623,0.1827,5
round4_BA_cx_ll,CX,W1,A,1.1999,0.0084,1.1909,1.2138,0.5810,0.1816,5
round4_BA_cx_ll,CX,W2,B,1.2912,0.0100,1.2755,1.3027,0.7252,0.0064,5
round4_BA_cx_ll,CX,W3,B,1.2959,0.0162,1.2744,1.3172,0.4900,0.1293,5

round,arm,window,tight_job,tight_slowdown_mean,tight_slowdown_std,tight_slowdown_min,tight_slowdown_max,loose_slowdown_mean,loose_slowdown_std,n_rounds
AGGREGATED,LL,W1,,1.1025,0.1923,,,0.7269,0.0743,4
AGGREGATED,LL,W2,,1.3514,0.0360,,,0.7461,0.0148,4
AGGREGATED,LL,W3,,1.1164,0.2489,,,0.6418,0.1115,4
AGGREGATED,CX,W1,,1.0627,0.1608,,,0.6925,0.1132,4
AGGREGATED,CX,W2,,1.3088,0.0147,,,0.7315,0.0060,4
AGGREGATED,CX,W3,,1.0994,0.2348,,,0.6145,0.1390,4
