regime,arm,round,p_attn,s_cont,premium_slo_rate,standard_slo_rate,n_jobs_slow_lt1,n_jobs
ample,fair,1,0.5399,0.0129,0.0000,1.0000,0,2
ample,fair,2,0.4439,0.0140,0.0000,1.0000,0,2
ample,fair,3,0.5134,0.0122,0.0000,1.0000,0,2
ample,longliu,1,0.0115,0.0000,1.0000,1.0000,1,2
ample,longliu,2,0.0131,0.0000,1.0000,1.0000,1,2
ample,longliu,3,0.5122,0.0000,0.0000,1.0000,1,2
ample,static,1,0.5032,0.0000,0.0000,1.0000,1,2
ample,static,2,0.0068,0.0000,1.0000,1.0000,1,2
ample,static,3,0.0127,0.0000,1.0000,1.0000,1,2
deep_scarcity,fair,1,0.5803,3.5570,0.5000,0.5000,0,4
deep_scarcity,fair,2,0.0208,3.3376,1.0000,0.5000,1,4
deep_scarcity,fair,3,0.0114,3.3917,1.0000,0.5000,1,4
deep_scarcity,longliu,1,0.5461,4.1169,0.5000,0.5000,1,4
deep_scarcity,longliu,2,0.0091,1.7798,1.0000,0.5000,1,4
deep_scarcity,longliu,3,0.5122,2.5898,0.5000,0.5000,1,4
deep_scarcity,static,1,0.5872,3.1807,0.4667,0.5000,0,4
deep_scarcity,static,2,0.5400,3.5517,0.5000,0.5000,0,4
deep_scarcity,static,3,0.5423,2.1845,0.5000,0.5000,0,4
transition,fair,1,0.0089,0.0263,1.0000,1.0000,1,3
transition,fair,2,0.0039,0.0031,1.0000,1.0000,1,3
transition,fair,3,0.5338,0.0162,0.0000,1.0000,1,3
transition,longliu,1,0.5281,0.0408,0.0000,1.0000,1,3
transition,longliu,2,0.4967,0.0339,0.0000,1.0000,1,3
transition,longliu,3,0.0082,0.0000,1.0000,1.0000,2,3
transition,static,1,0.4968,0.0198,0.0000,1.0000,1,3
transition,static,2,0.4418,0.0000,0.0000,1.0000,2,3
transition,static,3,0.5264,0.0271,0.0000,1.0000,1,3
