regime,arm,round,job_id,label,class,c_i,slowdown,attainment,final_dscp,p_attn_run
ample,fair,1,0,J0_premium_L,premium,1.2,1.5399,1.2833,0,0.5399
ample,fair,1,1,J1_standard_M,standard,1.5,1.0129,0.6753,0,0.5399
ample,fair,2,0,J0_premium_L,premium,1.2,1.4439,1.2033,0,0.4439
ample,fair,2,1,J1_standard_M,standard,1.5,1.0140,0.6760,0,0.4439
ample,fair,3,0,J0_premium_L,premium,1.2,1.5134,1.2611,0,0.5134
ample,fair,3,1,J1_standard_M,standard,1.5,1.0122,0.6748,0,0.5134
ample,longliu,1,0,J0_premium_L,premium,1.2,1.0115,0.8429,24,0.0115
ample,longliu,1,1,J1_standard_M,standard,1.5,0.6634,0.4423,32,0.0115
ample,longliu,2,0,J0_premium_L,premium,1.2,1.0131,0.8442,24,0.0131
ample,longliu,2,1,J1_standard_M,standard,1.5,0.9868,0.6579,24,0.0131
ample,longliu,3,0,J0_premium_L,premium,1.2,1.5122,1.2601,0,0.5122
ample,longliu,3,1,J1_standard_M,standard,1.5,0.6644,0.4430,32,0.5122
ample,static,1,0,J0_premium_L,premium,1.2,1.5032,1.2526,0,0.5032
ample,static,1,1,J1_standard_M,standard,1.5,0.6818,0.4545,0,0.5032
ample,static,2,0,J0_premium_L,premium,1.2,1.0068,0.8390,0,0.0068
ample,static,2,1,J1_standard_M,standard,1.5,0.6812,0.4541,0,0.0068
ample,static,3,0,J0_premium_L,premium,1.2,1.0127,0.8439,0,0.0127
ample,static,3,1,J1_standard_M,standard,1.5,0.6826,0.4551,0,0.0127
deep_scarcity,fair,1,0,J0_premium_L,premium,1.2,1.5511,1.2926,0,0.5803
deep_scarcity,fair,1,1,J1_premium_M,premium,1.2,1.0293,0.8577,0,0.5803
deep_scarcity,fair,1,2,J2_standard_M,standard,2.0,4.1006,2.0503,0,0.5803
deep_scarcity,fair,1,3,J3_standard_S,standard,2.0,1.4564,0.7282,0,0.5803
deep_scarcity,fair,2,0,J0_premium_L,premium,1.2,1.0208,0.8507,0,0.0208
deep_scarcity,fair,2,1,J1_premium_M,premium,1.2,0.9736,0.8114,0,0.0208
deep_scarcity,fair,2,2,J2_standard_M,standard,2.0,3.9009,1.9504,0,0.0208
deep_scarcity,fair,2,3,J3_standard_S,standard,2.0,1.4368,0.7184,0,0.0208
deep_scarcity,fair,3,0,J0_premium_L,premium,1.2,1.0114,0.8429,0,0.0114
deep_scarcity,fair,3,1,J1_premium_M,premium,1.2,0.6835,0.5696,0,0.0114
deep_scarcity,fair,3,2,J2_standard_M,standard,2.0,3.9759,1.9880,0,0.0114
deep_scarcity,fair,3,3,J3_standard_S,standard,2.0,1.4157,0.7079,0,0.0114
deep_scarcity,longliu,1,0,J0_premium_L,premium,1.2,1.5461,1.2884,0,0.5461
deep_scarcity,longliu,1,1,J1_premium_M,premium,1.2,0.9830,0.8191,24,0.5461
deep_scarcity,longliu,1,2,J2_standard_M,standard,2.0,4.6767,2.3384,8,0.5461
deep_scarcity,longliu,1,3,J3_standard_S,standard,2.0,1.4402,0.7201,24,0.5461
deep_scarcity,longliu,2,0,J0_premium_L,premium,1.2,1.0091,0.8409,24,0.0091
deep_scarcity,longliu,2,1,J1_premium_M,premium,1.2,0.6780,0.5650,24,0.0091
deep_scarcity,longliu,2,2,J2_standard_M,standard,2.0,2.7622,1.3811,8,0.0091
deep_scarcity,longliu,2,3,J3_standard_S,standard,2.0,1.0176,0.5088,24,0.0091
deep_scarcity,longliu,3,0,J0_premium_L,premium,1.2,1.5122,1.2601,0,0.5122
deep_scarcity,longliu,3,1,J1_premium_M,premium,1.2,0.9724,0.8103,24,0.5122
deep_scarcity,longliu,3,2,J2_standard_M,standard,2.0,3.1211,1.5606,8,0.5122
deep_scarcity,longliu,3,3,J3_standard_S,standard,2.0,1.4687,0.7344,24,0.5122
deep_scarcity,static,1,0,J0_premium_L,premium,1.2,1.5479,1.2899,0,0.5872
deep_scarcity,static,1,1,J1_premium_M,premium,1.2,1.0393,0.8660,0,0.5872
deep_scarcity,static,1,2,J2_standard_M,standard,2.0,4.1224,2.0612,0,0.5872
deep_scarcity,static,1,3,J3_standard_S,standard,2.0,1.0583,0.5292,0,0.5872
deep_scarcity,static,2,0,J0_premium_L,premium,1.2,1.5180,1.2650,0,0.5400
deep_scarcity,static,2,1,J1_premium_M,premium,1.2,1.0220,0.8517,0,0.5400
deep_scarcity,static,2,2,J2_standard_M,standard,2.0,4.0991,2.0495,0,0.5400
deep_scarcity,static,2,3,J3_standard_S,standard,2.0,1.4526,0.7263,0,0.5400
deep_scarcity,static,3,0,J0_premium_L,premium,1.2,1.5233,1.2695,0,0.5423
deep_scarcity,static,3,1,J1_premium_M,premium,1.2,1.0190,0.8491,0,0.5423
deep_scarcity,static,3,2,J2_standard_M,standard,2.0,2.7295,1.3647,0,0.5423
deep_scarcity,static,3,3,J3_standard_S,standard,2.0,1.4550,0.7275,0,0.5423
transition,fair,1,0,J0_premium_L,premium,1.2,1.0089,0.8407,0,0.0089
transition,fair,1,1,J1_standard_M,standard,2.0,0.9794,0.4897,0,0.0089
transition,fair,1,2,J2_standard_S,standard,2.0,1.0263,0.5132,0,0.0089
transition,fair,2,0,J0_premium_L,premium,1.2,1.0039,0.8366,0,0.0039
transition,fair,2,1,J1_standard_M,standard,2.0,0.9652,0.4826,0,0.0039
transition,fair,2,2,J2_standard_S,standard,2.0,1.0031,0.5015,0,0.0039
transition,fair,3,0,J0_premium_L,premium,1.2,1.5338,1.2781,0,0.5338
transition,fair,3,1,J1_standard_M,standard,2.0,1.0162,0.5081,0,0.5338
transition,fair,3,2,J2_standard_S,standard,2.0,0.7627,0.3813,0,0.5338
transition,longliu,1,0,J0_premium_L,premium,1.2,1.5281,1.2734,0,0.5281
transition,longliu,1,1,J1_standard_M,standard,2.0,0.6642,0.3321,32,0.5281
transition,longliu,1,2,J2_standard_S,standard,2.0,1.0408,0.5204,24,0.5281
transition,longliu,2,0,J0_premium_L,premium,1.2,1.4967,1.2473,0,0.4967
transition,longliu,2,1,J1_standard_M,standard,2.0,0.9829,0.4914,32,0.4967
transition,longliu,2,2,J2_standard_S,standard,2.0,1.0339,0.5170,24,0.4967
transition,longliu,3,0,J0_premium_L,premium,1.2,1.0082,0.8402,24,0.0082
transition,longliu,3,1,J1_standard_M,standard,2.0,0.6638,0.3319,32,0.0082
transition,longliu,3,2,J2_standard_S,standard,2.0,0.7299,0.3649,32,0.0082
transition,static,1,0,J0_premium_L,premium,1.2,1.4968,1.2474,0,0.4968
transition,static,1,1,J1_standard_M,standard,2.0,1.0198,0.5099,0,0.4968
transition,static,1,2,J2_standard_S,standard,2.0,0.7560,0.3780,0,0.4968
transition,static,2,0,J0_premium_L,premium,1.2,1.4418,1.2015,0,0.4418
transition,static,2,1,J1_standard_M,standard,2.0,0.9913,0.4957,0,0.4418
transition,static,2,2,J2_standard_S,standard,2.0,0.7456,0.3728,0,0.4418
transition,static,3,0,J0_premium_L,premium,1.2,1.5264,1.2720,0,0.5264
transition,static,3,1,J1_standard_M,standard,2.0,0.6887,0.3444,0,0.5264
transition,static,3,2,J2_standard_S,standard,2.0,1.0271,0.5136,0,0.5264
