regime,arm,n_rounds,job_id,label,class,c_i,slowdown_mean,slowdown_std,attainment_mean
ample,fair,3,0,J0_premium_L,premium,1.2,1.4991,0.0405,1.2492
ample,fair,3,1,J1_standard_M,standard,1.5,1.0130,0.0007,0.6754
ample,fair,3,-1,P-ATTN,metric,,0.4991,0.0405,
ample,longliu,3,0,J0_premium_L,premium,1.2,1.1789,0.2357,0.9824
ample,longliu,3,1,J1_standard_M,standard,1.5,0.7715,0.1522,0.5144
ample,longliu,3,-1,P-ATTN,metric,,0.1789,0.2357,
ample,static,3,0,J0_premium_L,premium,1.2,1.1742,0.2326,0.9785
ample,static,3,1,J1_standard_M,standard,1.5,0.6819,0.0006,0.4546
ample,static,3,-1,P-ATTN,metric,,0.1742,0.2326,
deep_scarcity,fair,3,0,J0_premium_L,premium,1.2,1.1944,0.2522,0.9954
deep_scarcity,fair,3,1,J1_premium_M,premium,1.2,0.8955,0.1516,0.7462
deep_scarcity,fair,3,2,J2_standard_M,standard,2.0,3.9925,0.0824,1.9962
deep_scarcity,fair,3,3,J3_standard_S,standard,2.0,1.4363,0.0166,0.7181
deep_scarcity,fair,3,-1,P-ATTN,metric,,0.2042,0.2660,
deep_scarcity,longliu,3,0,J0_premium_L,premium,1.2,1.3558,0.2455,1.1298
deep_scarcity,longliu,3,1,J1_premium_M,premium,1.2,0.8778,0.1413,0.7315
deep_scarcity,longliu,3,2,J2_standard_M,standard,2.0,3.5200,0.8309,1.7600
deep_scarcity,longliu,3,3,J3_standard_S,standard,2.0,1.3088,0.2063,0.6544
deep_scarcity,longliu,3,-1,P-ATTN,metric,,0.3558,0.2455,
deep_scarcity,static,3,0,J0_premium_L,premium,1.2,1.5297,0.0130,1.2748
deep_scarcity,static,3,1,J1_premium_M,premium,1.2,1.0267,0.0089,0.8556
deep_scarcity,static,3,2,J2_standard_M,standard,2.0,3.6503,0.6512,1.8252
deep_scarcity,static,3,3,J3_standard_S,standard,2.0,1.3220,0.1864,0.6610
deep_scarcity,static,3,-1,P-ATTN,metric,,0.5565,0.0217,
transition,fair,3,0,J0_premium_L,premium,1.2,1.1822,0.2486,0.9851
transition,fair,3,1,J1_standard_M,standard,2.0,0.9869,0.0215,0.4934
transition,fair,3,2,J2_standard_S,standard,2.0,0.9307,0.1192,0.4653
transition,fair,3,-1,P-ATTN,metric,,0.1822,0.2486,
transition,longliu,3,0,J0_premium_L,premium,1.2,1.3443,0.2380,1.1203
transition,longliu,3,1,J1_standard_M,standard,2.0,0.7703,0.1503,0.3851
transition,longliu,3,2,J2_standard_S,standard,2.0,0.9349,0.1450,0.4674
transition,longliu,3,-1,P-ATTN,metric,,0.3443,0.2380,
transition,static,3,0,J0_premium_L,premium,1.2,1.4884,0.0351,1.2403
transition,static,3,1,J1_standard_M,standard,2.0,0.9000,0.1498,0.4500
transition,static,3,2,J2_standard_S,standard,2.0,0.8429,0.1303,0.4215
transition,static,3,-1,P-ATTN,metric,,0.4884,0.0351,
