regime,scenario,arm,round,job_id,label,tier,c_policy,c_eval,slowdown_mean,slowdown_std,attainment_mean,slo_met_frac,comm_slowdown_v1,slowdown_lt1
S1_ample,S1,fair,1,0,J0_P_L,premium,1.35,1.5,1.0757,0.0684,0.7172,1.000,1.2837,N
S1_ample,S1,fair,1,1,J1_P_M,premium,1.35,1.5,1.2109,0.0611,0.8073,1.000,1.7898,N
S1_ample,S1,fair,1,2,J2_S_M,standard,2.0,2.0,1.0631,0.0614,0.5316,1.000,1.2710,N
S1_ample,S1,fair,1,3,J3_S_S,standard,2.0,2.0,1.0625,0.0740,0.5313,1.000,1.3418,N
S1_ample,S1,fair,1,4,J4_S_XS,standard,2.0,2.0,1.0623,0.0249,0.5312,1.000,1.4156,N
S1_ample,S1,fair,2,0,J0_P_L,premium,1.35,1.5,1.0343,0.0891,0.6895,0.995,1.1283,N
S1_ample,S1,fair,2,1,J1_P_M,premium,1.35,1.5,1.2380,0.1585,0.8254,0.995,1.8915,N
S1_ample,S1,fair,2,2,J2_S_M,standard,2.0,2.0,1.0962,0.0574,0.5481,1.000,1.4130,N
S1_ample,S1,fair,2,3,J3_S_S,standard,2.0,2.0,1.0722,0.0299,0.5361,1.000,1.3947,N
S1_ample,S1,fair,2,4,J4_S_XS,standard,2.0,2.0,1.0820,0.0142,0.5410,1.000,1.5467,N
S1_ample,S1,fair,3,0,J0_P_L,premium,1.35,1.5,1.1220,0.0986,0.7480,1.000,1.4570,N
S1_ample,S1,fair,3,1,J1_P_M,premium,1.35,1.5,1.3563,0.0998,0.9042,0.921,2.3343,N
S1_ample,S1,fair,3,2,J2_S_M,standard,2.0,2.0,1.1526,0.0778,0.5763,1.000,1.6549,N
S1_ample,S1,fair,3,3,J3_S_S,standard,2.0,2.0,1.1003,0.0352,0.5502,1.000,1.5481,N
S1_ample,S1,fair,3,4,J4_S_XS,standard,2.0,2.0,1.1244,0.0279,0.5622,1.000,1.8291,N
S1_ample,S1,fair,4,0,J0_P_L,premium,1.35,1.5,1.1502,0.1245,0.7668,1.000,1.5627,N
S1_ample,S1,fair,4,1,J1_P_M,premium,1.35,1.5,1.3921,0.1023,0.9280,0.842,2.4684,N
S1_ample,S1,fair,4,2,J2_S_M,standard,2.0,2.0,1.1896,0.0669,0.5948,1.000,1.8136,N
