epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.352442,12.3114,-0.394387,3,16,0.6017,3905.163
1,phase1,1024,3.0,30000,0.343133,12.5428,-0.402432,3,16,0.5858,3905.163
2,phase1,1024,3.0,30000,0.354082,12.1646,-0.398883,3,16,0.6045,3905.163
3,phase1,1024,3.0,30000,0.354425,12.1512,-0.396961,3,16,0.6051,3905.163
4,phase1,1024,3.0,30000,0.355187,12.1285,-0.395545,3,16,0.6064,3905.163
5,phase1,1024,3.0,30000,0.341304,12.608,-0.398552,3,16,0.5827,3905.163
6,phase1,1024,3.0,30000,0.348401,12.362,-0.398969,3,16,0.5948,3905.163
7,phase2,1024,1.2,30000,0.344147,12.5478,0.499524,3,16,1.4688,3905.163
8,phase2,1024,1.2,30000,0.345266,12.47,0.497682,3,16,1.4735,3905.163
9,phase2,1024,1.2,30000,0.351557,12.3118,0.498894,3,16,1.5004,3905.163
10,phase2,1024,1.2,30000,0.348403,12.3496,0.498661,3,16,1.4869,3905.163
11,phase2,1024,1.2,30000,0.344949,12.4867,0.497238,3,16,1.4722,3905.163
12,phase2,1024,1.2,30000,0.250755,17.7214,0.464603,3,16,1.0702,3905.163
13,phase2,1024,1.2,30000,0.209573,20.6073,0.423908,3,16,0.8944,3905.163
14,phase2,1024,1.2,30000,0.211801,20.3992,0.389274,3,16,0.9039,3905.163
