window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.790805,5.8147,2.139433,3,16,3.1373,4201.087
1,phase1,1024,1.2,30000,1.189983,3.623,2.934258,3,16,4.7209,4201.087
2,phase1,1024,1.2,30000,1.199058,3.5916,3.211269,3,16,4.7569,4201.087
3,phase1,1024,1.2,30000,1.172778,3.6719,3.323708,3,16,4.6527,4201.087
4,phase1,1024,1.2,30000,1.195249,3.6055,3.409017,3,16,4.7418,4201.087
5,phase1,1024,1.2,30000,1.191388,3.619,3.463289,3,16,4.7265,4201.087
6,phase1,1024,1.2,30000,1.204875,3.5708,3.509683,3,16,4.78,4201.087
7,phase2,1024,3.0,30000,1.177621,3.6553,0.812395,3,16,1.8688,4201.087
8,phase2,1024,3.0,30000,1.192352,3.6096,0.821627,3,16,1.8921,4201.087
9,phase2,1024,3.0,30000,1.187232,3.6265,0.828202,3,16,1.884,4201.087
10,phase2,1024,3.0,30000,1.193549,3.6067,0.834494,3,16,1.894,4201.087
11,phase2,1024,3.0,30000,1.187376,3.6241,0.838921,3,16,1.8842,4201.087
12,phase2,1024,3.0,30000,1.191717,3.6119,0.843197,3,16,1.8911,4201.087
13,phase2,1024,3.0,30000,1.17056,3.6748,0.844464,3,16,1.8576,4201.087
14,phase2,1024,3.0,30000,1.174391,3.6618,0.845969,3,16,1.8636,4201.087
