window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.798158,5.7057,2.168669,3,16,3.1665,4201.087
1,phase1,1024,1.2,30000,1.241899,3.4665,3.051831,3,16,4.9269,4201.087
2,phase1,1024,1.2,30000,1.253712,3.433,3.361852,3,16,4.9738,4201.087
3,phase1,1024,1.2,30000,1.243529,3.4579,3.506824,3,16,4.9334,4201.087
4,phase1,1024,1.2,30000,1.246966,3.4508,3.596526,3,16,4.947,4201.087
5,phase1,1024,1.2,30000,1.276566,3.3767,3.675893,3,16,5.0644,4201.087
6,phase1,1024,1.2,30000,1.235129,3.4831,3.709101,3,16,4.9,4201.087
7,phase2,1024,3.0,30000,1.240912,3.4687,0.894746,3,16,1.9692,4201.087
8,phase2,1024,3.0,30000,1.225774,3.5063,0.900721,3,16,1.9452,4201.087
9,phase2,1024,3.0,30000,1.255926,3.4289,0.910287,3,16,1.993,4201.087
10,phase2,1024,3.0,30000,1.25761,3.4224,0.918358,3,16,1.9957,4201.087
11,phase2,1024,3.0,30000,1.248401,3.4458,0.923864,3,16,1.9811,4201.087
12,phase2,1024,3.0,30000,1.250534,3.4397,0.928784,3,16,1.9845,4201.087
13,phase2,1024,3.0,30000,1.240518,3.4688,0.931866,3,16,1.9686,4201.087
14,phase2,1024,3.0,30000,1.237546,3.4774,0.934223,3,16,1.9639,4201.087
