window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.235156,3.4831,1.112062,3,16,2.1086,3905.163
1,phase1,1024,3.0,30000,1.263637,3.4091,1.136363,3,16,2.1572,3905.163
2,phase1,1024,3.0,30000,1.244695,3.4578,1.133711,3,16,2.1249,3905.163
3,phase1,1024,3.0,30000,1.246429,3.4512,1.133141,3,16,2.1278,3905.163
4,phase1,1024,3.0,30000,1.271593,3.387,1.141327,3,16,2.1708,3905.163
5,phase1,1024,3.0,30000,1.249082,3.4474,1.140417,3,16,2.1324,3905.163
6,phase1,1024,3.0,30000,1.247821,3.4484,1.139467,3,16,2.1302,3905.163
7,phase2,1024,1.2,30000,1.218133,3.5311,4.33104,3,16,5.1988,3905.163
8,phase2,1024,1.2,30000,1.254793,3.4324,4.334727,3,16,5.3553,3905.163
9,phase2,1024,1.2,30000,1.239932,3.4663,4.331338,3,16,5.2919,3905.163
10,phase2,1024,1.2,30000,1.264057,3.4046,4.337904,3,16,5.3948,3905.163
11,phase2,1024,1.2,30000,1.252802,3.4362,4.339383,3,16,5.3468,3905.163
12,phase2,1024,1.2,30000,1.245976,3.4533,4.338405,3,16,5.3176,3905.163
13,phase2,1024,1.2,30000,1.225322,3.5128,4.33127,3,16,5.2295,3905.163
14,phase2,1024,1.2,30000,0.777276,5.9618,4.197181,3,16,3.3173,3905.163
