iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.810794,5.2972,phase1
1,0,1024,1.2,30000,0.650464,6.6029,phase1
2,0,1024,1.2,30000,0.659398,6.5135,phase1
3,0,1024,1.2,30000,0.651648,6.5909,phase1
4,0,1024,1.2,30000,0.654852,6.5587,phase1
5,0,1024,1.2,30000,0.675731,6.356,phase1
6,0,1024,1.2,30000,0.656689,6.5403,phase1
7,0,1024,1.2,30000,0.644522,6.6638,phase1
8,0,1024,1.2,30000,0.625152,6.8703,phase1
9,0,1024,1.2,30000,0.657632,6.531,phase1
10,0,1024,1.2,30000,0.648943,6.6184,phase1
11,0,1024,1.2,30000,0.660225,6.5053,phase1
12,0,1024,1.2,30000,0.610704,7.0328,phase1
13,0,1024,1.2,30000,0.646572,6.6427,phase1
14,0,1024,1.2,30000,0.638657,6.725,phase1
15,0,1024,1.2,30000,0.696529,6.1662,phase1
16,0,1024,1.2,30000,0.595924,7.2072,phase1
17,0,1024,1.2,30000,0.644907,6.6598,phase1
18,0,1024,1.2,30000,0.679113,6.3244,phase1
19,0,1024,1.2,30000,0.634036,6.774,phase1
20,1,1024,1.2,30000,0.662882,6.4792,phase1
21,1,1024,1.2,30000,0.636987,6.7426,phase1
22,1,1024,1.2,30000,0.679171,6.3238,phase1
23,1,1024,1.2,30000,0.67557,6.3575,phase1
24,1,1024,1.2,30000,0.69601,6.1708,phase1
25,1,1024,1.2,30000,0.682287,6.295,phase1
26,1,1024,1.2,30000,0.675255,6.3605,phase1
27,1,1024,1.2,30000,0.666596,6.4431,phase1
28,1,1024,1.2,30000,0.649996,6.6077,phase1
29,1,1024,1.2,30000,0.684848,6.2714,phase1
30,1,1024,1.2,30000,0.721465,5.9531,phase1
31,1,1024,1.2,30000,0.679901,6.317,phase1
32,1,1024,1.2,30000,0.663565,6.4726,phase1
33,1,1024,1.2,30000,0.622249,6.9023,phase1
34,1,1024,1.2,30000,0.658378,6.5236,phase1
35,1,1024,1.2,30000,0.651353,6.5939,phase1
36,1,1024,1.2,30000,0.675838,6.355,phase1
37,1,1024,1.2,30000,0.631076,6.8058,phase1
38,1,1024,1.2,30000,0.647945,6.6286,phase1
39,1,1024,1.2,30000,0.657946,6.5278,phase1
40,2,1024,1.2,30000,0.723027,5.9403,phase1
41,2,1024,1.2,30000,0.659839,6.5091,phase1
42,2,1024,1.2,30000,0.638549,6.7261,phase1
43,2,1024,1.2,30000,0.684427,6.2753,phase1
44,2,1024,1.2,30000,0.6537,6.5702,phase1
45,2,1024,1.2,30000,0.711506,6.0364,phase1
46,2,1024,1.2,30000,0.708848,6.0591,phase1
47,2,1024,1.2,30000,0.720652,5.9598,phase1
48,2,1024,1.2,30000,0.721256,5.9548,phase1
49,2,1024,1.2,30000,0.728919,5.8922,phase1
50,2,1024,1.2,30000,0.712804,6.0255,phase1
51,2,1024,1.2,30000,0.707721,6.0687,phase1
52,2,1024,1.2,30000,0.724422,5.9288,phase1
53,2,1024,1.2,30000,0.716671,5.9929,phase1
54,2,1024,1.2,30000,0.720531,5.9608,phase1
55,2,1024,1.2,30000,0.695393,6.1763,phase1
56,2,1024,1.2,30000,0.712157,6.0309,phase1
57,2,1024,1.2,30000,0.702962,6.1098,phase1
58,2,1024,1.2,30000,0.712368,6.0291,phase1
59,2,1024,1.2,30000,0.683186,6.2867,phase1
60,3,1024,1.2,30000,0.746015,5.7572,phase1
