window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.657125,6.559,1.607645,6,8,2.607,4201.087
1,phase1,1024,1.2,30000,0.665966,6.4566,1.625159,6,8,2.642,4201.087
2,phase1,1024,1.2,30000,0.701947,6.1267,1.680508,6,8,2.7848,4201.087
3,phase1,1024,1.2,30000,0.722549,5.9473,1.729108,6,8,2.8665,4201.087
4,phase1,1024,1.2,30000,0.717271,5.9895,1.754097,6,8,2.8456,4201.087
5,phase1,1024,1.2,30000,1.129107,3.9629,2.043044,6,8,4.4794,4201.087
6,phase1,1024,1.2,30000,1.240691,3.4682,2.312678,6,8,4.9221,4201.087
7,phase2,1024,3.0,30000,1.226613,3.5045,0.403163,6,8,1.9465,4201.087
8,phase2,1024,3.0,30000,1.227509,3.503,0.464066,6,8,1.9479,4201.087
9,phase2,1024,3.0,30000,1.249102,3.4409,0.516216,6,8,1.9822,4201.087
10,phase2,1024,3.0,30000,1.236949,3.476,0.557132,6,8,1.9629,4201.087
11,phase2,1024,3.0,30000,1.243377,3.4575,0.592078,6,8,1.9731,4201.087
12,phase2,1024,3.0,30000,1.244296,3.457,0.62176,6,8,1.9746,4201.087
13,phase2,1024,3.0,30000,1.246363,3.4505,0.647437,6,8,1.9778,4201.087
14,phase2,1024,3.0,30000,1.24703,3.4478,0.669759,6,8,1.9789,4201.087
