iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,3.768841,1.1396,phase1
1,0,1024,3.0,30000,2.145515,2.0018,phase1
2,0,1024,3.0,30000,1.872468,2.2937,phase1
3,0,1024,3.0,30000,2.157947,1.9903,phase1
4,0,1024,3.0,30000,2.201257,1.9511,phase1
5,0,1024,3.0,30000,1.912539,2.2457,phase1
6,0,1024,3.0,30000,2.207676,1.9455,phase1
7,0,1024,3.0,30000,2.218488,1.936,phase1
8,0,1024,3.0,30000,2.220194,1.9345,phase1
9,0,1024,3.0,30000,2.272317,1.8901,phase1
10,0,1024,3.0,30000,1.974695,2.175,phase1
11,0,1024,3.0,30000,2.226169,1.9293,phase1
12,0,1024,3.0,30000,1.985704,2.1629,phase1
13,0,1024,3.0,30000,2.084597,2.0603,phase1
14,0,1024,3.0,30000,2.019961,2.1263,phase1
15,0,1024,3.0,30000,2.056104,2.0889,phase1
16,0,1024,3.0,30000,2.166808,1.9822,phase1
17,0,1024,3.0,30000,2.353974,1.8246,phase1
18,0,1024,3.0,30000,2.042207,2.1031,phase1
19,0,1024,3.0,30000,2.240082,1.9173,phase1
20,1,1024,3.0,30000,1.192893,3.6005,phase1
21,1,1024,3.0,30000,1.201458,3.5748,phase1
22,1,1024,3.0,30000,1.2181,3.526,phase1
23,1,1024,3.0,30000,1.266388,3.3915,phase1
24,1,1024,3.0,30000,1.243485,3.454,phase1
25,1,1024,3.0,30000,1.316376,3.2627,phase1
26,1,1024,3.0,30000,1.157321,3.7111,phase1
27,1,1024,3.0,30000,1.227644,3.4985,phase1
28,1,1024,3.0,30000,1.180588,3.638,phase1
29,1,1024,3.0,30000,1.201319,3.5752,phase1
30,1,1024,3.0,30000,1.239505,3.4651,phase1
31,1,1024,3.0,30000,1.236802,3.4726,phase1
32,1,1024,3.0,30000,1.214638,3.536,phase1
33,1,1024,3.0,30000,1.196608,3.5893,phase1
34,1,1024,3.0,30000,1.282845,3.348,phase1
35,1,1024,3.0,30000,1.235819,3.4754,phase1
36,1,1024,3.0,30000,1.202711,3.5711,phase1
37,1,1024,3.0,30000,1.200382,3.578,phase1
38,1,1024,3.0,30000,1.23274,3.4841,phase1
39,1,1024,3.0,30000,1.185715,3.6223,phase1
40,2,1024,3.0,30000,1.375777,3.1218,phase1
41,2,1024,3.0,30000,1.309947,3.2787,phase1
42,2,1024,3.0,30000,1.30582,3.2891,phase1
43,2,1024,3.0,30000,1.293482,3.3205,phase1
44,2,1024,3.0,30000,1.219718,3.5213,phase1
45,2,1024,3.0,30000,1.248847,3.4391,phase1
46,2,1024,3.0,30000,1.211441,3.5453,phase1
47,2,1024,3.0,30000,1.184234,3.6268,phase1
48,2,1024,3.0,30000,1.214512,3.5364,phase1
49,2,1024,3.0,30000,1.279236,3.3574,phase1
50,2,1024,3.0,30000,1.215432,3.5337,phase1
51,2,1024,3.0,30000,1.172018,3.6646,phase1
52,2,1024,3.0,30000,1.217769,3.5269,phase1
53,2,1024,3.0,30000,1.190027,3.6091,phase1
54,2,1024,3.0,30000,1.3145,3.2674,phase1
55,2,1024,3.0,30000,1.237548,3.4705,phase1
56,2,1024,3.0,30000,1.231459,3.4877,phase1
57,2,1024,3.0,30000,1.195504,3.5926,phase1
58,2,1024,3.0,30000,1.224182,3.5084,phase1
59,2,1024,3.0,30000,1.218739,3.5241,phase1
60,3,1024,3.0,30000,1.211033,3.5465,phase1
61,3,1024,3.0,30000,1.163784,3.6905,phase1
62,3,1024,3.0,30000,1.244921,3.45,phase1
63,3,1024,3.0,30000,1.247232,3.4436,phase1
64,3,1024,3.0,30000,1.176455,3.6508,phase1
65,3,1024,3.0,30000,1.248865,3.4391,phase1
66,3,1024,3.0,30000,1.244077,3.4523,phase1
67,3,1024,3.0,30000,1.218269,3.5255,phase1
68,3,1024,3.0,30000,1.24141,3.4597,phase1
69,3,1024,3.0,30000,1.171935,3.6649,phase1
70,3,1024,3.0,30000,1.209819,3.5501,phase1
71,3,1024,3.0,30000,1.280724,3.3535,phase1
72,3,1024,3.0,30000,1.171033,3.6677,phase1
73,3,1024,3.0,30000,1.252886,3.4281,phase1
74,3,1024,3.0,30000,1.326993,3.2366,phase1
75,3,1024,3.0,30000,1.237132,3.4717,phase1
76,3,1024,3.0,30000,1.188403,3.6141,phase1
77,3,1024,3.0,30000,1.210643,3.5477,phase1
78,3,1024,3.0,30000,1.232575,3.4845,phase1
79,3,1024,3.0,30000,1.207327,3.5574,phase1
80,4,1024,3.0,30000,1.250468,3.4347,phase1
81,4,1024,3.0,30000,1.318137,3.2584,phase1
82,4,1024,3.0,30000,1.17513,3.6549,phase1
83,4,1024,3.0,30000,1.228546,3.496,phase1
84,4,1024,3.0,30000,1.241733,3.4588,phase1
85,4,1024,3.0,30000,1.244554,3.451,phase1
86,4,1024,3.0,30000,1.259122,3.4111,phase1
87,4,1024,3.0,30000,1.270407,3.3808,phase1
88,4,1024,3.0,30000,1.214133,3.5375,phase1
89,4,1024,3.0,30000,1.205379,3.5632,phase1
90,4,1024,3.0,30000,1.202242,3.5725,phase1
91,4,1024,3.0,30000,1.198524,3.5835,phase1
92,4,1024,3.0,30000,1.278855,3.3584,phase1
93,4,1024,3.0,30000,1.232473,3.4848,phase1
94,4,1024,3.0,30000,1.166602,3.6816,phase1
95,4,1024,3.0,30000,1.198937,3.5823,phase1
96,4,1024,3.0,30000,1.197956,3.5852,phase1
97,4,1024,3.0,30000,1.226898,3.5007,phase1
98,4,1024,3.0,30000,1.188611,3.6134,phase1
99,4,1024,3.0,30000,1.21851,3.5248,phase1
100,5,1024,3.0,30000,1.205555,3.5626,phase1
101,5,1024,3.0,30000,1.29789,3.3092,phase1
102,5,1024,3.0,30000,1.228622,3.4958,phase1
103,5,1024,3.0,30000,1.233708,3.4813,phase1
104,5,1024,3.0,30000,1.184116,3.6272,phase1
105,5,1024,3.0,30000,1.270084,3.3816,phase1
