window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.690766,6.6749,1.741941,6,8,2.7404,4201.087
1,phase1,1024,1.2,30000,0.708251,6.066,1.779976,6,8,2.8098,4201.087
2,phase1,1024,1.2,30000,0.705042,6.0947,1.788393,6,8,2.7971,4201.087
3,phase1,1024,1.2,30000,1.061678,4.2631,2.146322,6,8,4.2119,4201.087
4,phase1,1024,1.2,30000,1.205075,3.5844,2.474881,6,8,4.7808,4201.087
5,phase1,1024,1.2,30000,1.194334,3.6111,2.686816,6,8,4.7382,4201.087
6,phase1,1024,1.2,30000,1.224146,3.5229,2.855101,6,8,4.8565,4201.087
7,phase2,1024,3.0,30000,1.199218,3.593,0.587577,6,8,1.903,4201.087
8,phase2,1024,3.0,30000,1.173656,3.6661,0.618493,6,8,1.8625,4201.087
9,phase2,1024,3.0,30000,1.201684,3.5845,0.647673,6,8,1.9069,4201.087
10,phase2,1024,3.0,30000,1.193363,3.6079,0.670346,6,8,1.8937,4201.087
11,phase2,1024,3.0,30000,1.191301,3.6097,0.688969,6,8,1.8905,4201.087
12,phase2,1024,3.0,30000,1.196652,3.5914,0.705381,6,8,1.899,4201.087
13,phase2,1024,3.0,30000,1.183976,3.6353,0.718011,6,8,1.8788,4201.087
14,phase2,1024,3.0,30000,1.193877,3.606,0.730004,6,8,1.8946,4201.087
