window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.776349,2.4475,2.036135,6,8,3.0325,3905.163
1,phase1,1024,3.0,30000,1.176101,3.664,1.523734,6,8,2.0078,3905.163
2,phase1,1024,3.0,30000,1.222655,3.5295,1.379439,6,8,2.0872,3905.163
3,phase1,1024,3.0,30000,1.189356,3.6199,1.29308,6,8,2.0304,3905.163
4,phase1,1024,3.0,30000,1.222876,3.5241,1.25271,6,8,2.0876,3905.163
5,phase1,1024,3.0,30000,1.194863,3.6048,1.217829,6,8,2.0398,3905.163
6,phase1,1024,3.0,30000,1.177233,3.6559,1.188613,6,8,2.0097,3905.163
7,phase2,1024,1.2,30000,1.212178,3.5551,4.435386,6,8,5.1734,3905.163
8,phase2,1024,1.2,30000,1.191675,3.6131,4.397559,6,8,5.0859,3905.163
9,phase2,1024,1.2,30000,1.197136,3.5919,4.369631,6,8,5.1092,3905.163
10,phase2,1024,1.2,30000,1.185944,3.6264,4.342382,6,8,5.0614,3905.163
11,phase2,1024,1.2,30000,1.185037,3.6365,4.319386,6,8,5.0576,3905.163
12,phase2,1024,1.2,30000,1.040027,4.4739,4.252168,6,8,4.4387,3905.163
13,phase2,1024,1.2,30000,0.607775,7.0755,4.062333,6,8,2.5939,3905.163
14,phase2,1024,1.2,30000,0.601795,7.1498,3.896108,6,8,2.5684,3905.163
