epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.181827,23.904,-0.277847,3,16,0.7214,4201.087
1,phase1,1024,1.2,30000,0.177941,24.1748,-0.285689,3,16,0.7059,4201.087
2,phase1,1024,1.2,30000,0.17569,24.4956,-0.291179,3,16,0.697,4201.087
3,phase1,1024,1.2,30000,0.296929,14.4967,-0.171807,3,16,1.178,4201.087
4,phase1,1024,1.2,30000,0.307216,14.005,-0.09195,3,16,1.2188,4201.087
5,phase1,1024,1.2,30000,0.303177,14.1777,-0.041378,3,16,1.2028,4201.087
6,phase1,1024,1.2,30000,0.30655,14.0231,-0.003432,3,16,1.2162,4201.087
7,phase2,1024,3.0,30000,0.305822,14.0598,-0.590354,3,16,0.4853,4201.087
8,phase2,1024,3.0,30000,0.308821,13.919,-0.581031,3,16,0.4901,4201.087
9,phase2,1024,3.0,30000,0.298384,14.4091,-0.575227,3,16,0.4735,4201.087
10,phase2,1024,3.0,30000,0.308889,13.9175,-0.568963,3,16,0.4902,4201.087
11,phase2,1024,3.0,30000,0.304021,14.1407,-0.564388,3,16,0.4824,4201.087
12,phase2,1024,3.0,30000,0.30519,14.0889,-0.560374,3,16,0.4843,4201.087
13,phase2,1024,3.0,30000,0.307899,13.9726,-0.556625,3,16,0.4886,4201.087
14,phase2,1024,3.0,30000,0.305397,14.0762,-0.553642,3,16,0.4846,4201.087
