epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.178331,24.3913,-0.291659,3,16,0.7075,4201.087
1,phase1,1024,1.2,30000,0.174456,24.6542,-0.299385,3,16,0.6921,4201.087
2,phase1,1024,1.2,30000,0.175802,24.4902,-0.300152,3,16,0.6974,4201.087
3,phase1,1024,1.2,30000,0.290855,15.1084,-0.184647,3,16,1.1539,4201.087
4,phase1,1024,1.2,30000,0.305949,14.0556,-0.103226,3,16,1.2138,4201.087
5,phase1,1024,1.2,30000,0.302341,14.2145,-0.051337,3,16,1.1995,4201.087
6,phase1,1024,1.2,30000,0.301093,14.275,-0.014977,3,16,1.1945,4201.087
7,phase2,1024,3.0,30000,0.299594,14.3487,-0.595378,3,16,0.4754,4201.087
8,phase2,1024,3.0,30000,0.304751,14.1032,-0.586215,3,16,0.4836,4201.087
9,phase2,1024,3.0,30000,0.30065,14.3008,-0.579584,3,16,0.4771,4201.087
10,phase2,1024,3.0,30000,0.306651,14.0171,-0.573247,3,16,0.4866,4201.087
11,phase2,1024,3.0,30000,0.302365,14.2099,-0.568534,3,16,0.4798,4201.087
12,phase2,1024,3.0,30000,0.299356,14.3568,-0.564911,3,16,0.475,4201.087
13,phase2,1024,3.0,30000,0.303786,14.1493,-0.561305,3,16,0.4821,4201.087
14,phase2,1024,3.0,30000,0.299924,14.3356,-0.55859,3,16,0.4759,4201.087
