epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.302517,14.2855,-0.479641,3,16,0.5164,3905.163
1,phase1,1024,3.0,30000,0.306637,14.0339,-0.476212,3,16,0.5235,3905.163
2,phase1,1024,3.0,30000,0.302459,14.2249,-0.477448,3,16,0.5163,3905.163
3,phase1,1024,3.0,30000,0.305622,14.0699,-0.476762,3,16,0.5217,3905.163
4,phase1,1024,3.0,30000,0.304619,14.1194,-0.476914,3,16,0.52,3905.163
5,phase1,1024,3.0,30000,0.307303,13.9894,-0.476034,3,16,0.5246,3905.163
6,phase1,1024,3.0,30000,0.299908,14.3381,-0.477211,3,16,0.512,3905.163
7,phase2,1024,1.2,30000,0.30606,14.0439,0.30804,3,16,1.3062,3905.163
8,phase2,1024,1.2,30000,0.304523,14.1172,0.308157,3,16,1.2997,3905.163
9,phase2,1024,1.2,30000,0.303253,14.1771,0.307694,3,16,1.2942,3905.163
10,phase2,1024,1.2,30000,0.306967,14.0231,0.308766,3,16,1.3101,3905.163
11,phase2,1024,1.2,30000,0.304795,14.1033,0.308887,3,16,1.3008,3905.163
12,phase2,1024,1.2,30000,0.178119,24.212,0.266769,3,16,0.7602,3905.163
13,phase2,1024,1.2,30000,0.174787,24.6046,0.22962,3,16,0.746,3905.163
14,phase2,1024,1.2,30000,0.175627,24.4918,0.197665,3,16,0.7496,3905.163
