epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.304403,14.2124,-0.476381,2,24,0.5197,3905.163
1,phase1,1024,3.0,30000,0.303254,14.5545,-0.477558,2,24,0.5177,3905.163
2,phase1,1024,3.0,30000,0.309876,13.8906,-0.474119,2,24,0.529,3905.163
3,phase1,1024,3.0,30000,0.319937,13.4545,-0.468115,2,24,0.5462,3905.163
4,phase1,1024,3.0,30000,0.307669,14.0881,-0.468728,2,24,0.5252,3905.163
5,phase1,1024,3.0,30000,0.2607,16.4933,-0.482478,2,24,0.4451,3905.163
6,phase1,1024,3.0,30000,0.26794,16.0978,-0.490529,2,24,0.4574,3905.163
7,phase2,1024,1.2,30000,0.266592,16.1493,0.257863,4,0,1.1378,3905.163
8,phase2,1024,1.2,30000,0.30198,14.4041,0.262316,4,0,1.2888,3905.163
9,phase2,1024,1.2,30000,0.298643,14.4443,0.264476,4,0,1.2746,3905.163
10,phase2,1024,1.2,30000,0.302461,14.2599,0.267726,4,0,1.2909,3905.163
11,phase2,1024,1.2,30000,0.294248,14.6748,0.267514,4,0,1.2558,3905.163
12,phase2,1024,1.2,30000,0.290893,14.8039,0.266233,4,0,1.2415,3905.163
13,phase2,1024,1.2,30000,0.284937,15.1531,0.263325,4,0,1.2161,3905.163
14,phase2,1024,1.2,30000,0.220959,19.6967,0.242109,4,0,0.943,3905.163
