epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.311511,13.8964,-0.464248,2,24,0.5318,3905.163
1,phase1,1024,3.0,30000,0.305337,14.2087,-0.469627,2,24,0.5213,3905.163
2,phase1,1024,3.0,30000,0.292292,14.8538,-0.478899,2,24,0.499,3905.163
3,phase1,1024,3.0,30000,0.307777,13.9709,-0.476877,2,24,0.5254,3905.163
4,phase1,1024,3.0,30000,0.306521,14.0334,-0.476095,2,24,0.5233,3905.163
5,phase1,1024,3.0,30000,0.263249,16.4388,-0.487941,2,24,0.4494,3905.163
6,phase1,1024,3.0,30000,0.260331,16.5343,-0.497064,2,24,0.4444,3905.163
7,phase2,1024,1.2,30000,0.259497,16.5814,0.239734,4,0,1.1075,3905.163
8,phase2,1024,1.2,30000,0.265849,16.4286,0.229101,4,0,1.1346,3905.163
9,phase2,1024,1.2,30000,0.253989,16.961,0.215532,4,0,1.084,3905.163
10,phase2,1024,1.2,30000,0.258018,16.672,0.205995,4,0,1.1012,3905.163
11,phase2,1024,1.2,30000,0.259393,16.6025,0.198535,4,0,1.1071,3905.163
12,phase2,1024,1.2,30000,0.253318,16.9734,0.19023,4,0,1.0811,3905.163
13,phase2,1024,1.2,30000,0.25354,16.9933,0.183177,4,0,1.0821,3905.163
14,phase2,1024,1.2,30000,0.257939,16.7069,0.178317,4,0,1.1008,3905.163
