=== Phase 1 对照组（等优先级）完整数据 ===
来源: QUOTA_EXPERIMENT_RESULTS.md L861-L885

Tight job A:
Epoch,LL_comm(ms),CX_comm(ms),Delta(ms),Delta(%)
0,179.6,168.1,+11.5,+6.8
1,202.9,157.7,+45.2,+28.7
2,218.3,161.6,+56.7,+35.1
3,290.0,240.7,+49.2,+20.4
4,334.5,280.9,+53.6,+19.1
5,337.4,281.8,+55.6,+19.7
6,338.0,277.3,+60.7,+21.9
AVG,271.5,224.0,+47.5,+21.2

Loose job B:
Epoch,LL_comm(ms),CX_comm(ms),Delta(ms),Delta(%)
0,350.5,284.2,+66.2,+23.3
1,343.6,283.5,+60.1,+21.2
2,336.5,279.8,+56.7,+20.3
3,338.4,276.6,+61.8,+22.3
4,334.7,281.7,+53.1,+18.8
5,313.7,278.8,+34.9,+12.5
6,321.1,280.4,+40.8,+14.5
AVG,334.1,280.7,+53.4,+19.0
