iteration,start_ns,end_ns,duration_ns
0,8483801684805,8483801911001,226196
1,8483801940893,8483802144641,203748
2,8483802163181,8483802315540,152359
3,8483802334473,8483802519536,185063
4,8483802543569,8483802766956,223387
5,8483852978778,8483853396789,418011
6,8483853446075,8483853718437,272362
7,8483853753687,8483854011629,257942
8,8483854045079,8483854298308,253229
9,8483854332908,8483854588350,255442
10,8483904794685,8483905110590,315905
11,8483905148366,8483905419632,271266
12,8483905455381,8483905713830,258449
13,8483905748113,8483906011679,263566
14,8483906055545,8483906308684,253139
15,8483956509903,8483956849921,340018
16,8483956893718,8483957162952,269234
17,8483957197392,8483957455833,258441
18,8483957488676,8483957724900,236224
19,8483957756466,8483957985327,228861
20,8484008174773,8484008513923,339150
21,8484008560303,8484008856312,296009
22,8484008891538,8484009137369,245831
23,8484009168925,8484009405982,237057
24,8484009437401,8484009668686,231285
25,8484059871235,8484060259537,388302
26,8484060313821,8484060566777,252956
27,8484060599282,8484060835758,236476
28,8484060867492,8484061097783,230291
29,8484061128374,8484061366607,238233
30,8484111562433,8484111961326,398893
31,8484112032311,8484112297138,264827
32,8484112329998,8484112579868,249870
33,8484112611282,8484112859884,248602
34,8484112891669,8484113124182,232513
35,8484163315194,8484163662283,347089
36,8484163714986,8484163983831,268845
37,8484164044836,8484164309006,264170
38,8484164341403,8484164592345,250942
39,8484164624179,8484164862095,237916
40,8484215086745,8484215465617,378872
41,8484215503312,8484215780876,277564
42,8484215813581,8484216093752,280171
43,8484216125837,8484216371459,245622
44,8484216403490,8484216635758,232268
45,8484266819093,8484267172392,353299
46,8484267211802,8484267470167,258365
47,8484267503193,8484267753043,249850
48,8484267784703,8484268070758,286055
49,8484268106495,8484268349306,242811
50,8484318548870,8484318874319,325449
51,8484318912845,8484319193421,280576
52,8484319228397,8484319490523,262126
53,8484319525079,8484319776641,251562
54,8484319810568,8484320081913,271345
55,8484370281902,8484370650523,368621
56,8484370720799,8484370978161,257362
57,8484371010877,8484371251851,240974
58,8484371283987,8484371516666,232679
59,8484371549875,8484371778325,228450
60,8484421983719,8484422340048,356329
61,8484422391107,8484422655152,264045
62,8484422687866,8484422938467,250601
63,8484422969984,8484423209632,239648
64,8484423241183,8484423474225,233042
65,8484473659327,8484474006832,347505
66,8484474060932,8484474327266,266334
67,8484474359303,8484474599296,239993
68,8484474630735,8484474864169,233434
69,8484474895915,8484475124176,228261
70,8484525329479,8484525678111,348632
71,8484525719630,8484525976123,256493
72,8484526009120,8484526248333,239213
73,8484526282719,8484526518277,235558
74,8484526548960,8484526780239,231279
75,8484576980804,8484577319205,338401
76,8484577361438,8484577638024,276586
77,8484577673644,8484577932589,258945
78,8484577966905,8484578216818,249913
79,8484578251114,8484578498420,247306
80,8484628707792,8484629023317,315525
81,8484629062974,8484629323583,260609
82,8484629357266,8484629595680,238414
83,8484629627179,8484629867667,240488
84,8484629898229,8484630129425,231196
85,8484680283922,8484680683355,399433
86,8484680729860,8484680984636,254776
87,8484681017181,8484681258244,241063
88,8484681290860,8484681531779,240919
89,8484681566196,8484681797489,231293
90,8484731963349,8484732319284,355935
91,8484732363024,8484732632746,269722
92,8484732667340,8484732935981,268641
93,8484732968193,8484733204120,235927
94,8484733247746,8484733481173,233427
95,8484783653649,8484784047996,394347
96,8484784098225,8484784357714,259489
97,8484784391674,8484784634082,242408
98,8484784677996,8484784925760,247764
99,8484784957517,8484785190642,233125
