iter,epoch,comm_dur_s,bw_gbps
0,0,0.405342,21.1918
1,0,0.289776,29.6434
2,0,0.290777,29.5413
3,0,0.270359,31.7723
4,0,0.266915,32.1823
5,0,0.296126,29.0077
6,0,0.274006,31.3494
7,0,0.266106,32.2801
8,0,0.279854,30.6944
9,0,0.30994,27.7148
10,0,0.284655,30.1767
11,0,0.288419,29.7828
12,0,0.290033,29.6171
13,0,0.299488,28.682
14,0,0.303269,28.3244
15,0,0.289398,29.6821
16,0,0.289145,29.7081
17,0,0.298517,28.7754
18,0,0.29667,28.9545
19,0,0.276376,31.0806
20,1,0.265324,32.3753
21,1,0.278792,30.8113
22,1,0.279804,30.6998
23,1,0.293502,29.267
24,1,0.297545,28.8694
25,1,0.286927,29.9377
26,1,0.268014,32.0503
27,1,0.26707,32.1636
28,1,0.262359,32.7411
29,1,0.282189,30.4404
30,1,0.275457,31.1843
31,1,0.264667,32.4556
32,1,0.26942,31.883
33,1,0.27063,31.7405
34,1,0.272513,31.5212
35,1,0.276793,31.0338
36,1,0.309885,27.7198
37,1,0.433778,19.8026
38,1,0.408223,21.0423
39,1,0.41585,20.6563
40,2,0.418944,20.5038
41,2,0.401665,21.3858
42,2,0.414671,20.7151
43,2,0.437358,19.6405
44,2,0.434986,19.7476
45,2,0.42819,20.0611
46,2,0.428851,20.0301
47,2,0.420508,20.4275
48,2,0.406477,21.1326
49,2,0.442701,19.4034
50,2,0.434647,19.763
51,2,0.407207,21.0948
52,2,0.450339,19.0744
53,2,0.431897,19.8888
54,2,0.423064,20.3041
55,2,0.413685,20.7644
56,2,0.414065,20.7454
57,2,0.445179,19.2955
58,2,0.426023,20.1631
59,2,0.414651,20.716
60,3,0.420302,20.4375
61,3,0.449257,19.1203
62,3,0.426053,20.1616
63,3,0.419996,20.4524
64,3,0.413668,20.7653
65,3,0.422217,20.3448
66,3,0.407436,21.0829
67,3,0.440837,19.4855
68,3,0.416431,20.6275
69,3,0.437101,19.652
70,3,0.421693,20.3701
71,3,0.43225,19.8726
72,3,0.396982,21.6381
73,3,0.414664,20.7154
74,3,0.443113,19.3854
75,3,0.338125,25.4046
76,3,0.285925,30.0426
77,3,0.267125,32.157
78,3,0.277795,30.9219
79,3,0.302497,28.3968
80,4,0.282864,30.3678
81,4,0.256051,33.5478
82,4,0.273168,31.4456
83,4,0.307806,27.907
84,4,0.296288,28.9919
85,4,0.299261,28.7038
86,4,0.282553,30.4012
87,4,0.299183,28.7113
88,4,0.288055,29.8205
89,4,0.286023,30.0324
90,4,0.294855,29.1328
91,4,0.295133,29.1053
92,4,0.308572,27.8377
93,4,0.26938,31.8878
94,4,0.261211,32.8851
95,4,0.269164,31.9134
96,4,0.287591,29.8686
97,4,0.303322,28.3195
98,4,0.299666,28.665
99,4,0.315322,27.2418
100,5,0.303417,28.3106
101,5,0.285267,30.1119
102,5,0.296143,29.0061
103,5,0.308737,27.8229
104,5,0.29923,28.7068
105,5,0.292822,29.335
106,5,0.2842,30.225
107,5,0.266941,32.1792
108,5,0.278829,30.8072
109,5,0.295601,29.0592
110,5,0.28307,30.3456
111,5,0.287086,29.9211
112,5,0.286639,29.9678
113,5,0.295317,29.0872
114,5,0.297977,28.8275
115,5,0.290406,29.5791
116,5,0.309056,27.7941
117,5,0.291955,29.4221
118,5,0.302237,28.4212
119,5,0.284718,30.17
120,6,0.261726,32.8204
121,6,0.298356,28.7909
122,6,0.317797,27.0296
123,6,0.292586,29.3587
124,6,0.313353,27.413
125,6,0.309539,27.7507
126,6,0.286697,29.9617
127,6,0.298528,28.7743
128,6,0.283928,30.2539
129,6,0.279334,30.7515
130,6,0.300492,28.5862
131,6,0.296062,29.0139
132,6,0.289862,29.6346
133,6,0.263583,32.5891
134,6,0.293653,29.252
135,6,0.312754,27.4654
136,6,0.304485,28.2114
137,6,0.304539,28.2064
138,6,0.284599,30.1826
139,6,0.30206,28.4378
140,7,0.310295,27.6831
141,7,0.293265,29.2907
142,7,0.294544,29.1635
143,7,0.289692,29.652
144,7,0.291955,29.4221
145,7,0.273123,31.4507
146,7,0.269135,31.9168
147,7,0.293417,29.2755
148,7,0.290912,29.5276
149,7,0.294715,29.1466
150,7,0.289916,29.6291
151,7,0.296552,28.966
152,7,0.302838,28.3648
153,7,0.282219,30.4371
154,7,0.29348,29.2693
155,7,0.307349,27.9484
156,7,0.29974,28.658
157,7,0.275088,31.2261
158,7,0.263737,32.57
159,7,0.267208,32.147
160,8,0.28446,30.1973
161,8,0.301127,28.526
162,8,0.286452,29.9873
163,8,0.283464,30.3035
164,8,0.295974,29.0226
165,8,0.304669,28.1944
166,8,0.284462,30.1972
167,8,0.282058,30.4545
168,8,0.300065,28.6269
169,8,0.297407,28.8828
170,8,0.303436,28.3089
171,8,0.269411,31.8841
172,8,0.303894,28.2662
173,8,0.294999,29.1186
174,8,0.286148,30.0192
175,8,0.30306,28.344
176,8,0.288121,29.8136
177,8,0.298521,28.775
178,8,0.286598,29.972
179,8,0.290525,29.567
180,9,0.290806,29.5384
181,9,0.28991,29.6297
182,9,0.293665,29.2508
183,9,0.276735,31.0403
184,9,0.267303,32.1355
185,9,0.275871,31.1375
186,9,0.295398,29.0792
187,9,0.304833,28.1791
188,9,0.308221,27.8694
189,9,0.300321,28.6025
190,9,0.302877,28.3611
191,9,0.297728,28.8516
192,9,0.283999,30.2463
193,9,0.29972,28.6599
194,9,0.291192,29.4992
195,9,0.296273,28.9933
196,9,0.282012,30.4595
197,9,0.262558,32.7163
198,9,0.268421,32.0018
199,9,0.305261,28.1396
