[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29510...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29510, priority=P3
[Job1-CRUX] MODE=crux, Payload=2048MB, sleep=30000us, SLO c_i=1.2
[Job1-CRUX] Static Priority: P3 (DSCP=24)
[Job1-CRUX] GPU Intensity I_1 = 30ms / ~85ms ≈ 0.35
[Job1-CRUX] NOTE: Both jobs use P4 (same priority) for MultiComm compatibility
[Job1-CRUX] CRUX cannot dynamically prioritize Job1's strict SLO!
[Job1-CRUX] 300 iters, 20/epoch, 15 epochs
[Job1-CRUX] GPU 0: Quadro RTX 4000, free=7.3 GB
[Job1] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 48 -> 24)
[Job1-CRUX] iter  0 (epoch 0, iter 0): comm=547.8ms, bw=15.68 Gbps [solo_rampup]
[Job1-CRUX] iter  1 (epoch 0, iter 1): comm=432.3ms, bw=19.87 Gbps [solo_rampup]
[Job1-CRUX] iter  2 (epoch 0, iter 2): comm=475.2ms, bw=18.08 Gbps [solo_rampup]
[Job1-CRUX] iter  3 (epoch 0, iter 3): comm=479.4ms, bw=17.92 Gbps [solo_rampup]
[Job1-CRUX] iter  4 (epoch 0, iter 4): comm=457.8ms, bw=18.76 Gbps [solo_rampup]
[Job1-CRUX] iter  5 (epoch 0, iter 5): comm=436.7ms, bw=19.67 Gbps [solo_rampup]
[Job1-CRUX] iter  6 (epoch 0, iter 6): comm=458.5ms, bw=18.73 Gbps [solo_rampup]
[Job1-CRUX] iter  7 (epoch 0, iter 7): comm=462.0ms, bw=18.59 Gbps [solo_rampup]
[Job1-CRUX] iter  8 (epoch 0, iter 8): comm=474.0ms, bw=18.12 Gbps [solo_rampup]
[Job1-CRUX] iter  9 (epoch 0, iter 9): comm=462.8ms, bw=18.56 Gbps [solo_rampup]
