iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.547848,15.6794,solo_rampup
1,0,0.432309,19.8699,solo_rampup
2,0,0.47519,18.0768,solo_rampup
3,0,0.479393,17.9184,solo_rampup
4,0,0.457818,18.7628,solo_rampup
5,0,0.436711,19.6696,solo_rampup
6,0,0.458537,18.7334,solo_rampup
7,0,0.461956,18.5947,solo_rampup
8,0,0.473981,18.123,solo_rampup
9,0,0.462781,18.5616,solo_rampup
10,0,0.453022,18.9614,solo_rampup
11,0,0.419534,20.4749,solo_rampup
12,0,0.437045,19.6546,solo_rampup
13,0,0.435343,19.7314,solo_rampup
14,0,0.441489,19.4567,solo_rampup
15,0,0.317997,27.0127,solo_rampup
16,0,0.414602,20.7185,solo_rampup
17,0,0.431911,19.8882,solo_rampup
18,0,0.452363,18.989,solo_rampup
19,0,0.429259,20.0111,solo_rampup
20,1,0.422457,20.3333,solo_rampup
21,1,0.402517,21.3406,solo_rampup
22,1,0.431481,19.908,solo_rampup
23,1,0.425673,20.1796,solo_rampup
24,1,0.418491,20.526,solo_rampup
25,1,0.426635,20.1342,solo_rampup
26,1,0.405956,21.1598,solo_rampup
27,1,0.435279,19.7343,solo_rampup
28,1,0.432015,19.8834,solo_rampup
29,1,0.436938,19.6594,solo_rampup
30,1,0.419709,20.4664,solo_rampup
31,1,0.430707,19.9438,solo_rampup
32,1,0.415669,20.6653,solo_rampup
33,1,0.414738,20.7117,solo_rampup
34,1,0.435245,19.7358,solo_rampup
35,1,0.410661,20.9174,solo_rampup
36,1,0.414662,20.7155,solo_rampup
37,1,0.435013,19.7464,solo_rampup
38,1,0.441539,19.4545,solo_rampup
39,1,0.431907,19.8884,solo_rampup
40,2,0.415437,20.6768,solo_rampup
41,2,0.413968,20.7502,solo_rampup
42,2,0.422545,20.3291,solo_rampup
43,2,0.423349,20.2904,solo_rampup
44,2,0.41807,20.5466,solo_rampup
45,2,0.422949,20.3096,solo_rampup
46,2,0.418403,20.5303,solo_rampup
47,2,0.426814,20.1257,solo_rampup
48,2,0.420057,20.4495,solo_rampup
49,2,0.428093,20.0656,solo_rampup
50,2,0.434952,19.7491,solo_rampup
51,2,0.427946,20.0725,solo_rampup
52,2,0.422799,20.3168,solo_rampup
53,2,0.42375,20.2712,solo_rampup
54,2,0.439781,19.5323,solo_rampup
55,2,0.453748,18.9311,solo_rampup
56,2,0.432083,19.8803,solo_rampup
57,2,0.410233,20.9392,solo_rampup
58,2,0.427229,20.1061,solo_rampup
59,2,0.437476,19.6352,solo_rampup
60,3,0.439802,19.5314,solo_rampup
61,3,0.406658,21.1232,solo_rampup
62,3,0.427382,20.099,solo_rampup
63,3,0.440269,19.5106,solo_rampup
64,3,0.419187,20.4919,solo_rampup
65,3,0.436695,19.6703,solo_rampup
66,3,0.432229,19.8736,solo_rampup
67,3,0.444143,19.3405,solo_rampup
68,3,0.431843,19.8913,solo_rampup
69,3,0.426793,20.1267,solo_rampup
70,3,0.43171,19.8975,solo_rampup
71,3,0.426861,20.1235,solo_rampup
72,3,0.418441,20.5284,solo_rampup
73,3,0.431178,19.922,solo_rampup
74,3,0.431555,19.9046,solo_rampup
75,3,0.449906,19.0928,solo_rampup
76,3,0.421183,20.3948,solo_rampup
77,3,0.422434,20.3344,solo_rampup
78,3,0.424003,20.2591,solo_rampup
79,3,0.416058,20.646,solo_rampup
80,4,0.418255,20.5376,solo_rampup
81,4,0.426923,20.1206,solo_rampup
82,4,0.431805,19.8931,solo_rampup
83,4,0.427087,20.1128,solo_rampup
84,4,0.440416,19.5041,solo_rampup
85,4,0.439837,19.5298,solo_rampup
86,4,0.441924,19.4376,solo_rampup
87,4,0.435102,19.7423,solo_rampup
88,4,0.441186,19.4701,solo_rampup
89,4,0.427216,20.1068,solo_rampup
90,4,0.418723,20.5146,solo_rampup
91,4,0.429857,19.9832,solo_rampup
92,4,0.450135,19.083,solo_rampup
93,4,0.427712,20.0834,solo_rampup
94,4,0.436961,19.6584,solo_rampup
95,4,0.440108,19.5178,solo_rampup
96,4,0.428135,20.0636,solo_rampup
97,4,0.422493,20.3315,solo_rampup
98,4,0.412567,20.8207,solo_rampup
99,4,0.419439,20.4796,solo_rampup
100,5,0.407792,21.0645,contested
101,5,0.424848,20.2188,contested
102,5,0.423872,20.2654,contested
103,5,0.409671,20.9679,contested
104,5,0.423386,20.2887,contested
105,5,0.439629,19.539,contested
106,5,0.429185,20.0145,contested
107,5,0.415744,20.6616,contested
108,5,0.405176,21.2005,contested
109,5,0.431269,19.9178,contested
110,5,0.424053,20.2567,contested
111,5,0.414181,20.7396,contested
112,5,0.423107,20.302,contested
113,5,0.41995,20.4547,contested
114,5,0.434986,19.7476,contested
115,5,0.433292,19.8248,contested
116,5,0.418263,20.5372,contested
117,5,0.427406,20.0978,contested
118,5,0.427289,20.1033,contested
119,5,0.424371,20.2416,contested
120,6,0.423526,20.2819,contested
121,6,0.426598,20.1359,contested
122,6,0.420108,20.447,contested
123,6,0.412428,20.8277,contested
124,6,0.418236,20.5385,contested
125,6,0.420571,20.4245,contested
126,6,0.418482,20.5264,contested
127,6,0.43169,19.8984,contested
128,6,0.435424,19.7277,contested
129,6,0.449478,19.1109,contested
130,6,0.427842,20.0774,contested
131,6,0.431866,19.8903,contested
132,6,0.414101,20.7436,contested
