iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.577111,14.8844,solo_rampup
1,0,0.561813,15.2897,solo_rampup
2,0,0.557108,15.4188,solo_rampup
3,0,0.569486,15.0837,solo_rampup
4,0,0.544612,15.7726,solo_rampup
5,0,0.509556,16.8577,solo_rampup
6,0,0.531583,16.1592,solo_rampup
7,0,0.532079,16.1441,solo_rampup
8,0,0.414983,20.6995,solo_rampup
9,0,0.305941,28.0771,solo_rampup
10,0,0.538679,15.9463,solo_rampup
11,0,0.522518,16.4395,solo_rampup
12,0,0.522686,16.4342,solo_rampup
13,0,0.526721,16.3083,solo_rampup
14,0,0.506239,16.9681,solo_rampup
15,0,0.535525,16.0402,solo_rampup
16,0,0.5352,16.0499,solo_rampup
17,0,0.526217,16.3239,solo_rampup
18,0,0.522145,16.4512,solo_rampup
19,0,0.543495,15.805,solo_rampup
20,1,0.565826,15.1812,solo_rampup
21,1,0.400609,21.4422,solo_rampup
22,1,0.397726,21.5976,solo_rampup
23,1,0.381032,22.5439,solo_rampup
24,1,0.543349,15.8092,solo_rampup
25,1,0.535956,16.0273,solo_rampup
26,1,0.458997,18.7146,solo_rampup
27,1,0.456512,18.8165,solo_rampup
28,1,0.535754,16.0334,solo_rampup
29,1,0.537037,15.995,solo_rampup
30,1,0.535267,16.0479,solo_rampup
31,1,0.515749,16.6553,solo_rampup
32,1,0.53914,15.9326,solo_rampup
33,1,0.513784,16.719,solo_rampup
34,1,0.530582,16.1896,solo_rampup
35,1,0.540992,15.8781,solo_rampup
36,1,0.530351,16.1967,solo_rampup
37,1,0.526436,16.3171,solo_rampup
38,1,0.534843,16.0607,solo_rampup
39,1,0.513758,16.7198,solo_rampup
40,2,0.514748,16.6877,solo_rampup
41,2,0.522283,16.4469,solo_rampup
42,2,0.535512,16.0406,solo_rampup
43,2,0.396558,21.6613,solo_rampup
44,2,0.540748,15.8853,solo_rampup
45,2,0.530388,16.1956,solo_rampup
46,2,0.532241,16.1392,solo_rampup
47,2,0.51433,16.7012,solo_rampup
48,2,0.519496,16.5351,solo_rampup
49,2,0.530688,16.1864,solo_rampup
50,2,0.53918,15.9315,solo_rampup
51,2,0.535971,16.0269,solo_rampup
52,2,0.513407,16.7312,solo_rampup
53,2,0.540439,15.8944,solo_rampup
54,2,0.532261,16.1386,solo_rampup
55,2,0.526099,16.3276,solo_rampup
56,2,0.53204,16.1453,solo_rampup
57,2,0.509334,16.865,solo_rampup
58,2,0.532097,16.1435,solo_rampup
59,2,0.50943,16.8619,solo_rampup
60,3,0.435147,19.7403,solo_rampup
61,3,0.541851,15.8529,solo_rampup
62,3,0.53488,16.0596,solo_rampup
63,3,0.525094,16.3589,solo_rampup
64,3,0.539361,15.9261,solo_rampup
65,3,0.536399,16.0141,solo_rampup
66,3,0.530639,16.1879,solo_rampup
67,3,0.515157,16.6744,solo_rampup
68,3,0.522156,16.4509,solo_rampup
69,3,0.521878,16.4597,solo_rampup
70,3,0.554449,15.4927,solo_rampup
71,3,0.537546,15.9799,solo_rampup
72,3,0.539355,15.9263,solo_rampup
73,3,0.504726,17.019,solo_rampup
74,3,0.530765,16.1841,solo_rampup
75,3,0.523523,16.408,solo_rampup
76,3,0.392199,21.902,solo_rampup
77,3,0.530248,16.1998,solo_rampup
78,3,0.532147,16.142,solo_rampup
79,3,0.543524,15.8041,solo_rampup
80,4,0.532541,16.1301,solo_rampup
81,4,0.527183,16.294,solo_rampup
82,4,0.507519,16.9253,solo_rampup
83,4,0.522156,16.4509,solo_rampup
84,4,0.530903,16.1799,solo_rampup
85,4,0.532204,16.1403,solo_rampup
86,4,0.535977,16.0267,solo_rampup
87,4,0.544634,15.7719,solo_rampup
88,4,0.539948,15.9088,solo_rampup
89,4,0.531478,16.1623,solo_rampup
90,4,0.518211,16.5761,solo_rampup
91,4,0.526786,16.3063,solo_rampup
92,4,0.518254,16.5748,solo_rampup
93,4,0.379946,22.6083,solo_rampup
94,4,0.522524,16.4393,solo_rampup
95,4,0.535609,16.0377,solo_rampup
96,4,0.548999,15.6465,solo_rampup
97,4,0.522543,16.4387,solo_rampup
98,4,0.521962,16.457,solo_rampup
99,4,0.526931,16.3018,solo_rampup
100,5,0.522015,16.4553,contested
101,5,0.536779,16.0027,contested
102,5,0.534584,16.0685,contested
103,5,0.539401,15.9249,contested
104,5,0.524223,16.386,contested
105,5,0.549256,15.6392,contested
106,5,0.527333,16.2894,contested
107,5,0.523083,16.4217,contested
108,5,0.52716,16.2947,contested
109,5,0.449905,19.0928,contested
110,5,0.522358,16.4445,contested
111,5,0.53554,16.0398,contested
112,5,0.522359,16.4445,contested
113,5,0.524129,16.389,contested
114,5,0.522323,16.4456,contested
115,5,0.522283,16.4469,contested
116,5,0.531422,16.1641,contested
117,5,0.508882,16.88,contested
118,5,0.527985,16.2693,contested
119,5,0.539183,15.9314,contested
120,6,0.513468,16.7293,contested
121,6,0.527121,16.2959,contested
122,6,0.526382,16.3188,contested
123,6,0.540469,15.8935,contested
124,6,0.539837,15.9121,contested
125,6,0.531093,16.1741,contested
126,6,0.388317,22.121,contested
127,6,0.518104,16.5795,contested
128,6,0.518713,16.5601,contested
129,6,0.517829,16.5884,contested
130,6,0.548151,15.6708,contested
131,6,0.534242,16.0787,contested
132,6,0.531793,16.1528,contested
133,6,0.518649,16.5621,contested
134,6,0.514101,16.7087,contested
135,6,0.544974,15.7621,contested
136,6,0.532384,16.1348,contested
137,6,0.517956,16.5843,contested
138,6,0.511813,16.7833,contested
139,6,0.527335,16.2893,contested
140,7,0.530992,16.1771,contested
141,7,0.539417,15.9245,contested
142,7,0.454383,18.9046,contested
143,7,0.462323,18.58,contested
144,7,0.513607,16.7247,contested
145,7,0.519832,16.5244,contested
146,7,0.527146,16.2952,contested
147,7,0.539629,15.9182,contested
148,7,0.535624,16.0373,contested
149,7,0.54147,15.8641,contested
150,7,0.544188,15.7849,contested
151,7,0.522535,16.439,contested
152,7,0.545676,15.7418,contested
153,7,0.535648,16.0365,contested
154,7,0.53646,16.0123,contested
155,7,0.535374,16.0447,contested
156,7,0.532441,16.1331,contested
157,7,0.527414,16.2869,contested
158,7,0.518868,16.5551,contested
159,7,0.406914,21.11,contested
160,8,0.537378,15.9849,contested
161,8,0.51983,16.5245,contested
162,8,0.528202,16.2626,contested
163,8,0.509752,16.8512,contested
164,8,0.538504,15.9515,contested
165,8,0.531303,16.1677,contested
166,8,0.528869,16.2421,contested
167,8,0.521997,16.4559,contested
168,8,0.561284,15.3041,contested
169,8,0.522284,16.4469,contested
170,8,0.526698,16.309,contested
171,8,0.524346,16.3822,contested
172,8,0.527942,16.2706,contested
173,8,0.531386,16.1652,contested
174,8,0.501647,17.1235,contested
175,8,0.419553,20.474,contested
176,8,0.39182,21.9232,contested
177,8,0.527094,16.2968,contested
178,8,0.536722,16.0045,contested
179,8,0.527558,16.2824,contested
180,9,0.54168,15.8579,contested
181,9,0.552872,15.5369,contested
182,9,0.518551,16.5653,contested
183,9,0.527621,16.2805,contested
184,9,0.520945,16.4891,contested
185,9,0.536979,15.9968,contested
186,9,0.537287,15.9876,contested
187,9,0.528347,16.2581,contested
188,9,0.536244,16.0187,contested
189,9,0.535438,16.0428,contested
190,9,0.515326,16.6689,contested
191,9,0.532536,16.1302,contested
192,9,0.475349,18.0708,contested
193,9,0.536937,15.998,contested
194,9,0.522338,16.4452,contested
195,9,0.527584,16.2816,contested
196,9,0.526143,16.3262,contested
197,9,0.514878,16.6834,contested
198,9,0.52857,16.2513,contested
199,9,0.523014,16.4239,contested
200,10,0.541683,15.8579,contested
201,10,0.52611,16.3272,contested
202,10,0.519582,16.5324,contested
203,10,0.526741,16.3077,contested
204,10,0.538845,15.9414,contested
205,10,0.534481,16.0715,contested
206,10,0.526524,16.3144,contested
207,10,0.509337,16.8649,contested
