iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.964603,17.8103,solo_rampup
1,0,0.868014,19.7922,solo_rampup
2,0,0.854061,20.1155,solo_rampup
3,0,0.835286,20.5677,solo_rampup
4,0,0.836068,20.5484,solo_rampup
5,0,0.855646,20.0782,solo_rampup
6,0,0.856032,20.0692,solo_rampup
7,0,0.823032,20.8739,solo_rampup
8,0,0.845233,20.3256,solo_rampup
9,0,0.842096,20.4013,solo_rampup
10,0,0.855753,20.0757,solo_rampup
11,0,0.863531,19.8949,solo_rampup
12,0,0.869068,19.7682,solo_rampup
13,0,0.874545,19.6444,solo_rampup
14,0,0.875958,19.6127,solo_rampup
15,0,0.858275,20.0167,solo_rampup
16,0,0.854635,20.102,solo_rampup
17,0,0.868746,19.7755,solo_rampup
18,0,0.876137,19.6087,solo_rampup
19,0,0.860639,19.9618,solo_rampup
20,1,0.866685,19.8225,solo_rampup
21,1,0.857872,20.0261,solo_rampup
22,1,0.858977,20.0004,solo_rampup
23,1,0.865762,19.8436,solo_rampup
24,1,0.84558,20.3173,solo_rampup
25,1,0.862516,19.9183,solo_rampup
26,1,0.8663,19.8313,solo_rampup
27,1,0.864105,19.8817,solo_rampup
28,1,0.838939,20.4781,solo_rampup
29,1,0.861514,19.9415,solo_rampup
30,1,0.857516,20.0345,solo_rampup
31,1,0.850647,20.1962,solo_rampup
32,1,0.851597,20.1737,solo_rampup
33,1,0.863684,19.8914,solo_rampup
34,1,0.864029,19.8834,solo_rampup
35,1,0.872612,19.6879,solo_rampup
36,1,0.879671,19.5299,solo_rampup
37,1,0.853745,20.123,solo_rampup
38,1,0.862926,19.9089,solo_rampup
39,1,0.854272,20.1105,solo_rampup
40,2,0.856713,20.0532,solo_rampup
41,2,0.849606,20.221,solo_rampup
42,2,0.856195,20.0654,solo_rampup
43,2,0.850687,20.1953,solo_rampup
44,2,0.863373,19.8985,solo_rampup
45,2,0.855898,20.0723,solo_rampup
46,2,0.875529,19.6223,solo_rampup
47,2,0.862197,19.9257,solo_rampup
48,2,0.851772,20.1696,solo_rampup
49,2,0.869288,19.7632,solo_rampup
50,2,0.847992,20.2595,solo_rampup
51,2,0.866474,19.8273,solo_rampup
52,2,0.850364,20.203,solo_rampup
