iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.302923,28.3568,solo_rampup
1,0,0.294222,29.1955,solo_rampup
2,0,0.292885,29.3287,solo_rampup
3,0,0.294105,29.207,solo_rampup
4,0,0.294817,29.1365,solo_rampup
5,0,0.288798,29.7438,solo_rampup
6,0,0.292844,29.3328,solo_rampup
7,0,0.291561,29.4619,solo_rampup
8,0,0.291438,29.4743,solo_rampup
9,0,0.274046,31.3449,solo_rampup
10,0,0.269657,31.8551,solo_rampup
11,0,0.290775,29.5415,solo_rampup
12,0,0.293946,29.2228,solo_rampup
13,0,0.287014,29.9286,solo_rampup
14,0,0.294652,29.1528,solo_rampup
15,0,0.28928,29.6942,solo_rampup
16,0,0.286912,29.9393,solo_rampup
17,0,0.291419,29.4762,solo_rampup
18,0,0.283144,30.3377,solo_rampup
19,0,0.289874,29.6333,solo_rampup
20,1,0.418883,20.5068,solo_rampup
21,1,0.282989,30.3543,solo_rampup
22,1,0.278131,30.8845,solo_rampup
23,1,0.268842,31.9517,solo_rampup
24,1,0.289152,29.7073,solo_rampup
25,1,0.281682,30.4952,solo_rampup
26,1,0.293223,29.2948,solo_rampup
27,1,0.292738,29.3435,solo_rampup
28,1,0.284133,30.2321,solo_rampup
29,1,0.303412,28.3111,solo_rampup
30,1,0.291112,29.5073,solo_rampup
31,1,0.287493,29.8787,solo_rampup
32,1,0.2891,29.7126,solo_rampup
33,1,0.28456,30.1867,solo_rampup
34,1,0.295834,29.0364,solo_rampup
35,1,0.277409,30.9649,solo_rampup
36,1,0.267467,32.1158,solo_rampup
37,1,0.278849,30.8049,solo_rampup
38,1,0.29227,29.3904,solo_rampup
39,1,0.292462,29.3712,solo_rampup
40,2,0.425752,20.1759,solo_rampup
41,2,0.300828,28.5543,solo_rampup
42,2,0.303755,28.2792,solo_rampup
43,2,0.298283,28.7979,solo_rampup
44,2,0.304058,28.251,solo_rampup
45,2,0.288354,29.7895,solo_rampup
46,2,0.283371,30.3134,solo_rampup
47,2,0.302785,28.3698,solo_rampup
48,2,0.276401,31.0778,solo_rampup
49,2,0.269844,31.8329,solo_rampup
50,2,0.31292,27.4509,solo_rampup
51,2,0.294517,29.1662,solo_rampup
52,2,0.30946,27.7578,solo_rampup
53,2,0.314977,27.2717,solo_rampup
54,2,0.29213,29.4045,solo_rampup
55,2,0.300519,28.5837,solo_rampup
56,2,0.29214,29.4035,solo_rampup
57,2,0.287737,29.8534,solo_rampup
58,2,0.313602,27.3912,solo_rampup
59,2,0.28958,29.6634,solo_rampup
60,3,0.295989,29.0211,solo_rampup
61,3,0.272124,31.5663,solo_rampup
62,3,0.282965,30.3569,solo_rampup
63,3,0.307503,27.9345,solo_rampup
64,3,0.296247,28.9958,solo_rampup
65,3,0.30237,28.4087,solo_rampup
66,3,0.295559,29.0633,solo_rampup
67,3,0.285386,30.0993,solo_rampup
68,3,0.297235,28.8995,solo_rampup
69,3,0.306756,28.0025,solo_rampup
70,3,0.309385,27.7645,solo_rampup
71,3,0.299498,28.6811,solo_rampup
72,3,0.294468,29.1711,solo_rampup
73,3,0.288688,29.7551,solo_rampup
74,3,0.273255,31.4356,solo_rampup
75,3,0.271724,31.6128,solo_rampup
76,3,0.290265,29.5934,solo_rampup
77,3,0.299388,28.6916,solo_rampup
78,3,0.297565,28.8675,solo_rampup
79,3,0.297102,28.9124,solo_rampup
80,4,0.287634,29.8642,solo_rampup
81,4,0.299455,28.6852,solo_rampup
82,4,0.288322,29.7928,solo_rampup
83,4,0.292464,29.3709,solo_rampup
84,4,0.275962,31.1272,solo_rampup
85,4,0.265482,32.356,solo_rampup
86,4,0.265481,32.3561,solo_rampup
87,4,0.274668,31.2738,solo_rampup
88,4,0.264547,32.4703,solo_rampup
89,4,0.295909,29.0289,solo_rampup
90,4,0.292626,29.3546,solo_rampup
91,4,0.292279,29.3895,solo_rampup
92,4,0.296158,29.0046,solo_rampup
93,4,0.295367,29.0823,solo_rampup
94,4,0.285175,30.1216,solo_rampup
95,4,0.287359,29.8927,solo_rampup
96,4,0.269769,31.8419,solo_rampup
97,4,0.297112,28.9115,solo_rampup
98,4,0.294847,29.1335,solo_rampup
99,4,0.290279,29.592,solo_rampup
100,5,0.270901,31.7088,contested
101,5,0.262883,32.6759,contested
102,5,0.280215,30.6548,contested
103,5,0.281558,30.5086,contested
104,5,0.385019,22.3104,contested
105,5,0.417579,20.5708,contested
