iter,epoch,comm_dur_s,bw_gbps,phase
0,0,0.416923,20.6032,contested
1,0,0.28279,30.3757,contested
2,0,0.265106,32.4019,contested
3,0,0.256769,33.4539,contested
4,0,0.258505,33.2293,contested
5,0,0.257634,33.3416,contested
6,0,0.261785,32.8129,contested
7,0,0.261286,32.8757,contested
8,0,0.259605,33.0885,contested
9,0,0.263079,32.6515,contested
10,0,0.256913,33.4352,contested
11,0,0.260948,32.9182,contested
12,0,0.264216,32.511,contested
13,0,0.269561,31.8664,contested
14,0,0.282858,30.3684,contested
15,0,0.286101,30.0242,contested
16,0,0.281873,30.4745,contested
17,0,0.288185,29.807,contested
18,0,0.280825,30.5882,contested
19,0,0.286078,30.0266,contested
20,1,0.280677,30.6043,contested
21,1,0.28375,30.2729,contested
22,1,0.291627,29.4552,contested
23,1,0.281542,30.5103,contested
24,1,0.282324,30.4258,contested
25,1,0.286429,29.9897,contested
26,1,0.276961,31.0149,contested
27,1,0.283048,30.348,contested
28,1,0.282866,30.3675,contested
29,1,0.29066,29.5532,contested
30,1,0.28263,30.3929,contested
31,1,0.286389,29.994,contested
32,1,0.287726,29.8546,contested
33,1,0.290513,29.5682,contested
34,1,0.293732,29.2441,contested
35,1,0.2828,30.3746,contested
36,1,0.286889,29.9416,contested
37,1,0.284249,30.2197,contested
38,1,0.272665,31.5036,contested
39,1,0.286393,29.9935,contested
40,2,0.285665,30.0699,contested
41,2,0.287578,29.87,contested
42,2,0.290581,29.5612,contested
43,2,0.28442,30.2015,contested
44,2,0.28297,30.3563,contested
45,2,0.28453,30.19,contested
46,2,0.285315,30.1068,contested
47,2,0.288196,29.8058,contested
48,2,0.285563,30.0807,contested
49,2,0.279206,30.7656,contested
50,2,0.280938,30.5759,contested
51,2,0.285783,30.0576,contested
52,2,0.283744,30.2735,contested
53,2,0.284113,30.2342,contested
54,2,0.282822,30.3722,contested
55,2,0.287572,29.8705,contested
56,2,0.282808,30.3738,contested
57,2,0.562131,15.281,contested
58,2,0.284064,30.2395,contested
59,2,0.288447,29.7799,contested
60,3,0.285162,30.123,contested
61,3,0.279953,30.6835,contested
62,3,0.286378,29.9951,contested
63,3,0.283298,30.3212,contested
64,3,0.285706,30.0656,contested
65,3,0.289998,29.6207,contested
66,3,0.285234,30.1154,contested
67,3,0.283282,30.3229,contested
68,3,0.286668,29.9648,contested
69,3,0.285412,30.0966,contested
70,3,0.285199,30.119,contested
71,3,0.283813,30.2662,contested
72,3,0.283244,30.3269,contested
73,3,0.283658,30.2827,contested
74,3,0.285021,30.1379,contested
75,3,0.285674,30.069,contested
76,3,0.283314,30.3195,contested
77,3,0.288001,29.826,contested
78,3,0.288231,29.8022,contested
79,3,0.283567,30.2924,contested
80,4,0.279775,30.7031,contested
81,4,0.288056,29.8204,contested
82,4,0.285605,30.0763,contested
83,4,0.285502,30.0871,contested
84,4,0.282292,30.4293,contested
85,4,0.281041,30.5647,contested
86,4,0.700194,12.2679,contested
87,4,0.287534,29.8745,contested
88,4,0.287261,29.9028,contested
89,4,0.285197,30.1193,contested
90,4,0.288262,29.799,contested
91,4,0.284814,30.1598,contested
92,4,0.288464,29.7782,contested
93,4,0.285473,30.0901,contested
94,4,0.285839,30.0517,contested
95,4,0.2761,31.1116,contested
96,4,0.290382,29.5815,contested
97,4,0.283306,30.3204,contested
98,4,0.289703,29.6508,contested
99,4,0.284741,30.1675,contested
100,5,0.285315,30.1068,contested
101,5,0.283058,30.3469,contested
102,5,0.283382,30.3122,contested
103,5,0.279963,30.6824,contested
104,5,0.287994,29.8267,contested
105,5,0.284098,30.2358,contested
106,5,0.280112,30.6661,contested
107,5,0.283124,30.3399,contested
108,5,0.284742,30.1674,contested
109,5,0.288951,29.728,contested
110,5,0.283588,30.2902,contested
111,5,0.286811,29.9498,contested
112,5,0.286552,29.9768,contested
113,5,0.28434,30.2101,contested
114,5,0.281448,30.5205,contested
115,5,0.687582,12.493,contested
116,5,0.285102,30.1293,contested
117,5,0.283644,30.2842,contested
118,5,0.289196,29.7028,contested
119,5,0.281967,30.4643,contested
120,6,0.284391,30.2047,contested
121,6,0.283885,30.2585,contested
122,6,0.286373,29.9956,contested
123,6,0.281289,30.5378,contested
124,6,0.285186,30.1205,contested
125,6,0.28631,30.0022,contested
126,6,0.286795,29.9515,contested
127,6,0.282594,30.3967,contested
128,6,0.286308,30.0025,contested
129,6,0.287845,29.8423,contested
130,6,0.280546,30.6186,contested
131,6,0.283615,30.2873,contested
132,6,0.283179,30.3339,contested
133,6,0.285846,30.0509,contested
134,6,0.284465,30.1968,contested
