[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29510...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29510, priority=P4
[JobA-LONGLIU-CALIB] solo calibration: 5 epochs, payload=1024MB, c_i=1.7
[MultiComm] Rank 0: switching priority P6 -> P4 (DSCP 48 -> 32)
[JobA-CALIB] epoch 0 iter 0: comm=293.7ms
[JobA-CALIB] epoch 0 iter 1: comm=180.9ms
[JobA-CALIB] epoch 0 iter 2: comm=183.2ms
[JobA-CALIB] epoch 0 iter 3: comm=155.9ms
[JobA-CALIB] epoch 0 iter 4: comm=169.0ms
[JobA-CALIB] epoch 0 iter 5: comm=177.5ms
[JobA-CALIB] epoch 0 iter 6: comm=184.8ms
[JobA-CALIB] epoch 0 iter 7: comm=180.1ms
[JobA-CALIB] epoch 0 iter 8: comm=167.9ms
[JobA-CALIB] epoch 0 iter 9: comm=187.9ms
[JobA-CALIB] epoch 0 iter 10: comm=181.9ms
[JobA-CALIB] epoch 0 iter 11: comm=186.5ms
[JobA-CALIB] epoch 0 iter 12: comm=197.1ms
[JobA-CALIB] epoch 0 iter 13: comm=178.7ms
[JobA-CALIB] epoch 0 iter 14: comm=175.5ms
[JobA-CALIB] epoch 0 iter 15: comm=185.2ms
[JobA-CALIB] epoch 0 iter 16: comm=169.8ms
[JobA-CALIB] epoch 0 iter 17: comm=180.3ms
[JobA-CALIB] epoch 0 iter 18: comm=180.5ms
[JobA-CALIB] epoch 0 iter 19: comm=166.2ms
[SLO] T_target initialized: 3685.1ms (c_i=1.7, SLO target=6264.7ms)
[SLO] Epoch 1: π=-0.412 (A=3.69s, expected=6.26s, T_target=3685.1ms, k=1), Priority P4 -> P2 (DSCP 32 -> 16)
[MultiComm] Rank 0: switching priority P4 -> P2 (DSCP 32 -> 16)
[JobA-CALIB] epoch 1 iter 0: comm=375.8ms
[JobA-CALIB] epoch 1 iter 1: comm=218.0ms
[JobA-CALIB] epoch 1 iter 2: comm=217.5ms
[JobA-CALIB] epoch 1 iter 3: comm=249.3ms
