iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.29428,14.5948,phase1
1,0,1024,1.2,30000,0.159944,26.853,phase1
2,0,1024,1.2,30000,0.184539,23.274,phase1
3,0,1024,1.2,30000,0.181248,23.6966,phase1
4,0,1024,1.2,30000,0.178113,24.1137,phase1
5,0,1024,1.2,30000,0.16949,25.3406,phase1
6,0,1024,1.2,30000,0.183802,23.3674,phase1
7,0,1024,1.2,30000,0.178026,24.1255,phase1
8,0,1024,1.2,30000,0.190405,22.5571,phase1
9,0,1024,1.2,30000,0.182408,23.5459,phase1
10,0,1024,1.2,30000,0.176624,24.3171,phase1
11,0,1024,1.2,30000,0.185103,23.2031,phase1
12,0,1024,1.2,30000,0.188279,22.8117,phase1
13,0,1024,1.2,30000,0.181649,23.6443,phase1
14,0,1024,1.2,30000,0.186981,22.9701,phase1
15,0,1024,1.2,30000,0.177229,24.234,phase1
16,0,1024,1.2,30000,0.186524,23.0264,phase1
17,0,1024,1.2,30000,0.189836,22.6247,phase1
18,0,1024,1.2,30000,0.189032,22.7209,phase1
19,0,1024,1.2,30000,0.175211,24.5131,phase1
20,1,1024,1.2,30000,0.186819,22.99,phase1
21,1,1024,1.2,30000,0.172918,24.8381,phase1
22,1,1024,1.2,30000,0.185057,23.2088,phase1
23,1,1024,1.2,30000,0.177473,24.2007,phase1
24,1,1024,1.2,30000,0.190441,22.5528,phase1
25,1,1024,1.2,30000,0.18484,23.2361,phase1
26,1,1024,1.2,30000,0.178335,24.0837,phase1
27,1,1024,1.2,30000,0.199671,21.5103,phase1
28,1,1024,1.2,30000,0.196747,21.8299,phase1
29,1,1024,1.2,30000,0.1814,23.6767,phase1
30,1,1024,1.2,30000,0.18783,22.8663,phase1
31,1,1024,1.2,30000,0.17054,25.1846,phase1
32,1,1024,1.2,30000,0.165403,25.9667,phase1
33,1,1024,1.2,30000,0.156419,27.458,phase1
34,1,1024,1.2,30000,0.17174,25.0085,phase1
35,1,1024,1.2,30000,0.173818,24.7096,phase1
36,1,1024,1.2,30000,0.188901,22.7366,phase1
37,1,1024,1.2,30000,0.179076,23.9841,phase1
38,1,1024,1.2,30000,0.172701,24.8693,phase1
39,1,1024,1.2,30000,0.178715,24.0325,phase1
40,2,1024,1.2,30000,0.168592,25.4754,phase1
41,2,1024,1.2,30000,0.180352,23.8144,phase1
42,2,1024,1.2,30000,0.1808,23.7554,phase1
43,2,1024,1.2,30000,0.175123,24.5254,phase1
44,2,1024,1.2,30000,0.174985,24.5448,phase1
45,2,1024,1.2,30000,0.17746,24.2025,phase1
46,2,1024,1.2,30000,0.167875,25.5843,phase1
47,2,1024,1.2,30000,0.174564,24.604,phase1
48,2,1024,1.2,30000,0.177682,24.1722,phase1
49,2,1024,1.2,30000,0.183778,23.3704,phase1
50,2,1024,1.2,30000,0.189846,22.6235,phase1
51,2,1024,1.2,30000,0.181885,23.6136,phase1
52,2,1024,1.2,30000,0.174795,24.5715,phase1
53,2,1024,1.2,30000,0.17092,25.1286,phase1
54,2,1024,1.2,30000,0.189141,22.7077,phase1
55,2,1024,1.2,30000,0.198623,21.6238,phase1
56,2,1024,1.2,30000,0.184443,23.2861,phase1
57,2,1024,1.2,30000,0.195164,22.0069,phase1
58,2,1024,1.2,30000,0.186152,23.0724,phase1
59,2,1024,1.2,30000,0.204879,20.9634,phase1
60,3,1024,1.2,30000,0.299062,14.3614,phase1
61,3,1024,1.2,30000,0.288683,14.8778,phase1
62,3,1024,1.2,30000,0.297132,14.4547,phase1
63,3,1024,1.2,30000,0.288579,14.8832,phase1
64,3,1024,1.2,30000,0.301576,14.2417,phase1
65,3,1024,1.2,30000,0.28903,14.8599,phase1
66,3,1024,1.2,30000,0.292961,14.6606,phase1
67,3,1024,1.2,30000,0.320052,13.4196,phase1
68,3,1024,1.2,30000,0.289887,14.816,phase1
69,3,1024,1.2,30000,0.298362,14.3952,phase1
70,3,1024,1.2,30000,0.298681,14.3798,phase1
71,3,1024,1.2,30000,0.290002,14.8101,phase1
72,3,1024,1.2,30000,0.298012,14.4121,phase1
73,3,1024,1.2,30000,0.289931,14.8138,phase1
74,3,1024,1.2,30000,0.298503,14.3884,phase1
75,3,1024,1.2,30000,0.310473,13.8336,phase1
76,3,1024,1.2,30000,0.293348,14.6412,phase1
77,3,1024,1.2,30000,0.289115,14.8556,phase1
78,3,1024,1.2,30000,0.288776,14.873,phase1
79,3,1024,1.2,30000,0.298411,14.3928,phase1
80,4,1024,1.2,30000,0.28626,15.0037,phase1
81,4,1024,1.2,30000,0.294278,14.5949,phase1
82,4,1024,1.2,30000,0.307449,13.9697,phase1
83,4,1024,1.2,30000,0.306474,14.0141,phase1
84,4,1024,1.2,30000,0.29285,14.6661,phase1
85,4,1024,1.2,30000,0.305614,14.0536,phase1
86,4,1024,1.2,30000,0.319007,13.4635,phase1
87,4,1024,1.2,30000,0.277929,15.4534,phase1
88,4,1024,1.2,30000,0.302084,14.2178,phase1
89,4,1024,1.2,30000,0.298633,14.3821,phase1
90,4,1024,1.2,30000,0.296951,14.4636,phase1
91,4,1024,1.2,30000,0.288693,14.8773,phase1
92,4,1024,1.2,30000,0.288793,14.8721,phase1
93,4,1024,1.2,30000,0.305778,14.046,phase1
94,4,1024,1.2,30000,0.329165,13.0481,phase1
95,4,1024,1.2,30000,0.298228,14.4016,phase1
96,4,1024,1.2,30000,0.289649,14.8282,phase1
97,4,1024,1.2,30000,0.305691,14.05,phase1
98,4,1024,1.2,30000,0.289119,14.8554,phase1
99,4,1024,1.2,30000,0.280357,15.3196,phase1
100,5,1024,1.2,30000,0.28129,15.2688,phase1
101,5,1024,1.2,30000,0.309766,13.8652,phase1
102,5,1024,1.2,30000,0.324172,13.249,phase1
103,5,1024,1.2,30000,0.306677,14.0049,phase1
104,5,1024,1.2,30000,0.285231,15.0578,phase1
105,5,1024,1.2,30000,0.298184,14.4037,phase1
106,5,1024,1.2,30000,0.280879,15.2911,phase1
107,5,1024,1.2,30000,0.289748,14.8231,phase1
108,5,1024,1.2,30000,0.276212,15.5495,phase1
109,5,1024,1.2,30000,0.284976,15.0713,phase1
110,5,1024,1.2,30000,0.285517,15.0428,phase1
111,5,1024,1.2,30000,0.29787,14.4189,phase1
112,5,1024,1.2,30000,0.288797,14.8719,phase1
113,5,1024,1.2,30000,0.299226,14.3536,phase1
114,5,1024,1.2,30000,0.289243,14.849,phase1
115,5,1024,1.2,30000,0.294501,14.5839,phase1
116,5,1024,1.2,30000,0.28852,14.8862,phase1
117,5,1024,1.2,30000,0.289325,14.8448,phase1
118,5,1024,1.2,30000,0.306245,14.0246,phase1
119,5,1024,1.2,30000,0.301803,14.231,phase1
120,6,1024,1.2,30000,0.297707,14.4268,phase1
121,6,1024,1.2,30000,0.310642,13.8261,phase1
122,6,1024,1.2,30000,0.319596,13.4387,phase1
123,6,1024,1.2,30000,0.305751,14.0473,phase1
124,6,1024,1.2,30000,0.288685,14.8777,phase1
125,6,1024,1.2,30000,0.293358,14.6407,phase1
126,6,1024,1.2,30000,0.321269,13.3688,phase1
127,6,1024,1.2,30000,0.306493,14.0133,phase1
128,6,1024,1.2,30000,0.305924,14.0393,phase1
129,6,1024,1.2,30000,0.310243,13.8439,phase1
130,6,1024,1.2,30000,0.288229,14.9012,phase1
131,6,1024,1.2,30000,0.293597,14.6288,phase1
132,6,1024,1.2,30000,0.289709,14.8251,phase1
133,6,1024,1.2,30000,0.298374,14.3946,phase1
134,6,1024,1.2,30000,0.310906,13.8144,phase1
135,6,1024,1.2,30000,0.301859,14.2284,phase1
136,6,1024,1.2,30000,0.311491,13.7884,phase1
137,6,1024,1.2,30000,0.288858,14.8688,phase1
138,6,1024,1.2,30000,0.280655,15.3034,phase1
139,6,1024,1.2,30000,0.28558,15.0395,phase1
140,7,1024,3.0,30000,0.292838,14.6667,phase2
141,7,1024,3.0,30000,0.29303,14.6571,phase2
142,7,1024,3.0,30000,0.315941,13.5942,phase2
143,7,1024,3.0,30000,0.284555,15.0936,phase2
144,7,1024,3.0,30000,0.298678,14.3799,phase2
145,7,1024,3.0,30000,0.293314,14.6429,phase2
146,7,1024,3.0,30000,0.297117,14.4555,phase2
147,7,1024,3.0,30000,0.28882,14.8707,phase2
148,7,1024,3.0,30000,0.293184,14.6494,phase2
149,7,1024,3.0,30000,0.297567,14.4336,phase2
150,7,1024,3.0,30000,0.307364,13.9735,phase2
151,7,1024,3.0,30000,0.288868,14.8683,phase2
152,7,1024,3.0,30000,0.302059,14.219,phase2
153,7,1024,3.0,30000,0.311507,13.7877,phase2
154,7,1024,3.0,30000,0.303578,14.1478,phase2
155,7,1024,3.0,30000,0.320441,13.4033,phase2
156,7,1024,3.0,30000,0.3057,14.0496,phase2
157,7,1024,3.0,30000,0.301228,14.2582,phase2
158,7,1024,3.0,30000,0.306132,14.0298,phase2
159,7,1024,3.0,30000,0.305551,14.0565,phase2
160,8,1024,3.0,30000,0.305533,14.0573,phase2
161,8,1024,3.0,30000,0.290467,14.7864,phase2
162,8,1024,3.0,30000,0.302454,14.2004,phase2
163,8,1024,3.0,30000,0.319421,13.4461,phase2
164,8,1024,3.0,30000,0.293725,14.6224,phase2
165,8,1024,3.0,30000,0.288562,14.884,phase2
166,8,1024,3.0,30000,0.305836,14.0433,phase2
167,8,1024,3.0,30000,0.307155,13.9831,phase2
168,8,1024,3.0,30000,0.29334,14.6416,phase2
169,8,1024,3.0,30000,0.315315,13.6212,phase2
170,8,1024,3.0,30000,0.301433,14.2485,phase2
171,8,1024,3.0,30000,0.289006,14.8612,phase2
172,8,1024,3.0,30000,0.284569,15.0929,phase2
173,8,1024,3.0,30000,0.297501,14.4368,phase2
174,8,1024,3.0,30000,0.29821,14.4025,phase2
175,8,1024,3.0,30000,0.285294,15.0545,phase2
176,8,1024,3.0,30000,0.292846,14.6663,phase2
177,8,1024,3.0,30000,0.292574,14.6799,phase2
178,8,1024,3.0,30000,0.281319,15.2672,phase2
179,8,1024,3.0,30000,0.297678,14.4282,phase2
180,9,1024,3.0,30000,0.282765,15.1892,phase2
181,9,1024,3.0,30000,0.297486,14.4376,phase2
182,9,1024,3.0,30000,0.3014,14.2501,phase2
183,9,1024,3.0,30000,0.276826,15.515,phase2
184,9,1024,3.0,30000,0.318472,13.4862,phase2
185,9,1024,3.0,30000,0.318673,13.4777,phase2
186,9,1024,3.0,30000,0.314532,13.6551,phase2
187,9,1024,3.0,30000,0.310819,13.8182,phase2
188,9,1024,3.0,30000,0.303365,14.1578,phase2
189,9,1024,3.0,30000,0.303192,14.1658,phase2
190,9,1024,3.0,30000,0.302847,14.182,phase2
191,9,1024,3.0,30000,0.31118,13.8022,phase2
192,9,1024,3.0,30000,0.297552,14.4344,phase2
193,9,1024,3.0,30000,0.288734,14.8752,phase2
194,9,1024,3.0,30000,0.288517,14.8863,phase2
195,9,1024,3.0,30000,0.277466,15.4793,phase2
196,9,1024,3.0,30000,0.3015,14.2453,phase2
197,9,1024,3.0,30000,0.295195,14.5496,phase2
198,9,1024,3.0,30000,0.307736,13.9567,phase2
199,9,1024,3.0,30000,0.303192,14.1658,phase2
200,10,1024,3.0,30000,0.284014,15.1224,phase2
201,10,1024,3.0,30000,0.277558,15.4741,phase2
202,10,1024,3.0,30000,0.284696,15.0862,phase2
203,10,1024,3.0,30000,0.292463,14.6855,phase2
204,10,1024,3.0,30000,0.298676,14.38,phase2
205,10,1024,3.0,30000,0.323529,13.2754,phase2
206,10,1024,3.0,30000,0.29752,14.4359,phase2
207,10,1024,3.0,30000,0.305855,14.0425,phase2
208,10,1024,3.0,30000,0.284541,15.0944,phase2
209,10,1024,3.0,30000,0.284558,15.0935,phase2
210,10,1024,3.0,30000,0.294725,14.5728,phase2
211,10,1024,3.0,30000,0.280059,15.336,phase2
212,10,1024,3.0,30000,0.288369,14.894,phase2
213,10,1024,3.0,30000,0.293012,14.658,phase2
214,10,1024,3.0,30000,0.284952,15.0726,phase2
215,10,1024,3.0,30000,0.293296,14.6438,phase2
216,10,1024,3.0,30000,0.293757,14.6208,phase2
217,10,1024,3.0,30000,0.30205,14.2194,phase2
218,10,1024,3.0,30000,0.306184,14.0274,phase2
219,10,1024,3.0,30000,0.306456,14.015,phase2
220,11,1024,3.0,30000,0.312302,13.7526,phase2
221,11,1024,3.0,30000,0.306599,14.0084,phase2
222,11,1024,3.0,30000,0.289056,14.8586,phase2
223,11,1024,3.0,30000,0.302732,14.1874,phase2
224,11,1024,3.0,30000,0.293173,14.6499,phase2
225,11,1024,3.0,30000,0.310612,13.8274,phase2
226,11,1024,3.0,30000,0.290292,14.7954,phase2
227,11,1024,3.0,30000,0.280649,15.3037,phase2
228,11,1024,3.0,30000,0.301705,14.2357,phase2
229,11,1024,3.0,30000,0.284807,15.0803,phase2
230,11,1024,3.0,30000,0.280603,15.3062,phase2
231,11,1024,3.0,30000,0.288572,14.8835,phase2
232,11,1024,3.0,30000,0.306183,14.0275,phase2
233,11,1024,3.0,30000,0.302466,14.1998,phase2
234,11,1024,3.0,30000,0.305481,14.0597,phase2
235,11,1024,3.0,30000,0.306255,14.0241,phase2
236,11,1024,3.0,30000,0.284458,15.0988,phase2
237,11,1024,3.0,30000,0.267244,16.0714,phase2
238,11,1024,3.0,30000,0.280033,15.3374,phase2
239,11,1024,3.0,30000,0.294156,14.601,phase2
240,12,1024,3.0,30000,0.293057,14.6558,phase2
241,12,1024,3.0,30000,0.298671,14.3803,phase2
242,12,1024,3.0,30000,0.290516,14.7839,phase2
243,12,1024,3.0,30000,0.289222,14.8501,phase2
244,12,1024,3.0,30000,0.293264,14.6454,phase2
245,12,1024,3.0,30000,0.302729,14.1875,phase2
246,12,1024,3.0,30000,0.280776,15.2968,phase2
247,12,1024,3.0,30000,0.290344,14.7927,phase2
248,12,1024,3.0,30000,0.297446,14.4395,phase2
249,12,1024,3.0,30000,0.327399,13.1185,phase2
250,12,1024,3.0,30000,0.310745,13.8215,phase2
251,12,1024,3.0,30000,0.289412,14.8403,phase2
252,12,1024,3.0,30000,0.280202,15.3281,phase2
253,12,1024,3.0,30000,0.293517,14.6328,phase2
254,12,1024,3.0,30000,0.284209,15.112,phase2
255,12,1024,3.0,30000,0.284861,15.0774,phase2
256,12,1024,3.0,30000,0.283877,15.1297,phase2
257,12,1024,3.0,30000,0.291073,14.7556,phase2
258,12,1024,3.0,30000,0.277475,15.4787,phase2
259,12,1024,3.0,30000,0.310387,13.8375,phase2
260,13,1024,3.0,30000,0.280569,15.3081,phase2
261,13,1024,3.0,30000,0.281883,15.2367,phase2
262,13,1024,3.0,30000,0.292556,14.6808,phase2
263,13,1024,3.0,30000,0.288364,14.8942,phase2
264,13,1024,3.0,30000,0.297287,14.4472,phase2
265,13,1024,3.0,30000,0.315372,13.6187,phase2
