epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.184924,23.7746,-0.265575,2,24,0.7336,4201.087
1,phase1,1024,1.2,30000,0.183148,23.8696,-0.269213,2,24,0.7266,4201.087
2,phase1,1024,1.2,30000,0.17452,24.6702,-0.281771,2,24,0.6924,4201.087
3,phase1,1024,1.2,30000,0.299441,14.4308,-0.162293,2,24,1.188,4201.087
4,phase1,1024,1.2,30000,0.301039,14.3557,-0.089328,4,0,1.1943,4201.087
5,phase1,1024,1.2,30000,0.31357,13.8444,-0.032342,4,0,1.244,4201.087
6,phase1,1024,1.2,30000,0.301654,14.245,0.001618,4,0,1.1967,4201.087
7,phase2,1024,3.0,30000,0.303677,14.1653,-0.588761,1,32,0.4819,4201.087
8,phase2,1024,3.0,30000,0.376075,11.5296,-0.567756,1,32,0.5968,4201.087
9,phase2,1024,3.0,30000,0.375121,11.4735,-0.551107,1,32,0.5953,4201.087
10,phase2,1024,3.0,30000,0.367865,11.9749,-0.538546,1,32,0.5838,4201.087
11,phase2,1024,3.0,30000,0.373689,11.5194,-0.527292,1,32,0.593,4201.087
12,phase2,1024,3.0,30000,0.370348,11.6158,-0.518179,1,32,0.5877,4201.087
13,phase2,1024,3.0,30000,0.365763,11.7697,-0.510899,1,32,0.5804,4201.087
14,phase2,1024,3.0,30000,0.370679,11.6105,-0.504056,1,32,0.5882,4201.087
