[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29511...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29511, priority=P4
[JobB-LONGLIU-CALIB] solo calibration: 5 epochs, payload=1024MB, c_i=3.0
[MultiComm] Rank 0: switching priority P6 -> P4 (DSCP 48 -> 32)
[JobB-CALIB] epoch 0 iter 0: comm=292.3ms
[JobB-CALIB] epoch 0 iter 1: comm=176.3ms
[JobB-CALIB] epoch 0 iter 2: comm=183.9ms
[JobB-CALIB] epoch 0 iter 3: comm=197.2ms
[JobB-CALIB] epoch 0 iter 4: comm=184.5ms
[JobB-CALIB] epoch 0 iter 5: comm=177.4ms
[JobB-CALIB] epoch 0 iter 6: comm=176.5ms
[JobB-CALIB] epoch 0 iter 7: comm=176.3ms
[JobB-CALIB] epoch 0 iter 8: comm=191.6ms
[JobB-CALIB] epoch 0 iter 9: comm=180.8ms
[JobB-CALIB] epoch 0 iter 10: comm=187.9ms
[JobB-CALIB] epoch 0 iter 11: comm=174.5ms
[JobB-CALIB] epoch 0 iter 12: comm=170.6ms
[JobB-CALIB] epoch 0 iter 13: comm=162.7ms
[JobB-CALIB] epoch 0 iter 14: comm=170.5ms
[JobB-CALIB] epoch 0 iter 15: comm=184.4ms
[JobB-CALIB] epoch 0 iter 16: comm=176.0ms
