epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.307265,14.0592,-0.471518,2,16,0.5245,3905.163
1,phase1,1024,3.0,30000,0.30598,14.1604,-0.472721,2,16,0.5224,3905.163
2,phase1,1024,3.0,30000,0.256226,16.8104,-0.501493,1,8,0.4374,3905.163
3,phase1,1024,3.0,30000,0.268939,16.1718,-0.510446,1,8,0.4591,3905.163
4,phase1,1024,3.0,30000,0.266217,16.1756,-0.516717,1,8,0.4545,3905.163
5,phase1,1024,3.0,30000,0.263966,16.2913,-0.521534,1,8,0.4506,3905.163
6,phase1,1024,3.0,30000,0.293933,14.8092,-0.517666,1,8,0.5018,3905.163
7,phase2,1024,1.2,30000,0.304781,14.1023,0.218862,4,32,1.3008,3905.163
8,phase2,1024,1.2,30000,0.373141,11.6611,0.26141,4,32,1.5925,3905.163
9,phase2,1024,1.2,30000,0.371571,11.581,0.294782,4,32,1.5858,3905.163
10,phase2,1024,1.2,30000,0.363981,11.8192,0.31915,4,32,1.5534,3905.163
11,phase2,1024,1.2,30000,0.327073,14.2505,0.326187,4,32,1.3959,3905.163
12,phase2,1024,1.2,30000,0.176291,24.4279,0.282116,4,32,0.7524,3905.163
13,phase2,1024,1.2,30000,0.161834,26.7192,0.239907,4,32,0.6907,3905.163
14,phase2,1024,1.2,30000,0.152672,28.1959,0.200709,4,32,0.6516,3905.163
