iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.416284,10.3174,phase1
1,0,1024,3.0,30000,0.302038,14.22,phase1
2,0,1024,3.0,30000,0.306205,14.0264,phase1
3,0,1024,3.0,30000,0.305664,14.0513,phase1
4,0,1024,3.0,30000,0.301297,14.2549,phase1
5,0,1024,3.0,30000,0.305436,14.0618,phase1
6,0,1024,3.0,30000,0.293483,14.6345,phase1
7,0,1024,3.0,30000,0.310457,13.8343,phase1
8,0,1024,3.0,30000,0.300917,14.2729,phase1
9,0,1024,3.0,30000,0.319566,13.44,phase1
10,0,1024,3.0,30000,0.290791,14.7699,phase1
11,0,1024,3.0,30000,0.288376,14.8936,phase1
12,0,1024,3.0,30000,0.302942,14.1775,phase1
13,0,1024,3.0,30000,0.298932,14.3677,phase1
14,0,1024,3.0,30000,0.314783,13.6442,phase1
15,0,1024,3.0,30000,0.310363,13.8385,phase1
16,0,1024,3.0,30000,0.297624,14.4309,phase1
17,0,1024,3.0,30000,0.292688,14.6742,phase1
18,0,1024,3.0,30000,0.284522,15.0954,phase1
19,0,1024,3.0,30000,0.302928,14.1782,phase1
20,1,1024,3.0,30000,0.445486,9.6411,phase1
21,1,1024,3.0,30000,0.288593,14.8824,phase1
22,1,1024,3.0,30000,0.307071,13.9869,phase1
23,1,1024,3.0,30000,0.301184,14.2603,phase1
24,1,1024,3.0,30000,0.297504,14.4367,phase1
25,1,1024,3.0,30000,0.307253,13.9786,phase1
26,1,1024,3.0,30000,0.28975,14.823,phase1
27,1,1024,3.0,30000,0.303419,14.1552,phase1
28,1,1024,3.0,30000,0.289421,14.8399,phase1
29,1,1024,3.0,30000,0.285174,15.0609,phase1
30,1,1024,3.0,30000,0.301101,14.2642,phase1
31,1,1024,3.0,30000,0.309687,13.8687,phase1
32,1,1024,3.0,30000,0.28495,15.0727,phase1
33,1,1024,3.0,30000,0.279431,15.3704,phase1
34,1,1024,3.0,30000,0.296496,14.4857,phase1
35,1,1024,3.0,30000,0.305645,14.0521,phase1
36,1,1024,3.0,30000,0.298433,14.3917,phase1
37,1,1024,3.0,30000,0.320732,13.3911,phase1
38,1,1024,3.0,30000,0.30159,14.2411,phase1
39,1,1024,3.0,30000,0.306678,14.0048,phase1
40,2,1024,3.0,30000,0.245935,17.4638,phase1
41,2,1024,3.0,30000,0.224204,19.1565,phase1
42,2,1024,3.0,30000,0.263565,16.2956,phase1
43,2,1024,3.0,30000,0.254363,16.8852,phase1
44,2,1024,3.0,30000,0.279677,15.3569,phase1
45,2,1024,3.0,30000,0.275217,15.6058,phase1
46,2,1024,3.0,30000,0.243519,17.6371,phase1
47,2,1024,3.0,30000,0.266239,16.132,phase1
48,2,1024,3.0,30000,0.240513,17.8576,phase1
49,2,1024,3.0,30000,0.275522,15.5885,phase1
50,2,1024,3.0,30000,0.253933,16.9138,phase1
51,2,1024,3.0,30000,0.237461,18.0871,phase1
52,2,1024,3.0,30000,0.245404,17.5016,phase1
53,2,1024,3.0,30000,0.254027,16.9075,phase1
54,2,1024,3.0,30000,0.258487,16.6158,phase1
55,2,1024,3.0,30000,0.2636,16.2935,phase1
56,2,1024,3.0,30000,0.263235,16.3161,phase1
57,2,1024,3.0,30000,0.262177,16.3819,phase1
58,2,1024,3.0,30000,0.263027,16.329,phase1
59,2,1024,3.0,30000,0.25441,16.8821,phase1
60,3,1024,3.0,30000,0.422118,10.1748,phase1
61,3,1024,3.0,30000,0.263617,16.2924,phase1
62,3,1024,3.0,30000,0.253696,16.9296,phase1
63,3,1024,3.0,30000,0.261967,16.3951,phase1
64,3,1024,3.0,30000,0.250958,17.1143,phase1
65,3,1024,3.0,30000,0.259751,16.5349,phase1
66,3,1024,3.0,30000,0.25801,16.6465,phase1
67,3,1024,3.0,30000,0.263859,16.2775,phase1
68,3,1024,3.0,30000,0.262045,16.3902,phase1
69,3,1024,3.0,30000,0.248895,17.2561,phase1
70,3,1024,3.0,30000,0.275071,15.614,phase1
71,3,1024,3.0,30000,0.266628,16.1085,phase1
72,3,1024,3.0,30000,0.267429,16.0602,phase1
73,3,1024,3.0,30000,0.262104,16.3865,phase1
74,3,1024,3.0,30000,0.240643,17.8479,phase1
75,3,1024,3.0,30000,0.268563,15.9924,phase1
76,3,1024,3.0,30000,0.287566,14.9356,phase1
77,3,1024,3.0,30000,0.25163,17.0686,phase1
78,3,1024,3.0,30000,0.259024,16.5813,phase1
79,3,1024,3.0,30000,0.25521,16.8292,phase1
80,4,1024,3.0,30000,0.270661,15.8684,phase1
81,4,1024,3.0,30000,0.267546,16.0532,phase1
82,4,1024,3.0,30000,0.271167,15.8388,phase1
83,4,1024,3.0,30000,0.254263,16.8918,phase1
84,4,1024,3.0,30000,0.244876,17.5394,phase1
85,4,1024,3.0,30000,0.262472,16.3635,phase1
86,4,1024,3.0,30000,0.250881,17.1195,phase1
87,4,1024,3.0,30000,0.245167,17.5185,phase1
88,4,1024,3.0,30000,0.27656,15.5299,phase1
89,4,1024,3.0,30000,0.266611,16.1095,phase1
90,4,1024,3.0,30000,0.275666,15.5803,phase1
91,4,1024,3.0,30000,0.283545,15.1474,phase1
92,4,1024,3.0,30000,0.25908,16.5778,phase1
93,4,1024,3.0,30000,0.266924,16.0906,phase1
94,4,1024,3.0,30000,0.292185,14.6995,phase1
