epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.321122,13.4564,-0.447851,3,16,0.5482,3905.163
1,phase1,1024,3.0,30000,0.319138,13.4745,-0.44966,3,16,0.5448,3905.163
2,phase1,1024,3.0,30000,0.318518,13.5041,-0.450624,3,16,0.5438,3905.163
3,phase1,1024,3.0,30000,0.318652,13.5036,-0.451036,3,16,0.544,3905.163
4,phase1,1024,3.0,30000,0.31931,13.469,-0.451063,3,16,0.5451,3905.163
5,phase1,1024,3.0,30000,0.316846,13.5626,-0.45178,3,16,0.5409,3905.163
6,phase1,1024,3.0,30000,0.316683,13.5753,-0.452333,3,16,0.5406,3905.163
7,phase2,1024,1.2,30000,0.315693,13.6134,0.3676,3,16,1.3473,3905.163
8,phase2,1024,1.2,30000,0.319202,13.4696,0.368064,3,16,1.3623,3905.163
9,phase2,1024,1.2,30000,0.313272,13.7267,0.365892,3,16,1.337,3905.163
10,phase2,1024,1.2,30000,0.318006,13.5306,0.365954,3,16,1.3572,3905.163
11,phase2,1024,1.2,30000,0.299572,14.7971,0.359383,3,16,1.2785,3905.163
12,phase2,1024,1.2,30000,0.194085,22.1766,0.318591,3,16,0.8283,3905.163
13,phase2,1024,1.2,30000,0.191764,22.4472,0.282919,3,16,0.8184,3905.163
14,phase2,1024,1.2,30000,0.196621,21.8809,0.253383,3,16,0.8391,3905.163
