[JobB-LONGLIU-MAIN] Loaded T_target=3905.16ms from /tmp/ttarget_v5_jobB.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29521...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29521, priority=P3
[JobB-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobB-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=3.0
[JobB-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=1.2
[JobB-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=6.2 GB
[JobB-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobB-LONGLIU-MAIN] iter   0 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=413.0ms, bw=10.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   1 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=292.9ms, bw=14.66 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   2 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=296.7ms, bw=14.47 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   3 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=315.3ms, bw=13.62 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   4 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=289.9ms, bw=14.82 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   5 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=292.6ms, bw=14.68 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   6 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=302.3ms, bw=14.21 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   7 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=301.1ms, bw=14.26 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   8 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=306.3ms, bw=14.02 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter   9 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=285.3ms, bw=15.06 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  10 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=301.9ms, bw=14.23 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  11 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=302.5ms, bw=14.20 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  12 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=306.0ms, bw=14.04 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  13 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=292.3ms, bw=14.70 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  14 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=310.3ms, bw=13.84 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  15 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=318.7ms, bw=13.47 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  16 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=319.0ms, bw=13.47 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  17 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=318.6ms, bw=13.48 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  18 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=319.7ms, bw=13.43 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  19 (epoch 0): payload=1024MB, c_i=3.0, sleep=30000us, comm=316.0ms, bw=13.59 Gbps [phase1]
