iter,epoch,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,0.412998,10.3995,phase1
1,0,1024,3.0,30000,0.292912,14.663,phase1
2,0,1024,3.0,30000,0.296726,14.4745,phase1
3,0,1024,3.0,30000,0.315284,13.6225,phase1
4,0,1024,3.0,30000,0.28985,14.8179,phase1
5,0,1024,3.0,30000,0.292598,14.6787,phase1
6,0,1024,3.0,30000,0.302328,14.2063,phase1
7,0,1024,3.0,30000,0.301086,14.2649,phase1
8,0,1024,3.0,30000,0.306279,14.023,phase1
9,0,1024,3.0,30000,0.285275,15.0555,phase1
10,0,1024,3.0,30000,0.301913,14.2259,phase1
11,0,1024,3.0,30000,0.302484,14.199,phase1
12,0,1024,3.0,30000,0.306005,14.0356,phase1
13,0,1024,3.0,30000,0.292252,14.6961,phase1
14,0,1024,3.0,30000,0.310309,13.841,phase1
15,0,1024,3.0,30000,0.318746,13.4746,phase1
16,0,1024,3.0,30000,0.318972,13.465,phase1
17,0,1024,3.0,30000,0.318585,13.4814,phase1
18,0,1024,3.0,30000,0.319741,13.4327,phase1
19,0,1024,3.0,30000,0.315969,13.593,phase1
20,1,1024,3.0,30000,0.446142,9.6269,phase1
21,1,1024,3.0,30000,0.310536,13.8308,phase1
22,1,1024,3.0,30000,0.319357,13.4488,phase1
23,1,1024,3.0,30000,0.315868,13.5974,phase1
24,1,1024,3.0,30000,0.29773,14.4257,phase1
25,1,1024,3.0,30000,0.305251,14.0703,phase1
26,1,1024,3.0,30000,0.302047,14.2195,phase1
27,1,1024,3.0,30000,0.306423,14.0165,phase1
28,1,1024,3.0,30000,0.302298,14.2077,phase1
29,1,1024,3.0,30000,0.3147,13.6478,phase1
30,1,1024,3.0,30000,0.289305,14.8458,phase1
31,1,1024,3.0,30000,0.318826,13.4712,phase1
32,1,1024,3.0,30000,0.322957,13.2989,phase1
33,1,1024,3.0,30000,0.305662,14.0514,phase1
34,1,1024,3.0,30000,0.293776,14.6199,phase1
35,1,1024,3.0,30000,0.318864,13.4696,phase1
36,1,1024,3.0,30000,0.298446,14.3911,phase1
37,1,1024,3.0,30000,0.301585,14.2413,phase1
38,1,1024,3.0,30000,0.238484,18.0095,phase1
39,1,1024,3.0,30000,0.23641,18.1674,phase1
40,2,1024,3.0,30000,0.290511,14.7842,phase1
41,2,1024,3.0,30000,0.294368,14.5905,phase1
42,2,1024,3.0,30000,0.309874,13.8604,phase1
43,2,1024,3.0,30000,0.315609,13.6085,phase1
44,2,1024,3.0,30000,0.296888,14.4666,phase1
45,2,1024,3.0,30000,0.307988,13.9452,phase1
46,2,1024,3.0,30000,0.301876,14.2276,phase1
47,2,1024,3.0,30000,0.306096,14.0314,phase1
48,2,1024,3.0,30000,0.312151,13.7593,phase1
49,2,1024,3.0,30000,0.322867,13.3026,phase1
50,2,1024,3.0,30000,0.312026,13.7648,phase1
51,2,1024,3.0,30000,0.305404,14.0632,phase1
52,2,1024,3.0,30000,0.293028,14.6572,phase1
53,2,1024,3.0,30000,0.293033,14.6569,phase1
54,2,1024,3.0,30000,0.301654,14.2381,phase1
55,2,1024,3.0,30000,0.30553,14.0574,phase1
56,2,1024,3.0,30000,0.298272,14.3995,phase1
57,2,1024,3.0,30000,0.31173,13.7778,phase1
58,2,1024,3.0,30000,0.316157,13.5849,phase1
59,2,1024,3.0,30000,0.311165,13.8029,phase1
60,3,1024,3.0,30000,0.312295,13.7529,phase1
61,3,1024,3.0,30000,0.285418,15.048,phase1
62,3,1024,3.0,30000,0.302711,14.1883,phase1
63,3,1024,3.0,30000,0.293777,14.6198,phase1
64,3,1024,3.0,30000,0.306811,13.9987,phase1
65,3,1024,3.0,30000,0.311525,13.7869,phase1
66,3,1024,3.0,30000,0.301746,14.2337,phase1
67,3,1024,3.0,30000,0.293165,14.6504,phase1
68,3,1024,3.0,30000,0.302919,14.1786,phase1
69,3,1024,3.0,30000,0.306473,14.0142,phase1
70,3,1024,3.0,30000,0.301951,14.224,phase1
71,3,1024,3.0,30000,0.298612,14.3831,phase1
72,3,1024,3.0,30000,0.306211,14.0262,phase1
73,3,1024,3.0,30000,0.311475,13.7891,phase1
74,3,1024,3.0,30000,0.285836,15.026,phase1
75,3,1024,3.0,30000,0.302869,14.181,phase1
76,3,1024,3.0,30000,0.307109,13.9851,phase1
77,3,1024,3.0,30000,0.284606,15.0909,phase1
78,3,1024,3.0,30000,0.307307,13.9761,phase1
79,3,1024,3.0,30000,0.294008,14.6083,phase1
80,4,1024,3.0,30000,0.311625,13.7825,phase1
81,4,1024,3.0,30000,0.301264,14.2565,phase1
82,4,1024,3.0,30000,0.318849,13.4702,phase1
83,4,1024,3.0,30000,0.302237,14.2106,phase1
84,4,1024,3.0,30000,0.302064,14.2187,phase1
