mode,job,epoch,phase,sleep_us,avg_comm_ms,avg_bw_gbps,pi,priority,dscp
longliu,A,0,phase1,30000,292.55,29.7522,-0.166667,2,16
longliu,A,1,phase1,30000,430.22,20.0353,-0.097094,4,32
longliu,A,2,phase1,30000,578.50,15.0219,-0.111934,2,16
longliu,A,3,phase1,30000,518.72,16.5672,-0.139347,2,16
longliu,A,4,phase1,30000,523.40,16.4274,-0.16086,2,16
longliu,A,5,phase1,30000,521.55,16.4801,-0.145017,2,16
longliu,A,6,phase1,30000,517.55,16.6069,-0.13472,2,16
longliu,A,7,phase2,80000,521.26,16.4921,-0.126164,2,16
longliu,A,8,phase2,80000,515.21,16.6809,-0.120709,2,16
longliu,A,9,phase2,80000,516.10,16.6589,-0.116185,2,16
longliu,A,10,phase2,80000,531.63,16.1651,-0.109966,2,16
longliu,A,11,phase2,80000,527.72,16.2867,-0.105363,2,16
longliu,A,12,phase2,80000,532.31,16.1461,-0.100838,2,16
longliu,A,13,phase2,80000,521.44,16.4897,-0.098345,4,32
longliu,A,14,phase2,80000,784.47,10.9931,-0.064909,4,32
longliu,B,0,phase1,80000,588.70,14.6990,-0.5,1,8
longliu,B,1,phase1,80000,432.36,19.9749,-0.528756,1,8
longliu,B,2,phase1,80000,515.48,16.6748,-0.520274,1,8
longliu,B,3,phase1,80000,520.10,16.5287,-0.514673,1,8
longliu,B,4,phase1,80000,517.88,16.5971,-0.510691,1,8
longliu,B,5,phase1,80000,519.06,16.5649,-0.510037,1,8
longliu,B,6,phase1,80000,521.72,16.4734,-0.509212,1,8
longliu,B,7,phase2,30000,515.88,16.6592,-0.509285,1,8
longliu,B,8,phase2,30000,518.51,16.5806,-0.509065,1,8
longliu,B,9,phase2,30000,527.14,16.3044,-0.508074,1,8
longliu,B,10,phase2,30000,529.90,16.2209,-0.507025,1,8
longliu,B,11,phase2,30000,529.35,16.2402,-0.506194,1,8
longliu,B,12,phase2,30000,520.41,16.5207,-0.506141,1,8
longliu,B,13,phase2,30000,412.80,20.8606,-0.513369,1,8
longliu,B,14,phase2,30000,398.80,21.6131,-0.520516,1,8
crux,A,0,phase1,30000,280.36,30.8645,nan,3,24
crux,A,1,phase1,30000,296.36,29.4622,nan,3,24
crux,A,2,phase1,30000,420.08,20.4672,nan,3,24
crux,A,3,phase1,30000,424.62,20.2435,nan,3,24
crux,A,4,phase1,30000,423.38,20.2986,nan,3,24
crux,A,5,phase1,30000,423.26,20.3001,nan,3,24
crux,A,6,phase1,30000,421.12,20.4144,nan,3,24
crux,A,7,phase2,80000,428.49,20.0594,nan,3,24
crux,A,8,phase2,80000,422.70,20.3344,nan,3,24
crux,A,9,phase2,80000,420.50,20.4392,nan,3,24
crux,A,10,phase2,80000,423.90,20.2852,nan,3,24
crux,A,11,phase2,80000,425.59,20.1988,nan,3,24
crux,A,12,phase2,80000,424.27,20.2553,nan,3,24
crux,A,13,phase2,80000,422.34,20.3566,nan,3,24
crux,A,14,phase2,80000,418.78,20.5253,nan,3,24
crux,B,0,phase1,80000,618.88,13.9028,nan,4,32
crux,B,1,phase1,80000,616.65,13.9390,nan,4,32
crux,B,2,phase1,80000,613.82,13.9984,nan,4,32
crux,B,3,phase1,80000,621.88,13.8210,nan,4,32
crux,B,4,phase1,80000,616.03,13.9514,nan,4,32
crux,B,5,phase1,80000,608.89,14.1148,nan,4,32
crux,B,6,phase1,80000,614.12,13.9999,nan,4,32
crux,B,7,phase2,30000,616.07,13.9555,nan,4,32
crux,B,8,phase2,30000,619.31,13.8757,nan,4,32
crux,B,9,phase2,30000,270.36,32.1665,nan,4,32
crux,B,10,phase2,30000,266.58,32.2722,nan,4,32
crux,B,11,phase2,30000,268.59,32.0453,nan,4,32
crux,B,12,phase2,30000,266.97,32.2309,nan,4,32
crux,B,13,phase2,30000,267.44,32.1642,nan,4,32
crux,B,14,phase2,30000,262.86,32.7083,nan,4,32
