iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
0,0,2048,30000,0.382245,22.4724,phase1
1,0,2048,30000,0.255652,33.6001,phase1
2,0,2048,30000,0.261224,32.8834,phase1
3,0,2048,30000,0.253261,33.9173,phase1
4,0,2048,30000,0.26624,32.2638,phase1
5,0,2048,30000,0.276935,31.0178,phase1
6,0,2048,30000,0.278958,30.7929,phase1
7,0,2048,30000,0.284919,30.1486,phase1
8,0,2048,30000,0.280126,30.6646,phase1
9,0,2048,30000,0.281713,30.4918,phase1
10,0,2048,30000,0.280133,30.6638,phase1
11,0,2048,30000,0.285608,30.076,phase1
12,0,2048,30000,0.282043,30.4561,phase1
13,0,2048,30000,0.282716,30.3836,phase1
14,0,2048,30000,0.289533,29.6683,phase1
15,0,2048,30000,0.285558,30.0813,phase1
16,0,2048,30000,0.282176,30.4418,phase1
17,0,2048,30000,0.280199,30.6565,phase1
18,0,2048,30000,0.283158,30.3362,phase1
19,0,2048,30000,0.280114,30.6659,phase1
20,1,2048,30000,0.279257,30.76,phase1
21,1,2048,30000,0.283249,30.3264,phase1
22,1,2048,30000,0.271371,31.6539,phase1
23,1,2048,30000,0.280492,30.6245,phase1
24,1,2048,30000,0.286918,29.9386,phase1
25,1,2048,30000,0.282946,30.359,phase1
26,1,2048,30000,0.27212,31.5667,phase1
27,1,2048,30000,0.26491,32.4258,phase1
28,1,2048,30000,0.259098,33.1532,phase1
29,1,2048,30000,0.260414,32.9857,phase1
30,1,2048,30000,0.269616,31.8599,phase1
31,1,2048,30000,0.26215,32.7672,phase1
32,1,2048,30000,0.265315,32.3763,phase1
33,1,2048,30000,0.265401,32.3659,phase1
34,1,2048,30000,0.264525,32.473,phase1
35,1,2048,30000,0.261773,32.8145,phase1
36,1,2048,30000,0.279,30.7883,phase1
37,1,2048,30000,0.304499,28.2101,phase1
38,1,2048,30000,0.463995,18.513,phase1
39,1,2048,30000,0.439683,19.5367,phase1
40,2,2048,30000,0.421424,20.3831,phase1
41,2,2048,30000,0.415079,20.6947,phase1
