epoch,phase,payload_mb,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,256,30000,0.089155,12.4926,1.026741,4,32,0.0988,694.467
1,phase1,256,30000,0.079649,13.5632,0.919047,4,32,0.0882,694.467
2,phase1,256,30000,0.08382,12.8737,0.914793,4,32,0.0928,694.467
3,phase1,256,30000,0.080689,13.3904,0.895935,4,32,0.0894,694.467
4,phase1,256,30000,0.078144,13.8181,0.872446,4,32,0.0866,694.467
5,phase1,256,30000,0.080836,13.4139,0.867147,4,32,0.0895,694.467
6,phase1,256,30000,0.080725,13.355,0.862919,4,32,0.0894,694.467
7,phase2,2048,30000,0.626199,13.7241,2.36988,4,32,0.6936,694.467
8,phase2,2048,30000,0.622927,13.7978,3.534191,4,32,0.69,694.467
9,phase2,2048,30000,0.608443,14.1476,4.433328,4,32,0.6739,694.467
10,phase2,2048,30000,0.385936,25.4583,4.718428,4,32,0.4275,694.467
11,phase2,2048,30000,0.267011,32.1998,4.735052,4,32,0.2958,694.467
12,phase2,2048,30000,0.266167,32.2854,4.747635,4,32,0.2948,694.467
13,phase2,2048,30000,0.266875,32.1998,4.759589,4,32,0.2956,694.467
14,phase2,2048,30000,0.265823,32.3323,4.768366,4,32,0.2944,694.467
