iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
0,0,256,30000,0.185061,5.8021,phase1
1,0,256,30000,0.089567,11.9881,phase1
2,0,256,30000,0.099463,10.7953,phase1
3,0,256,30000,0.090291,11.892,phase1
4,0,256,30000,0.086527,12.4093,phase1
5,0,256,30000,0.093949,11.429,phase1
6,0,256,30000,0.080372,13.3597,phase1
7,0,256,30000,0.089813,11.9553,phase1
8,0,256,30000,0.081356,13.198,phase1
9,0,256,30000,0.080477,13.3422,phase1
10,0,256,30000,0.074252,14.4608,phase1
11,0,256,30000,0.090312,11.8893,phase1
12,0,256,30000,0.077107,13.9253,phase1
13,0,256,30000,0.089093,12.0519,phase1
14,0,256,30000,0.080711,13.3035,phase1
15,0,256,30000,0.078106,13.7473,phase1
16,0,256,30000,0.080746,13.2977,phase1
17,0,256,30000,0.082071,13.0832,phase1
18,0,256,30000,0.076165,14.0975,phase1
19,0,256,30000,0.077667,13.8249,phase1
20,1,256,30000,0.079826,13.4511,phase1
21,1,256,30000,0.073551,14.5986,phase1
22,1,256,30000,0.07621,14.0893,phase1
23,1,256,30000,0.080419,13.3518,phase1
24,1,256,30000,0.093436,11.4917,phase1
25,1,256,30000,0.077487,13.857,phase1
26,1,256,30000,0.074039,14.5024,phase1
27,1,256,30000,0.084817,12.6594,phase1
28,1,256,30000,0.084605,12.6912,phase1
29,1,256,30000,0.080528,13.3337,phase1
30,1,256,30000,0.076521,14.032,phase1
31,1,256,30000,0.070054,15.3273,phase1
32,1,256,30000,0.085737,12.5237,phase1
33,1,256,30000,0.072007,14.9115,phase1
34,1,256,30000,0.076517,14.0328,phase1
35,1,256,30000,0.08118,13.2267,phase1
36,1,256,30000,0.094379,11.3769,phase1
37,1,256,30000,0.07617,14.0967,phase1
38,1,256,30000,0.082143,13.0717,phase1
39,1,256,30000,0.073354,14.6379,phase1
40,2,256,30000,0.089103,12.0506,phase1
41,2,256,30000,0.080276,13.3756,phase1
42,2,256,30000,0.081011,13.2542,phase1
43,2,256,30000,0.076442,14.0464,phase1
44,2,256,30000,0.089371,12.0144,phase1
45,2,256,30000,0.085966,12.4903,phase1
46,2,256,30000,0.090084,11.9193,phase1
47,2,256,30000,0.086137,12.4656,phase1
48,2,256,30000,0.080482,13.3413,phase1
49,2,256,30000,0.07646,14.0432,phase1
50,2,256,30000,0.089453,12.0034,phase1
51,2,256,30000,0.080838,13.2827,phase1
52,2,256,30000,0.081137,13.2337,phase1
53,2,256,30000,0.080762,13.2952,phase1
54,2,256,30000,0.086395,12.4283,phase1
55,2,256,30000,0.102731,10.452,phase1
56,2,256,30000,0.076164,14.0978,phase1
57,2,256,30000,0.082664,12.9892,phase1
58,2,256,30000,0.080508,13.3371,phase1
59,2,256,30000,0.080413,13.3528,phase1
60,3,256,30000,0.080942,13.2656,phase1
61,3,256,30000,0.084822,12.6588,phase1
62,3,256,30000,0.078124,13.7441,phase1
63,3,256,30000,0.089082,12.0534,phase1
64,3,256,30000,0.076753,13.9896,phase1
65,3,256,30000,0.069082,15.543,phase1
66,3,256,30000,0.093711,11.458,phase1
67,3,256,30000,0.073702,14.5686,phase1
68,3,256,30000,0.08896,12.0699,phase1
69,3,256,30000,0.080757,13.2959,phase1
70,3,256,30000,0.085877,12.5032,phase1
71,3,256,30000,0.075923,14.1425,phase1
72,3,256,30000,0.074293,14.4529,phase1
73,3,256,30000,0.077499,13.8549,phase1
74,3,256,30000,0.086075,12.4745,phase1
75,3,256,30000,0.082124,13.0747,phase1
76,3,256,30000,0.077617,13.8339,phase1
77,3,256,30000,0.070398,15.2524,phase1
78,3,256,30000,0.08597,12.4897,phase1
79,3,256,30000,0.082073,13.0827,phase1
80,4,256,30000,0.07257,14.796,phase1
81,4,256,30000,0.076129,14.1043,phase1
82,4,256,30000,0.072151,14.882,phase1
83,4,256,30000,0.076928,13.9577,phase1
84,4,256,30000,0.085448,12.566,phase1
85,4,256,30000,0.077659,13.8264,phase1
86,4,256,30000,0.077126,13.922,phase1
87,4,256,30000,0.081081,13.2428,phase1
88,4,256,30000,0.069237,15.5081,phase1
89,4,256,30000,0.072152,14.8818,phase1
90,4,256,30000,0.089316,12.0219,phase1
91,4,256,30000,0.07632,14.069,phase1
92,4,256,30000,0.075939,14.1395,phase1
93,4,256,30000,0.085096,12.6181,phase1
94,4,256,30000,0.071142,15.0929,phase1
95,4,256,30000,0.08623,12.4521,phase1
96,4,256,30000,0.076795,13.9819,phase1
97,4,256,30000,0.0777,13.8191,phase1
98,4,256,30000,0.090198,11.9042,phase1
99,4,256,30000,0.073669,14.5753,phase1
100,5,256,30000,0.094065,11.4149,phase1
101,5,256,30000,0.076121,14.1058,phase1
102,5,256,30000,0.081718,13.1396,phase1
103,5,256,30000,0.085149,12.6101,phase1
104,5,256,30000,0.065191,16.4707,phase1
105,5,256,30000,0.097705,10.9896,phase1
106,5,256,30000,0.080473,13.3428,phase1
107,5,256,30000,0.076422,14.0502,phase1
108,5,256,30000,0.088963,12.0696,phase1
109,5,256,30000,0.072143,14.8835,phase1
110,5,256,30000,0.090107,11.9163,phase1
111,5,256,30000,0.076465,14.0423,phase1
112,5,256,30000,0.085652,12.536,phase1
113,5,256,30000,0.085628,12.5396,phase1
114,5,256,30000,0.072865,14.7361,phase1
115,5,256,30000,0.071759,14.9631,phase1
116,5,256,30000,0.084588,12.6939,phase1
117,5,256,30000,0.081428,13.1864,phase1
118,5,256,30000,0.076464,14.0425,phase1
119,5,256,30000,0.073822,14.5451,phase1
120,6,256,30000,0.081421,13.1875,phase1
121,6,256,30000,0.084658,12.6832,phase1
122,6,256,30000,0.080491,13.3399,phase1
123,6,256,30000,0.085379,12.5763,phase1
124,6,256,30000,0.068443,15.6882,phase1
125,6,256,30000,0.081063,13.2458,phase1
126,6,256,30000,0.077677,13.8232,phase1
127,6,256,30000,0.075839,14.1582,phase1
128,6,256,30000,0.081218,13.2204,phase1
129,6,256,30000,0.076319,14.069,phase1
130,6,256,30000,0.076207,14.0898,phase1
131,6,256,30000,0.088921,12.0752,phase1
132,6,256,30000,0.07775,13.8101,phase1
133,6,256,30000,0.081035,13.2503,phase1
134,6,256,30000,0.080288,13.3736,phase1
135,6,256,30000,0.081432,13.1858,phase1
136,6,256,30000,0.084843,12.6556,phase1
137,6,256,30000,0.080649,13.3137,phase1
138,6,256,30000,0.093381,11.4985,phase1
139,6,256,30000,0.07749,13.8564,phase1
140,7,2048,30000,0.635236,13.5224,phase2
141,7,2048,30000,0.636397,13.4978,phase2
142,7,2048,30000,0.614419,13.9806,phase2
143,7,2048,30000,0.6445,13.3281,phase2
144,7,2048,30000,0.61866,13.8847,phase2
145,7,2048,30000,0.621821,13.8142,phase2
146,7,2048,30000,0.623873,13.7687,phase2
147,7,2048,30000,0.619619,13.8632,phase2
148,7,2048,30000,0.627298,13.6935,phase2
149,7,2048,30000,0.64944,13.2267,phase2
150,7,2048,30000,0.611618,14.0446,phase2
151,7,2048,30000,0.609938,14.0833,phase2
152,7,2048,30000,0.643971,13.339,phase2
153,7,2048,30000,0.592413,14.4999,phase2
154,7,2048,30000,0.635305,13.521,phase2
155,7,2048,30000,0.618325,13.8923,phase2
156,7,2048,30000,0.634278,13.5429,phase2
157,7,2048,30000,0.639332,13.4358,phase2
158,7,2048,30000,0.621919,13.812,phase2
159,7,2048,30000,0.625613,13.7304,phase2
160,8,2048,30000,0.635584,13.515,phase2
161,8,2048,30000,0.588769,14.5896,phase2
162,8,2048,30000,0.632878,13.5728,phase2
163,8,2048,30000,0.62231,13.8033,phase2
164,8,2048,30000,0.623694,13.7727,phase2
165,8,2048,30000,0.611359,14.0506,phase2
166,8,2048,30000,0.644108,13.3362,phase2
167,8,2048,30000,0.605274,14.1918,phase2
168,8,2048,30000,0.59246,14.4987,phase2
169,8,2048,30000,0.638391,13.4556,phase2
170,8,2048,30000,0.631174,13.6095,phase2
171,8,2048,30000,0.623715,13.7722,phase2
172,8,2048,30000,0.615397,13.9584,phase2
173,8,2048,30000,0.647478,13.2668,phase2
174,8,2048,30000,0.621594,13.8192,phase2
175,8,2048,30000,0.623981,13.7663,phase2
176,8,2048,30000,0.631799,13.596,phase2
177,8,2048,30000,0.618813,13.8813,phase2
178,8,2048,30000,0.634966,13.5282,phase2
179,8,2048,30000,0.614789,13.9722,phase2
180,9,2048,30000,0.63618,13.5024,phase2
181,9,2048,30000,0.621488,13.8216,phase2
182,9,2048,30000,0.64092,13.4025,phase2
