mode,epoch,phase,bw_A_gbps,bw_B_gbps,share_A_ratio,share_B_ratio,total_bw_gbps
longliu,0,P1,27.7831,15.5162,0.6416524054661392,0.3583475945338608,43.2993
longliu,1,P1,28.7639,16.3442,0.6376659624324678,0.36233403756753224,45.1081
longliu,2,P1,29.0854,16.7067,0.6351619602507855,0.36483803974921436,45.792100000000005
longliu,3,P1,28.2518,16.578,0.6302013392877059,0.36979866071229406,44.8298
longliu,4,P1,29.6571,16.668,0.6401950562438073,0.35980494375619265,46.3251
longliu,5,P1,31.2851,16.9318,0.6488409665490731,0.35115903345092697,48.216899999999995
longliu,6,P1,30.5422,16.9307,0.6433607384423534,0.3566392615576466,47.4729
longliu,7,P2,21.6833,24.4919,0.4695875708172352,0.5304124291827648,46.175200000000004
longliu,8,P2,18.2366,32.6773,0.35818509287247685,0.6418149071275232,50.9139
longliu,9,P2,16.9037,32.4034,0.3428248670069828,0.6571751329930172,49.3071
longliu,10,P2,16.4832,32.1076,0.3392247092042115,0.6607752907957885,48.5908
longliu,11,P2,16.7387,32.0037,0.3434114856880252,0.6565885143119747,48.7424
longliu,12,P2,16.8243,32.2698,0.34269494705066395,0.657305052949336,49.0941
longliu,13,P2,16.7976,32.4242,0.3412634239300472,0.6587365760699527,49.2218
longliu,14,P2,16.7886,31.2189,0.3497078581471645,0.6502921418528356,48.0075
crux,0,P1,25.419,12.6681,0.6673913214710493,0.33260867852895076,38.0871
crux,1,P1,24.3605,12.6011,0.6590759058049435,0.34092409419505654,36.9616
crux,2,P1,25.1841,12.9623,0.6601959817964473,0.33980401820355266,38.1464
crux,3,P1,23.8566,12.6429,0.6536144330744257,0.3463855669255743,36.4995
crux,4,P1,25.8595,12.6328,0.6718096866126472,0.3281903133873528,38.4923
crux,5,P1,24.8116,13.0573,0.6551972726960646,0.34480272730393546,37.8689
crux,6,P1,13.0055,12.4107,0.5117011984482338,0.4882988015517662,25.4162
crux,7,P2,12.4919,12.9882,0.4902610272330171,0.5097389727669829,25.4801
crux,8,P2,12.7491,12.7987,0.4990292706221279,0.500970729377872,25.547800000000002
crux,9,P2,12.4717,31.4556,0.28391683531653433,0.7160831646834656,43.9273
crux,10,P2,12.6202,33.4908,0.2736917438355273,0.7263082561644726,46.111000000000004
crux,11,P2,12.6504,33.6296,0.2733448573898012,0.7266551426101988,46.28
crux,12,P2,12.2771,33.9538,0.2655604801117867,0.7344395198882132,46.230900000000005
crux,13,P2,12.7566,32.8565,0.2796696563048774,0.7203303436951227,45.613099999999996
crux,14,P2,12.8446,33.008,0.2801280625308052,0.7198719374691948,45.8526
