epoch,job,ll_c_i,ll_slowdown,ll_priority,ll_bw_share,ll_violation,cx_c_i,cx_slowdown,cx_priority,cx_bw_share,cx_violation
0,jobA,1.7,0.5028,2,0.0012,0,1.7,0.4707,3,0.0013,0
1,jobA,1.7,0.5681,2,0.0011,0,1.7,0.4415,3,0.0014,0
2,jobA,1.7,0.6112,2,0.0010,0,1.7,0.4524,3,0.0014,0
3,jobA,1.7,0.8121,2,0.0008,0,1.7,0.6742,3,0.0010,0
4,jobA,1.7,0.9368,2,0.0007,0,1.7,0.7866,3,0.0008,0
5,jobA,1.7,0.9448,2,0.0007,0,1.7,0.7893,3,0.0008,0
6,jobA,1.7,0.9464,2,0.0007,0,1.7,0.7765,3,0.0008,0
7,jobA,3.0,0.5334,1,0.0007,0,3.0,0.4501,3,0.0008,0
8,jobA,3.0,0.5178,1,0.0007,0,3.0,0.4425,3,0.0008,0
9,jobA,3.0,0.5046,1,0.0007,0,3.0,0.4486,3,0.0008,0
10,jobA,3.0,0.5083,1,0.0007,0,3.0,0.4419,3,0.0008,0
11,jobA,3.0,0.4205,1,0.0008,0,3.0,0.4459,3,0.0008,0
12,jobA,3.0,0.4121,1,0.0009,0,3.0,0.4474,3,0.0008,0
13,jobA,3.0,0.4152,1,0.0008,0,3.0,0.4462,3,0.0008,0
14,jobA,3.0,0.4245,1,0.0008,0,3.0,0.4466,3,0.0008,0
0,jobB,3.0,0.5983,2,0.0006,0,3.0,0.4852,3,0.0007,0
1,jobB,3.0,0.5866,2,0.0006,0,3.0,0.4840,3,0.0007,0
2,jobB,3.0,0.5745,2,0.0006,0,3.0,0.4777,3,0.0007,0
3,jobB,3.0,0.5778,2,0.0006,0,3.0,0.4722,3,0.0007,0
4,jobB,3.0,0.5715,2,0.0006,0,3.0,0.4809,3,0.0007,0
5,jobB,3.0,0.5355,2,0.0007,0,3.0,0.4759,3,0.0007,0
6,jobB,3.0,0.5482,2,0.0006,0,3.0,0.4786,3,0.0007,0
7,jobB,1.7,0.9789,4,0.0006,0,1.7,0.8462,3,0.0007,0
8,jobB,1.7,0.9771,4,0.0006,0,1.7,0.8400,3,0.0007,0
9,jobB,1.7,0.9803,4,0.0006,0,1.7,0.8532,3,0.0007,0
10,jobB,1.7,1.0084,4,0.0006,1,1.7,0.8380,3,0.0007,0
11,jobB,1.7,0.6560,4,0.0010,0,1.7,0.7502,3,0.0009,0
12,jobB,1.7,0.5097,4,0.0012,0,1.7,0.4815,3,0.0013,0
13,jobB,1.7,0.5234,4,0.0012,0,1.7,0.4883,3,0.0013,0
14,jobB,1.7,0.5241,2,0.0012,0,1.7,0.4721,3,0.0013,0
