epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.313148,13.8086,-0.461479,2,24,0.5346,3905.163
1,phase1,1024,3.0,30000,0.323768,13.4185,-0.452523,2,24,0.5527,3905.163
2,phase1,1024,3.0,30000,0.31842,13.5245,-0.452623,2,24,0.5436,3905.163
3,phase1,1024,3.0,30000,0.324149,13.2728,-0.45019,2,24,0.5534,3905.163
4,phase1,1024,3.0,30000,0.322347,13.3456,-0.449348,2,24,0.5503,3905.163
5,phase1,1024,3.0,30000,0.266646,16.1806,-0.464683,2,24,0.4552,3905.163
6,phase1,1024,3.0,30000,0.278394,15.4531,-0.472727,2,24,0.4753,3905.163
7,phase2,1024,1.2,30000,0.268077,16.0723,0.297597,4,0,1.1441,3905.163
8,phase2,1024,1.2,30000,0.262898,16.5219,0.279116,4,0,1.122,3905.163
9,phase2,1024,1.2,30000,0.258583,16.6548,0.2625,4,0,1.1036,3905.163
10,phase2,1024,1.2,30000,0.252593,17.0425,0.246502,4,0,1.078,3905.163
11,phase2,1024,1.2,30000,0.255325,16.8581,0.234177,4,0,1.0897,3905.163
12,phase2,1024,1.2,30000,0.2574,16.727,0.224462,4,0,1.0985,3905.163
13,phase2,1024,1.2,30000,0.252075,17.0675,0.214511,4,0,1.0758,3905.163
14,phase2,1024,1.2,30000,0.244043,17.8424,0.203575,4,0,1.0415,3905.163
