epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.307948,14.0077,-0.47037,3,16,0.5257,3905.163
1,phase1,1024,3.0,30000,0.305419,14.0779,-0.472627,3,16,0.5214,3905.163
2,phase1,1024,3.0,30000,0.300536,14.306,-0.476158,3,16,0.5131,3905.163
3,phase1,1024,3.0,30000,0.298854,14.3839,-0.478633,3,16,0.5102,3905.163
4,phase1,1024,3.0,30000,0.299039,14.3824,-0.48006,3,16,0.5105,3905.163
5,phase1,1024,3.0,30000,0.301491,14.2642,-0.480311,3,16,0.5147,3905.163
6,phase1,1024,3.0,30000,0.301219,14.2746,-0.480688,3,16,0.5142,3905.163
7,phase2,1024,1.2,30000,0.305408,14.0724,0.30009,3,16,1.3034,3905.163
8,phase2,1024,1.2,30000,0.300641,14.2914,0.299247,3,16,1.2831,3905.163
9,phase2,1024,1.2,30000,0.299551,14.3488,0.298102,3,16,1.2784,3905.163
10,phase2,1024,1.2,30000,0.301857,14.2439,0.29805,3,16,1.2883,3905.163
11,phase2,1024,1.2,30000,0.294893,14.6591,0.295542,3,16,1.2586,3905.163
12,phase2,1024,1.2,30000,0.170636,25.2144,0.251968,3,16,0.7282,3905.163
13,phase2,1024,1.2,30000,0.170527,25.3093,0.214578,3,16,0.7278,3905.163
14,phase2,1024,1.2,30000,0.176642,24.3377,0.183923,3,16,0.7539,3905.163
