scene,spine_bw,policy,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean
E1,400,CRUX,5,"[0, 1, 2, 3, 4]",0.65,0.255,0.8347,0.6887
E1,400,D1,5,"[0, 1, 2, 3, 4]",0.525,0.3391,0.8383,0.7579
E1,400,Fair,5,"[0, 1, 2, 3, 4]",0.55,0.3317,0.8462,0.6927
E1,400,SP,5,"[0, 1, 2, 3, 4]",0.575,0.2574,0.8502,0.7053
E1,400,WFS,5,"[0, 1, 2, 3, 4]",0.525,0.3202,0.8208,0.6903
E1,400,v4,5,"[0, 1, 2, 3, 4]",0.725,0.1458,0.9319,0.9553
E1,500,CRUX,5,"[0, 1, 2, 3, 4]",0.7,0.2449,0.8836,0.7912
E1,500,D1,5,"[0, 1, 2, 3, 4]",0.625,0.2958,0.9008,0.8652
E1,500,Fair,5,"[0, 1, 2, 3, 4]",0.65,0.2669,0.9117,0.8026
E1,500,SP,5,"[0, 1, 2, 3, 4]",0.7,0.3021,0.9048,0.8174
E1,500,WFS,5,"[0, 1, 2, 3, 4]",0.725,0.2784,0.8809,0.8182
E1,500,v4,5,"[0, 1, 2, 3, 4]",0.875,0.1369,0.9617,0.9818
E1,630,CRUX,5,"[0, 1, 2, 3, 4]",0.8,0.2318,0.9413,0.8942
E1,630,D1,5,"[0, 1, 2, 3, 4]",0.825,0.2179,0.9553,0.9576
E1,630,Fair,5,"[0, 1, 2, 3, 4]",0.875,0.1369,0.9519,0.9108
E1,630,SP,5,"[0, 1, 2, 3, 4]",0.825,0.1,0.9502,0.912
E1,630,WFS,5,"[0, 1, 2, 3, 4]",0.75,0.285,0.9163,0.8974
E1,630,v4,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.9739,0.9985
E1,800,CRUX,5,"[0, 1, 2, 3, 4]",0.925,0.1,0.9725,0.9763
E1,800,D1,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,800,Fair,5,"[0, 1, 2, 3, 4]",0.9,0.1458,0.9634,0.9826
E1,800,SP,5,"[0, 1, 2, 3, 4]",0.95,0.0612,0.9711,0.9809
E1,800,WFS,5,"[0, 1, 2, 3, 4]",0.85,0.1458,0.9401,0.9575
E1,800,v4,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,1000,CRUX,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,0.9963
E1,1000,D1,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,1000,Fair,5,"[0, 1, 2, 3, 4]",0.95,0.0612,0.9679,0.992
E1,1000,SP,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,0.9997
E1,1000,WFS,5,"[0, 1, 2, 3, 4]",0.875,0.1369,0.9569,0.9868
E1,1000,v4,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,1200,CRUX,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,1200,D1,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,1200,Fair,5,"[0, 1, 2, 3, 4]",0.95,0.0612,0.9701,0.995
E1,1200,SP,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
E1,1200,WFS,5,"[0, 1, 2, 3, 4]",0.9,0.1458,0.9678,0.9944
E1,1200,v4,5,"[0, 1, 2, 3, 4]",0.975,0.05,0.975,1.0
