spine_bw,overlap_factor,policy,n_seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean
500,0.0,CASSINI,5,0.675,0.0612,0.907,0.6885
500,0.0,CRUX,5,0.675,0.2318,0.9215,0.8756
500,0.0,DF,5,0.7,0.4,0.936,0.9425
500,0.0,Fair,5,0.775,0.2,0.9498,0.8692
500,0.0,LL-S,5,0.7,0.4,0.9426,0.9531
500,0.0,LongLiu,5,0.875,0.1369,0.9676,0.9939
500,0.0,SRPT,5,0.75,0.2092,0.9212,0.8572
500,0.3,CASSINI,5,0.575,0.1,0.893,0.6673
500,0.3,CRUX,5,0.675,0.2318,0.9076,0.8502
500,0.3,DF,5,0.65,0.3742,0.9294,0.9138
500,0.3,Fair,5,0.725,0.2151,0.9392,0.8497
500,0.3,LL-S,5,0.7,0.4,0.9299,0.9369
500,0.3,LongLiu,5,0.875,0.1369,0.9663,0.9909
500,0.3,SRPT,5,0.725,0.255,0.9175,0.847
500,0.5,CASSINI,5,0.5,0.1118,0.8753,0.6502
500,0.5,CRUX,5,0.675,0.2318,0.8983,0.8329
500,0.5,DF,5,0.65,0.255,0.9198,0.8996
500,0.5,Fair,5,0.7,0.2179,0.9298,0.8345
500,0.5,LL-S,5,0.675,0.3841,0.9201,0.9225
500,0.5,LongLiu,5,0.875,0.1369,0.9657,0.9883
500,0.5,SRPT,5,0.725,0.255,0.9145,0.8374
500,0.85,CASSINI,5,0.45,0.1275,0.8415,0.6235
500,0.85,CRUX,5,0.675,0.2318,0.8821,0.8026
500,0.85,DF,5,0.625,0.2958,0.9008,0.8652
500,0.85,Fair,5,0.65,0.2669,0.9117,0.8026
500,0.85,LL-S,5,0.675,0.3841,0.9022,0.8924
500,0.85,LongLiu,5,0.875,0.1369,0.9617,0.9818
500,0.85,SRPT,5,0.7,0.3021,0.9048,0.8174
500,1.0,CASSINI,5,0.45,0.1275,0.8269,0.6112
500,1.0,CRUX,5,0.675,0.2318,0.8749,0.7898
500,1.0,DF,5,0.625,0.2958,0.8949,0.8574
500,1.0,Fair,5,0.65,0.2669,0.9031,0.7898
500,1.0,LL-S,5,0.65,0.3657,0.8935,0.8795
500,1.0,LongLiu,5,0.825,0.1275,0.9593,0.9797
500,1.0,SRPT,5,0.7,0.3021,0.8999,0.8073
630,0.0,CASSINI,5,0.825,0.0612,0.9233,0.7502
630,0.0,CRUX,5,0.875,0.1936,0.9576,0.9653
630,0.0,DF,5,0.975,0.05,0.975,1.0
630,0.0,Fair,5,0.95,0.0612,0.9699,0.9558
630,0.0,LL-S,5,0.975,0.05,0.975,1.0
630,0.0,LongLiu,5,0.975,0.05,0.975,1.0
630,0.0,SRPT,5,0.85,0.0935,0.9592,0.9499
630,0.3,CASSINI,5,0.75,0.0791,0.9175,0.7277
630,0.3,CRUX,5,0.825,0.2179,0.9475,0.9494
630,0.3,DF,5,0.925,0.15,0.9735,0.9915
630,0.3,Fair,5,0.95,0.0612,0.9674,0.9469
630,0.3,LL-S,5,0.9,0.1458,0.9723,0.9961
630,0.3,LongLiu,5,0.975,0.05,0.9749,0.9999
630,0.3,SRPT,5,0.85,0.0935,0.957,0.9393
630,0.5,CASSINI,5,0.7,0.1275,0.9081,0.7125
630,0.5,CRUX,5,0.775,0.2424,0.9391,0.9371
630,0.5,DF,5,0.9,0.1458,0.9697,0.9884
630,0.5,Fair,5,0.9,0.1458,0.963,0.9385
630,0.5,LL-S,5,0.85,0.1837,0.964,0.9888
630,0.5,LongLiu,5,0.975,0.05,0.9746,0.9997
630,0.5,SRPT,5,0.85,0.0935,0.9552,0.9316
630,0.85,CASSINI,5,0.525,0.0935,0.8784,0.6839
630,0.85,CRUX,5,0.775,0.2424,0.9222,0.9119
630,0.85,DF,5,0.825,0.2179,0.9553,0.9576
630,0.85,Fair,5,0.875,0.1369,0.9519,0.9108
630,0.85,LL-S,5,0.85,0.1837,0.9486,0.9736
630,0.85,LongLiu,5,0.975,0.05,0.9739,0.9985
630,0.85,SRPT,5,0.825,0.1,0.9502,0.912
630,1.0,CASSINI,5,0.5,0.1118,0.8628,0.6709
630,1.0,CRUX,5,0.75,0.2622,0.9148,0.9001
630,1.0,DF,5,0.775,0.3,0.9503,0.9484
630,1.0,Fair,5,0.875,0.1369,0.946,0.8983
630,1.0,LL-S,5,0.825,0.1696,0.9406,0.9647
630,1.0,LongLiu,5,0.925,0.15,0.9729,0.9962
630,1.0,SRPT,5,0.825,0.1,0.9465,0.9003
