spine_bw,overlap_factor,policy,n_seeds,p_attn_mean,p_attn_std,waste_ratio_mean,waste_ratio_std,allocation_precision_mean,allocation_precision_std,total_util_mean,s_cont_cap_mean
500,0.0,WFS,5,0.75,0.2372,0.4812,0.2398,0.7843,0.2084,0.5188,0.8753
500,0.0,v4,5,0.875,0.1369,0.7104,0.0983,1.0,0.0,0.2896,0.9939
500,0.3,WFS,5,0.725,0.2784,0.4811,0.2399,0.8203,0.2117,0.5189,0.8566
500,0.3,v4,5,0.875,0.1369,0.7026,0.1025,0.9961,0.0078,0.2974,0.9909
500,0.5,WFS,5,0.725,0.2784,0.4812,0.2398,0.8352,0.2125,0.5188,0.843
500,0.5,v4,5,0.875,0.1369,0.6962,0.1067,0.9978,0.0044,0.3038,0.9883
500,0.85,WFS,5,0.725,0.2784,0.4815,0.2397,0.8709,0.2129,0.5185,0.8182
500,0.85,v4,5,0.875,0.1369,0.6796,0.1173,1.0,0.0,0.3204,0.9818
500,1.0,WFS,5,0.7,0.3221,0.4812,0.2398,0.8801,0.2077,0.5188,0.807
500,1.0,v4,5,0.825,0.1275,0.6677,0.1259,1.0,0.0,0.3323,0.9797
630,0.0,WFS,5,0.8,0.2031,0.4753,0.2436,0.7027,0.2137,0.5247,0.9537
630,0.0,v4,5,0.975,0.05,0.7516,0.0781,1.0,0.0,0.2484,1.0
630,0.3,WFS,5,0.8,0.2031,0.475,0.2437,0.7313,0.2121,0.525,0.9386
630,0.3,v4,5,0.975,0.05,0.7455,0.0814,0.9961,0.0078,0.2545,0.9999
630,0.5,WFS,5,0.8,0.2031,0.4753,0.2436,0.7601,0.2146,0.5247,0.9265
630,0.5,v4,5,0.975,0.05,0.7406,0.0846,0.9978,0.0044,0.2594,0.9997
630,0.85,WFS,5,0.75,0.285,0.4752,0.2437,0.8011,0.2197,0.5248,0.8974
630,0.85,v4,5,0.975,0.05,0.7274,0.0932,1.0,0.0,0.2726,0.9985
630,1.0,WFS,5,0.75,0.285,0.4753,0.2436,0.8287,0.2237,0.5247,0.8851
630,1.0,v4,5,0.925,0.15,0.716,0.1018,1.0,0.0,0.284,0.9962
