straggler_factor,policy,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean
1.0,CASSINI,5,"[0, 1, 2, 3, 4]",0.275,0.1458,0.7802,0.5421
1.0,CRUX,5,"[0, 1, 2, 3, 4]",0.625,0.25,0.8339,0.6873
1.0,DF,5,"[0, 1, 2, 3, 4]",0.525,0.3391,0.8383,0.7579
1.0,Fair,5,"[0, 1, 2, 3, 4]",0.55,0.3317,0.8462,0.6927
1.0,LL-S,5,"[0, 1, 2, 3, 4]",0.625,0.3354,0.8617,0.8279
1.0,LongLiu,5,"[0, 1, 2, 3, 4]",0.725,0.1458,0.9319,0.9553
1.0,SRPT,5,"[0, 1, 2, 3, 4]",0.575,0.2574,0.8502,0.7053
2.0,CASSINI,5,"[0, 1, 2, 3, 4]",0.275,0.1458,0.7651,0.5497
2.0,CRUX,5,"[0, 1, 2, 3, 4]",0.625,0.25,0.8264,0.6943
2.0,DF,5,"[0, 1, 2, 3, 4]",0.55,0.3317,0.8331,0.7573
2.0,Fair,5,"[0, 1, 2, 3, 4]",0.55,0.3317,0.8367,0.7018
2.0,LL-S,5,"[0, 1, 2, 3, 4]",0.575,0.3317,0.8362,0.8261
2.0,LongLiu,5,"[0, 1, 2, 3, 4]",0.725,0.1458,0.936,0.9582
2.0,SRPT,5,"[0, 1, 2, 3, 4]",0.575,0.2574,0.834,0.7273
3.0,CASSINI,5,"[0, 1, 2, 3, 4]",0.225,0.0935,0.7414,0.555
3.0,CRUX,5,"[0, 1, 2, 3, 4]",0.575,0.2693,0.809,0.6973
3.0,DF,5,"[0, 1, 2, 3, 4]",0.5,0.3536,0.806,0.757
3.0,Fair,5,"[0, 1, 2, 3, 4]",0.475,0.3202,0.8158,0.7038
3.0,LL-S,5,"[0, 1, 2, 3, 4]",0.55,0.2806,0.837,0.8055
3.0,LongLiu,5,"[0, 1, 2, 3, 4]",0.7,0.1275,0.918,0.9578
3.0,SRPT,5,"[0, 1, 2, 3, 4]",0.55,0.2574,0.8118,0.7332
5.0,CASSINI,5,"[0, 1, 2, 3, 4]",0.225,0.0935,0.7182,0.5612
5.0,CRUX,5,"[0, 1, 2, 3, 4]",0.525,0.2,0.7878,0.7086
5.0,DF,5,"[0, 1, 2, 3, 4]",0.475,0.3202,0.7901,0.7604
5.0,Fair,5,"[0, 1, 2, 3, 4]",0.45,0.2915,0.7928,0.7148
5.0,LL-S,5,"[0, 1, 2, 3, 4]",0.55,0.3221,0.8252,0.8333
5.0,LongLiu,5,"[0, 1, 2, 3, 4]",0.75,0.0791,0.8969,0.9599
5.0,SRPT,5,"[0, 1, 2, 3, 4]",0.525,0.2669,0.7878,0.7524
