scene,spine_bw,policy,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean,p_attn_s0,p_attn_s1,p_attn_s2,p_attn_s3,p_attn_s4,p_attn_s5,p_attn_s6,p_attn_s7,p_attn_s8,p_attn_s9
E2',400,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6111,0.2881,0.8489,0.6820,0.4444,0.6667,0.0000,0.8889,0.4444,0.7778,0.7778,1.0000,0.6667,0.4444
E2',400,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5333,0.2446,0.8206,0.6375,0.4444,0.5556,0.0000,0.8889,0.4444,0.6667,0.6667,0.7778,0.4444,0.4444
E2',400,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6000,0.2879,0.8570,0.7777,0.3333,0.6667,0.0000,0.8889,0.4444,0.8889,0.7778,0.8889,0.5556,0.5556
E2',400,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6111,0.2881,0.8482,0.6876,0.4444,0.6667,0.0000,0.8889,0.4444,0.7778,0.7778,1.0000,0.6667,0.4444
E2',400,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6222,0.2831,0.8705,0.8312,0.4444,0.8889,0.1111,1.0000,0.4444,0.7778,0.8889,0.7778,0.4444,0.4444
E2',400,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7889,0.1223,0.9412,0.9493,0.8889,0.8889,0.6667,0.7778,0.6667,0.7778,0.8889,0.8889,0.8889,0.5556
E2',400,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6111,0.2112,0.8403,0.6736,0.5556,0.5556,0.2222,1.0000,0.4444,0.6667,0.7778,0.7778,0.5556,0.5556
E2',500,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7000,0.3101,0.9057,0.8359,0.5556,1.0000,0.0000,0.8889,0.4444,0.8889,0.8889,1.0000,0.6667,0.6667
E2',500,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6445,0.2501,0.8863,0.8044,0.5556,0.8889,0.1111,0.8889,0.4444,0.7778,0.7778,0.8889,0.5556,0.5556
E2',500,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7333,0.3362,0.9121,0.9132,0.5556,1.0000,0.0000,1.0000,0.4444,1.0000,1.0000,1.0000,0.6667,0.6667
E2',500,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7000,0.3101,0.9044,0.8404,0.5556,1.0000,0.0000,0.8889,0.4444,0.8889,0.8889,1.0000,0.6667,0.6667
E2',500,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7111,0.3321,0.9142,0.9094,0.5556,1.0000,0.0000,1.0000,0.4444,1.0000,0.8889,1.0000,0.5556,0.6667
E2',500,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8556,0.1054,0.9499,0.9739,0.8889,0.8889,0.8889,1.0000,0.6667,0.8889,0.8889,0.8889,0.8889,0.6667
E2',500,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7445,0.2286,0.9001,0.8092,0.6667,0.7778,0.2222,1.0000,0.6667,0.8889,0.8889,1.0000,0.6667,0.6667
E2',630,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8556,0.1818,0.9424,0.9421,0.7778,1.0000,0.5556,1.0000,0.5556,1.0000,1.0000,1.0000,0.8889,0.7778
E2',630,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7667,0.2984,0.9353,0.9295,0.8889,1.0000,0.1111,1.0000,0.4444,1.0000,0.8889,1.0000,0.6667,0.6667
E2',630,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8222,0.2878,0.9485,0.9838,0.7778,1.0000,0.1111,1.0000,0.5556,1.0000,1.0000,1.0000,0.8889,0.8889
E2',630,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8556,0.1818,0.9429,0.9468,0.7778,1.0000,0.5556,1.0000,0.5556,1.0000,1.0000,1.0000,0.8889,0.7778
E2',630,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8000,0.3134,0.9400,0.9718,0.8889,1.0000,0.0000,1.0000,0.6667,1.0000,1.0000,1.0000,0.7778,0.6667
E2',630,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9222,0.1177,0.9641,0.9972,1.0000,1.0000,0.8889,1.0000,0.6667,1.0000,1.0000,1.0000,0.8889,0.7778
E2',630,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8334,0.1677,0.9365,0.9298,0.7778,1.0000,0.5556,1.0000,0.6667,0.8889,1.0000,1.0000,0.6667,0.7778
E2',800,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9222,0.0915,0.9616,0.9937,0.8889,1.0000,0.7778,1.0000,0.8889,1.0000,1.0000,1.0000,0.8889,0.7778
E2',800,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8889,0.1386,0.9548,0.9865,0.8889,1.0000,0.6667,1.0000,0.6667,1.0000,1.0000,1.0000,0.8889,0.7778
E2',800,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9667,0.0537,0.9667,0.9999,1.0000,1.0000,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,0.8889,0.8889
E2',800,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1223,0.9614,0.9954,0.8889,1.0000,0.7778,1.0000,0.6667,1.0000,1.0000,1.0000,0.8889,0.7778
E2',800,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1610,0.9583,0.9942,1.0000,1.0000,0.5556,1.0000,0.6667,1.0000,1.0000,1.0000,0.8889,0.8889
E2',800,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9667,0.0537,0.9666,1.0000,1.0000,1.0000,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,0.8889,0.8889
E2',800,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9222,0.1391,0.9616,0.9934,1.0000,1.0000,0.5556,1.0000,0.8889,1.0000,1.0000,1.0000,0.8889,0.8889
E2-pro,630,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8800,0.1687,0.9365,0.8753,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
E2-pro,630,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8600,0.1647,0.9180,0.8091,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,0.8000,1.0000,0.8000,0.6000
E2-pro,630,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1700,0.9746,0.9710,1.0000,1.0000,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
E2-pro,630,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8800,0.1687,0.9356,0.8670,1.0000,1.0000,0.8000,0.6000,1.0000,1.0000,1.0000,1.0000,0.8000,0.6000
