E17,400,LongLiu,10,0|1|2|3|4|5|6|7|8|9,0.6750,0.1344
E17,400,LL-S,10,0|1|2|3|4|5|6|7|8|9,0.4625,0.2639
E17,400,DF,10,0|1|2|3|4|5|6|7|8|9,0.4875,0.1376
E17,400,SRPT,10,0|1|2|3|4|5|6|7|8|9,0.4875,0.2161
E17,400,CRUX,10,0|1|2|3|4|5|6|7|8|9,0.3625,0.2462
E17,400,CASSINI,10,0|1|2|3|4|5|6|7|8|9,0.3875,0.1376
E17,400,Fair,10,0|1|2|3|4|5|6|7|8|9,0.6125,0.1811
E17,500,LongLiu,10,0|1|2|3|4|5|6|7|8|9,0.7125,0.1565
E17,500,LL-S,10,0|1|2|3|4|5|6|7|8|9,0.5500,0.2514
E17,500,DF,10,0|1|2|3|4|5|6|7|8|9,0.5500,0.1882
E17,500,SRPT,10,0|1|2|3|4|5|6|7|8|9,0.5875,0.2045
E17,500,CRUX,10,0|1|2|3|4|5|6|7|8|9,0.4125,0.2129
E17,500,CASSINI,10,0|1|2|3|4|5|6|7|8|9,0.4500,0.1208
E17,500,Fair,10,0|1|2|3|4|5|6|7|8|9,0.6500,0.1936
E17,630,LongLiu,10,0|1|2|3|4|5|6|7|8|9,0.7375,0.1243
E17,630,LL-S,10,0|1|2|3|4|5|6|7|8|9,0.6000,0.2415
E17,630,DF,10,0|1|2|3|4|5|6|7|8|9,0.6750,0.1687
E17,630,SRPT,10,0|1|2|3|4|5|6|7|8|9,0.7000,0.1687
E17,630,CRUX,10,0|1|2|3|4|5|6|7|8|9,0.5250,0.2267
E17,630,CASSINI,10,0|1|2|3|4|5|6|7|8|9,0.5250,0.0791
E17,630,Fair,10,0|1|2|3|4|5|6|7|8|9,0.7250,0.1537
E17,800,LongLiu,10,0|1|2|3|4|5|6|7|8|9,0.7375,0.1243
E17,800,LL-S,10,0|1|2|3|4|5|6|7|8|9,0.7625,0.1243
E17,800,DF,10,0|1|2|3|4|5|6|7|8|9,0.7750,0.1936
E17,800,SRPT,10,0|1|2|3|4|5|6|7|8|9,0.7750,0.1291
E17,800,CRUX,10,0|1|2|3|4|5|6|7|8|9,0.7000,0.1787
E17,800,CASSINI,10,0|1|2|3|4|5|6|7|8|9,0.6000,0.0986
E17,800,Fair,10,0|1|2|3|4|5|6|7|8|9,0.7750,0.1149
