epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.245543,18.3965,-0.577052,1,32,0.4192,3905.163
1,phase1,1024,3.0,30000,0.449613,9.6267,-0.402893,2,24,0.7676,3905.163
2,phase1,1024,3.0,30000,0.44435,9.7325,-0.347834,2,24,0.7586,3905.163
3,phase1,1024,3.0,30000,0.400757,11.2967,-0.338947,2,24,0.6841,3905.163
4,phase1,1024,3.0,30000,0.217356,19.819,-0.396197,2,24,0.3711,3905.163
5,phase1,1024,3.0,30000,0.218524,19.6849,-0.434061,2,24,0.3731,3905.163
6,phase1,1024,3.0,30000,0.218085,19.7182,-0.461193,2,24,0.3723,3905.163
7,phase2,1024,1.2,30000,0.217823,19.7632,0.296013,4,0,0.9296,3905.163
8,phase2,1024,1.2,30000,0.255263,17.0781,0.274079,4,0,1.0894,3905.163
9,phase2,1024,1.2,30000,0.262788,16.6062,0.259735,4,0,1.1215,3905.163
10,phase2,1024,1.2,30000,0.247691,17.4591,0.242168,4,0,1.0571,3905.163
11,phase2,1024,1.2,30000,0.261985,16.5826,0.232575,4,0,1.1181,3905.163
12,phase2,1024,1.2,30000,0.247356,17.5273,0.219692,4,0,1.0557,3905.163
13,phase2,1024,1.2,30000,0.267386,16.289,0.214738,4,0,1.1412,3905.163
14,phase2,1024,1.2,30000,0.275175,15.7727,0.212676,4,0,1.1744,3905.163
