epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.353875,12.2612,-0.391967,3,16,0.6041,3905.163
1,phase1,1024,3.0,30000,0.358076,12.0339,-0.388498,3,16,0.6113,3905.163
2,phase1,1024,3.0,30000,0.352745,12.2093,-0.390362,3,16,0.6022,3905.163
3,phase1,1024,3.0,30000,0.350253,12.3244,-0.392359,3,16,0.5979,3905.163
4,phase1,1024,3.0,30000,0.362751,11.8875,-0.389284,3,16,0.6193,3905.163
5,phase1,1024,3.0,30000,0.344335,12.5121,-0.392477,3,16,0.5878,3905.163
6,phase1,1024,3.0,30000,0.343523,12.5559,-0.394952,3,16,0.5864,3905.163
7,phase2,1024,1.2,30000,0.341978,12.5933,0.507154,3,16,1.4595,3905.163
8,phase2,1024,1.2,30000,0.358656,12.0341,0.510812,3,16,1.5307,3905.163
9,phase2,1024,1.2,30000,0.351199,12.2863,0.510555,3,16,1.4989,3905.163
10,phase2,1024,1.2,30000,0.365434,11.8314,0.515867,3,16,1.5596,3905.163
11,phase2,1024,1.2,30000,0.34632,12.4543,0.513497,3,16,1.478,3905.163
12,phase2,1024,1.2,30000,0.251087,18.5311,0.479802,3,16,1.0716,3905.163
13,phase2,1024,1.2,30000,0.200004,21.5413,0.435127,3,16,0.8536,3905.163
14,phase2,1024,1.2,30000,0.200298,21.4661,0.396487,3,16,0.8548,3905.163
