epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.354259,12.2149,-0.391286,3,16,0.6048,3905.163
1,phase1,1024,3.0,30000,0.356248,12.1095,-0.38968,3,16,0.6082,3905.163
2,phase1,1024,3.0,30000,0.350448,12.2854,-0.392452,3,16,0.5983,3905.163
3,phase1,1024,3.0,30000,0.348929,12.3546,-0.394481,3,16,0.5957,3905.163
4,phase1,1024,3.0,30000,0.35731,12.0671,-0.392836,3,16,0.61,3905.163
5,phase1,1024,3.0,30000,0.36112,11.9304,-0.390655,3,16,0.6165,3905.163
6,phase1,1024,3.0,30000,0.356035,12.144,-0.390337,3,16,0.6078,3905.163
7,phase2,1024,1.2,30000,0.36609,11.7833,0.531377,3,16,1.5624,3905.163
8,phase2,1024,1.2,30000,0.354526,12.1551,0.530886,3,16,1.5131,3905.163
9,phase2,1024,1.2,30000,0.358369,12.0315,0.531689,3,16,1.5295,3905.163
10,phase2,1024,1.2,30000,0.355714,12.1243,0.531317,3,16,1.5181,3905.163
11,phase2,1024,1.2,30000,0.358716,12.0311,0.532073,3,16,1.5309,3905.163
12,phase2,1024,1.2,30000,0.235502,18.9977,0.49169,3,16,1.0051,3905.163
13,phase2,1024,1.2,30000,0.217084,19.9176,0.451351,3,16,0.9265,3905.163
14,phase2,1024,1.2,30000,0.222739,19.3819,0.417998,3,16,0.9506,3905.163
