iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,1.36965,3.1358,phase1
1,0,1024,3.0,30000,1.313117,3.2708,phase1
2,0,1024,3.0,30000,1.202317,3.5722,phase1
3,0,1024,3.0,30000,1.248906,3.439,phase1
4,0,1024,3.0,30000,1.153481,3.7235,phase1
5,0,1024,3.0,30000,1.213707,3.5387,phase1
6,0,1024,3.0,30000,1.128855,3.8047,phase1
7,0,1024,3.0,30000,1.192104,3.6028,phase1
8,0,1024,3.0,30000,1.136354,3.7796,phase1
9,0,1024,3.0,30000,1.21353,3.5392,phase1
10,0,1024,3.0,30000,1.183234,3.6299,phase1
11,0,1024,3.0,30000,1.120193,3.8341,phase1
12,0,1024,3.0,30000,1.137086,3.7772,phase1
13,0,1024,3.0,30000,1.330665,3.2277,phase1
14,0,1024,3.0,30000,1.242722,3.4561,phase1
15,0,1024,3.0,30000,1.149014,3.738,phase1
16,0,1024,3.0,30000,1.16173,3.697,phase1
17,0,1024,3.0,30000,1.201867,3.5736,phase1
18,0,1024,3.0,30000,1.222332,3.5137,phase1
19,0,1024,3.0,30000,1.438983,2.9847,phase1
20,1,1024,3.0,30000,1.170367,3.6698,phase1
21,1,1024,3.0,30000,1.179011,3.6429,phase1
22,1,1024,3.0,30000,1.105594,3.8848,phase1
23,1,1024,3.0,30000,1.136217,3.7801,phase1
24,1,1024,3.0,30000,1.322514,3.2476,phase1
25,1,1024,3.0,30000,1.200977,3.5762,phase1
26,1,1024,3.0,30000,1.11131,3.8648,phase1
27,1,1024,3.0,30000,1.257925,3.4143,phase1
28,1,1024,3.0,30000,1.24474,3.4505,phase1
29,1,1024,3.0,30000,1.149383,3.7368,phase1
30,1,1024,3.0,30000,1.158237,3.7082,phase1
31,1,1024,3.0,30000,1.311138,3.2758,phase1
32,1,1024,3.0,30000,1.166756,3.6811,phase1
33,1,1024,3.0,30000,1.224358,3.5079,phase1
34,1,1024,3.0,30000,1.124952,3.8179,phase1
35,1,1024,3.0,30000,1.323682,3.2447,phase1
36,1,1024,3.0,30000,1.184033,3.6274,phase1
37,1,1024,3.0,30000,1.119126,3.8378,phase1
38,1,1024,3.0,30000,1.192779,3.6008,phase1
39,1,1024,3.0,30000,1.154516,3.7201,phase1
40,2,1024,3.0,30000,1.176432,3.6508,phase1
41,2,1024,3.0,30000,1.138009,3.7741,phase1
42,2,1024,3.0,30000,1.23541,3.4766,phase1
43,2,1024,3.0,30000,1.168247,3.6764,phase1
44,2,1024,3.0,30000,1.145946,3.748,phase1
45,2,1024,3.0,30000,1.218375,3.5252,phase1
46,2,1024,3.0,30000,1.116433,3.847,phase1
47,2,1024,3.0,30000,1.123153,3.824,phase1
48,2,1024,3.0,30000,1.388422,3.0934,phase1
49,2,1024,3.0,30000,1.171075,3.6675,phase1
50,2,1024,3.0,30000,1.174961,3.6554,phase1
51,2,1024,3.0,30000,1.162687,3.694,phase1
52,2,1024,3.0,30000,1.114786,3.8527,phase1
53,2,1024,3.0,30000,1.132946,3.791,phase1
54,2,1024,3.0,30000,1.162192,3.6956,phase1
55,2,1024,3.0,30000,1.145938,3.748,phase1
56,2,1024,3.0,30000,1.223941,3.5091,phase1
57,2,1024,3.0,30000,1.207145,3.558,phase1
58,2,1024,3.0,30000,1.150645,3.7327,phase1
59,2,1024,3.0,30000,1.206445,3.56,phase1
60,3,1024,3.0,30000,1.141873,3.7613,phase1
61,3,1024,3.0,30000,1.14448,3.7528,phase1
62,3,1024,3.0,30000,1.160743,3.7002,phase1
63,3,1024,3.0,30000,1.172317,3.6637,phase1
64,3,1024,3.0,30000,1.133298,3.7898,phase1
65,3,1024,3.0,30000,1.203875,3.5676,phase1
66,3,1024,3.0,30000,1.118851,3.8387,phase1
67,3,1024,3.0,30000,1.179172,3.6424,phase1
68,3,1024,3.0,30000,1.215933,3.5322,phase1
69,3,1024,3.0,30000,1.150394,3.7335,phase1
70,3,1024,3.0,30000,1.20526,3.5635,phase1
71,3,1024,3.0,30000,1.180737,3.6375,phase1
72,3,1024,3.0,30000,1.162102,3.6959,phase1
73,3,1024,3.0,30000,1.205548,3.5627,phase1
74,3,1024,3.0,30000,1.354215,3.1716,phase1
75,3,1024,3.0,30000,1.305172,3.2907,phase1
76,3,1024,3.0,30000,1.141988,3.761,phase1
77,3,1024,3.0,30000,1.144828,3.7516,phase1
78,3,1024,3.0,30000,1.136,3.7808,phase1
79,3,1024,3.0,30000,1.301505,3.3,phase1
80,4,1024,3.0,30000,1.073053,4.0026,phase1
81,4,1024,3.0,30000,1.163144,3.6925,phase1
82,4,1024,3.0,30000,1.319587,3.2548,phase1
83,4,1024,3.0,30000,1.197017,3.5881,phase1
84,4,1024,3.0,30000,1.313761,3.2692,phase1
85,4,1024,3.0,30000,1.128047,3.8074,phase1
86,4,1024,3.0,30000,1.124354,3.8199,phase1
87,4,1024,3.0,30000,1.099089,3.9078,phase1
88,4,1024,3.0,30000,1.305099,3.2909,phase1
89,4,1024,3.0,30000,1.14143,3.7628,phase1
90,4,1024,3.0,30000,1.285096,3.3421,phase1
91,4,1024,3.0,30000,1.162783,3.6937,phase1
92,4,1024,3.0,30000,1.179408,3.6416,phase1
93,4,1024,3.0,30000,1.106139,3.8828,phase1
94,4,1024,3.0,30000,1.106838,3.8804,phase1
95,4,1024,3.0,30000,1.252909,3.428,phase1
96,4,1024,3.0,30000,1.207211,3.5578,phase1
97,4,1024,3.0,30000,1.413141,3.0393,phase1
98,4,1024,3.0,30000,1.127835,3.8082,phase1
99,4,1024,3.0,30000,1.153573,3.7232,phase1
100,5,1024,3.0,30000,1.171684,3.6656,phase1
101,5,1024,3.0,30000,1.110765,3.8667,phase1
102,5,1024,3.0,30000,1.200903,3.5764,phase1
103,5,1024,3.0,30000,1.218063,3.5261,phase1
104,5,1024,3.0,30000,1.236277,3.4741,phase1
105,5,1024,3.0,30000,1.193617,3.5983,phase1
106,5,1024,3.0,30000,1.218712,3.5242,phase1
107,5,1024,3.0,30000,1.179182,3.6423,phase1
108,5,1024,3.0,30000,1.244841,3.4502,phase1
109,5,1024,3.0,30000,1.154197,3.7212,phase1
110,5,1024,3.0,30000,1.120364,3.8335,phase1
111,5,1024,3.0,30000,1.21671,3.53,phase1
112,5,1024,3.0,30000,1.173278,3.6607,phase1
113,5,1024,3.0,30000,1.162208,3.6955,phase1
114,5,1024,3.0,30000,1.153379,3.7238,phase1
115,5,1024,3.0,30000,1.193968,3.5972,phase1
116,5,1024,3.0,30000,1.228757,3.4954,phase1
117,5,1024,3.0,30000,1.261789,3.4039,phase1
118,5,1024,3.0,30000,1.231394,3.4879,phase1
119,5,1024,3.0,30000,1.23546,3.4764,phase1
120,6,1024,3.0,30000,1.146503,3.7461,phase1
121,6,1024,3.0,30000,1.145073,3.7508,phase1
122,6,1024,3.0,30000,1.235643,3.4759,phase1
123,6,1024,3.0,30000,1.356623,3.1659,phase1
124,6,1024,3.0,30000,1.146047,3.7476,phase1
125,6,1024,3.0,30000,1.145077,3.7508,phase1
126,6,1024,3.0,30000,1.304665,3.292,phase1
127,6,1024,3.0,30000,1.098562,3.9096,phase1
128,6,1024,3.0,30000,1.288594,3.3331,phase1
129,6,1024,3.0,30000,1.183583,3.6288,phase1
130,6,1024,3.0,30000,1.123471,3.8229,phase1
131,6,1024,3.0,30000,1.115972,3.8486,phase1
132,6,1024,3.0,30000,1.222881,3.5122,phase1
133,6,1024,3.0,30000,1.137049,3.7773,phase1
134,6,1024,3.0,30000,1.322476,3.2477,phase1
135,6,1024,3.0,30000,1.175079,3.655,phase1
136,6,1024,3.0,30000,1.162332,3.6951,phase1
137,6,1024,3.0,30000,1.184984,3.6245,phase1
138,6,1024,3.0,30000,1.159883,3.7029,phase1
139,6,1024,3.0,30000,1.202247,3.5724,phase1
140,7,1024,1.2,30000,1.149389,3.7367,phase2
