window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.217992,3.5419,1.082915,3,16,2.0793,3905.163
1,phase1,1024,3.0,30000,1.191881,3.6145,1.060576,3,16,2.0347,3905.163
2,phase1,1024,3.0,30000,1.178159,3.654,1.045344,3,16,2.0113,3905.163
3,phase1,1024,3.0,30000,1.187915,3.6249,1.041906,3,16,2.0279,3905.163
4,phase1,1024,3.0,30000,1.192976,3.6197,1.041565,3,16,2.0366,3905.163
5,phase1,1024,3.0,30000,1.195277,3.5975,1.041994,3,16,2.0405,3905.163
6,phase1,1024,3.0,30000,1.192837,3.613,1.041704,3,16,2.0363,3905.163
7,phase2,1024,1.2,30000,1.185692,3.629,4.09986,3,16,5.0604,3905.163
8,phase2,1024,1.2,30000,1.188786,3.624,4.09795,3,16,5.0736,3905.163
9,phase2,1024,1.2,30000,1.184255,3.6338,4.094486,3,16,5.0542,3905.163
10,phase2,1024,1.2,30000,1.195981,3.5985,4.096198,3,16,5.1043,3905.163
11,phase2,1024,1.2,30000,1.172689,3.6672,4.089349,3,16,5.0049,3905.163
12,phase2,1024,1.2,30000,1.179774,3.65,4.085874,3,16,5.0351,3905.163
13,phase2,1024,1.2,30000,1.179978,3.646,4.082961,3,16,5.036,3905.163
14,phase2,1024,1.2,30000,0.729377,6.2876,3.951801,3,16,3.1129,3905.163
